source;target;similarity;setnence_num_target;target_sent;source_sent
#Romeo_Rom;#Mercutio_Rom;0.253117978329159;118;Is he gone and hath nothing?;Was that my father that went hence so fast?
#Romeo_Rom;#Mercutio_Rom;0.264104857207572;102;Could you not take some occasion without giving?;But come what sorrow can, It cannot countervail the exchange of joy That one short minute gives me in her sight.
#Romeo_Rom;#Mercutio_Rom;0.265268315544194;125;Zounds, a dog, a rat, a mouse, a cat, to scratch a man to death!;Nurse, commend me to thy lady and mistress.
#Romeo_Rom;#Mercutio_Rom;0.275003009003626;77;Two, two - a shirt and a smock.;Her vestal livery is but sick and green, And none but fools do wear it.
#Romeo_Rom;#Mercutio_Rom;0.278834520343304;51;Ah, the immortal passado, the punto reverso, the hay!;Signior Martino and his wife and daughters, County Anselme and his beauteous sisters, The lady widow of Vitruvio, Signior Placentio and his lovely nieces, Mercutio and his brother Valentine, Mine Uncle Capulet, his wife and daughters, My fair niece Rosaline and Livia, Signior Valentio and his cousin Tybalt,Lucio and the lively Helena.
#Romeo_Rom;#Mercutio_Rom;0.279475683965535;47;More than prince of cats.;Alack, there lies more peril in thine eye Than twenty of their swords.
#Romeo_Rom;#Mercutio_Rom;0.286760393236541;31;The ape is dead, and I must conjure him.;Tut, I have lost myself.
#Romeo_Rom;#Mercutio_Rom;0.288924311969409;112;Alla stoccato carries it away.;And bad'st me bury love.
#Romeo_Rom;#Mercutio_Rom;0.291821738128568;52;"The pox of such antic, lisping, affecting phantasimes, these new tuners of accent: ""By Jesu, a very good blade!";I am too sore enpiercèd with his shaft To soar with his light feathers, and so bound I cannot bound a pitch above dull woe.
#Romeo_Rom;#Mercutio_Rom;0.293832500962657;131;They have made worms' meat of me.;Therefore thy kinsmen are no stop to me.
#Juliet_Rom;#Mercutio_Rom;0.219466773901516;77;Two, two - a shirt and a smock.;What o'clock tomorrow Shall I send to thee?
#Juliet_Rom;#Mercutio_Rom;0.223880475819524;87;But a hare that is hoar Is too much for a score When it hoars ere it be spent.;A rhyme I learned even now Of one I danced withal.
#Juliet_Rom;#Mercutio_Rom;0.228207189421189;18;Her chariot is an empty hazelnut, Made by the joiner squirrel or old grub, Time out o' mind the fairies' coachmakers.;And stint thou, too, I pray thee, nurse, say I.
#Juliet_Rom;#Mercutio_Rom;0.243592765391109;99;By my heel, I care not.;If good, thou shamest the music of sweet news By playing it to me with so sour a face.
