"source,""target"",""similarity"",""setnence_num_target"",""target_sent"",""source_sent""";
"#Iago_Oth,""#Emilia_Oth"",0.210577348334884,85,""Yes, a dozen";" and as many to th' vantage as would store the world they played for."",""Much will be seen in that."""
"#Iago_Oth,""#Emilia_Oth"",0.250550111802048,81,""Is 't frailty that thus errs?"",""Come, you are too severe a moraler.""";
"#Iago_Oth,""#Emilia_Oth"",0.263602574534421,97,""O, who hath done this deed?"",""Or heard him say (as knaves be such abroad, Who having, by their own importunate suit Or voluntary dotage of some mistress, Convinced or supplied them, cannot choose But they must blab) -""";
"#Iago_Oth,""#Emilia_Oth"",0.277736105438831,79,""What is it that they do When they change us for others?"",""These Moors are changeable in their wills.""";
"#Iago_Oth,""#Emilia_Oth"",0.283686785115693,111,""O dolt, As ignorant as dirt!"",""O, 'tis foul in her.""";
"#Iago_Oth,""#Emilia_Oth"",0.296391007081368,129,""And your reports have set the murder on!"",""Whose noise is this that cries on murder?""";
"#Iago_Oth,""#Emilia_Oth"",0.305460034093943,75,""Or say they strike us, Or scant our former having in despite."",""Thou hast taken against me a most just exception, but yet I protest I have dealt most directly in thy affair.""";
"#Iago_Oth,""#Emilia_Oth"",0.314500757431912,18,""What will you give me now For that same handkerchief?"",""Fill thy purse with money.""";
"#Iago_Oth,""#Emilia_Oth"",0.320656671036711,130,""I think upon 't, I think!"",""And long live you to think so!""";
"#Iago_Oth,""#Emilia_Oth"",0.321744686427694,65,""The world's a huge thing."",""You have a thing for me?""";
"#Othello_Oth,""#Emilia_Oth"",0.218891033566003,66,""It is a great price for a small vice."",""This hand of yours requires A sequester from liberty, fasting and prayer, Much castigation, exercise devout";" For here's a young and sweating devil here That commonly rebels."""
"#Othello_Oth,""#Emilia_Oth"",0.255591122927719,79,""What is it that they do When they change us for others?"",""Are we turned Turks, and to ourselves do that Which heaven hath forbid the Ottomites?""";
"#Othello_Oth,""#Emilia_Oth"",0.276809991963664,81,""Is 't frailty that thus errs?"",""Like to the Pontic Sea, Whose icy current and compulsive course Ne'er feels retiring ebb, but keeps due on To the Propontic and the Hellespont, Even so my bloody thoughts, with violent pace Shall ne'er look back, ne'er ebb to humble love, Till that a capable and wide revenge Swallow them up.""";
"#Othello_Oth,""#Emilia_Oth"",0.28378418802693,65,""The world's a huge thing."",""What is the matter here?""";
"#Othello_Oth,""#Emilia_Oth"",0.286899107509784,67,""In troth, I think I should, and undo 't when I had done it."",""First to be hanged and then to confess - I tremble at it.""";
"#Othello_Oth,""#Emilia_Oth"",0.288266294088312,9,""I warrant it grieves my husband As if the cause were his."",""I did consent, And often did beguile her of her tears When I did speak of some distressful stroke That my youth suffered.""";
"#Othello_Oth,""#Emilia_Oth"",0.291145432814589,85,""Yes, a dozen";" and as many to th' vantage as would store the world they played for."",""A sybil that had numbered in the world The sun to course two hundred compasses, In her prophetic fury sewed the work."""
"#Othello_Oth,""#Emilia_Oth"",0.291754110468648,72,""Why, the wrong is but a wrong i' th' world";" and, having the world for your labor, 'tis a wrong in your own world, and you might quickly make it right."",""O, thou art wise, 'tis certain."""
"#Othello_Oth,""#Emilia_Oth"",0.292336827168219,62,""There be some such, no question."",""Yet 'tis the plague of great ones";" Prerogatived are they less than the base."""
"#Othello_Oth,""#Emilia_Oth"",0.295268910414127,111,""O dolt, As ignorant as dirt!"",""An honest man he is, and hates the slime That sticks on filthy deeds.""";
"#Roderigo_Oth,""#Emilia_Oth"",0.133513155733433,85,""Yes, a dozen";" and as many to th' vantage as would store the world they played for."",""Yes, sir, I have indeed."""
"#Roderigo_Oth,""#Emilia_Oth"",0.160963509439661,66,""It is a great price for a small vice."",""I take it much unkindly That thou, Iago, who hast had my purse As if the strings were thine, shouldst know of this.""";
"#Roderigo_Oth,""#Emilia_Oth"",0.180363049975302,52,""Why should he call her ""whore""?"",""I cannot believe that in her.""";
"#Roderigo_Oth,""#Emilia_Oth"",0.207527893839894,65,""The world's a huge thing."",""And that you would have me to do?""";
"#Roderigo_Oth,""#Emilia_Oth"",0.207749216838065,79,""What is it that they do When they change us for others?"",""Every day thou daff'st me with some device, Iago, and rather, as it seems to me now, keep'st from me all conveniency than suppliest me with the least advantage of hope.""";
"#Roderigo_Oth,""#Emilia_Oth"",0.212242546020397,82,""And have not we affections, Desires for sport, and frailty, as men have?"",""It is silliness to live, when to live is torment, and then have we a prescription to die when death is our physician.""";
"#Roderigo_Oth,""#Emilia_Oth"",0.220068745688204,11,""I am glad I have found this napkin."",""I confess it is my shame to be so fond, but it is not in my virtue to amend it.""";
"#Roderigo_Oth,""#Emilia_Oth"",0.223339627335308,77,""Let husbands know Their wives have sense like them."",""But I beseech you, If 't be your pleasure and most wise consent -  As partly I find it is - that your fair daughter, At this odd-even and dull watch o' th' night, Transported with no worse nor better guard But with a knave of common hire, a gondolier, To the gross clasps of a lascivious Moor: If this be known to you, and your allowance, We then have done you bold and saucy wrongs.""";
"#Roderigo_Oth,""#Emilia_Oth"",0.229693466736736,83,""Then let them use us well."",""Every day thou daff'st me with some device, Iago, and rather, as it seems to me now, keep'st from me all conveniency than suppliest me with the least advantage of hope.""";
"#Roderigo_Oth,""#Emilia_Oth"",0.238575994246568,31,""They are not ever jealous for the cause, But jealous for they're jealous."",""But I beseech you, If 't be your pleasure and most wise consent -  As partly I find it is - that your fair daughter, At this odd-even and dull watch o' th' night, Transported with no worse nor better guard But with a knave of common hire, a gondolier, To the gross clasps of a lascivious Moor: If this be known to you, and your allowance, We then have done you bold and saucy wrongs.""";
"#Cassio_Oth,""#Emilia_Oth"",0.17570253777382,66,""It is a great price for a small vice."",""I like the work well.""";
"#Cassio_Oth,""#Emilia_Oth"",0.21519465440577,31,""They are not ever jealous for the cause, But jealous for they're jealous."",""O God, that men should put an enemy in their mouths to steal away their brains!""";
"#Cassio_Oth,""#Emilia_Oth"",0.237676398288019,73,""But I do think it is their husbands' faults If wives do fall."",""You men of Cyprus, let her have your knees.""";
"#Cassio_Oth,""#Emilia_Oth"",0.244656798522094,87,""What is the matter, husband?"",""You are jealous now That this is from some mistress, some remembrance.""";
"#Cassio_Oth,""#Emilia_Oth"",0.245599213171627,81,""Is 't frailty that thus errs?"",""I am unfortunate in the infirmity and dare not task my weakness with any more.""";
"#Cassio_Oth,""#Emilia_Oth"",0.251506702161863,1,""You have little cause to say so."",""You have been hotly called for.""";
"#Cassio_Oth,""#Emilia_Oth"",0.252408081921487,111,""O dolt, As ignorant as dirt!"",""A knave teach me my duty?""";
"#Cassio_Oth,""#Emilia_Oth"",0.262060192335211,79,""What is it that they do When they change us for others?"",""To the health of our general!""";
"#Cassio_Oth,""#Emilia_Oth"",0.262691973286134,33,""Nor ever heard, nor ever did suspect."",""I pray you pardon me";" I cannot speak."""
"#Cassio_Oth,""#Emilia_Oth"",0.263762339243676,85,""Yes, a dozen";" and as many to th' vantage as would store the world they played for."",""The galleys Have sent a dozen sequent messengers This very night at one another's heels, And many of the Consuls, raised and met, Are at the Duke's already."""
"#Desdemona_Oth,""#Emilia_Oth"",0.17893886619554,66,""It is a great price for a small vice."",""'Tis as I should entreat you wear your gloves, Or feed on nourishing dishes, or keep you warm, Or sue to you to do a peculiar profit To your own person.""";
"#Desdemona_Oth,""#Emilia_Oth"",0.233966823653706,85,""Yes, a dozen";" and as many to th' vantage as would store the world they played for."",""- There's one gone to the harbor?"""
"#Desdemona_Oth,""#Emilia_Oth"",0.239871407315282,1,""You have little cause to say so."",""I am hitherto your daughter.""";
"#Desdemona_Oth,""#Emilia_Oth"",0.239954909312116,9,""I warrant it grieves my husband As if the cause were his."",""Oh, fie upon thee, slanderer.""";
"#Desdemona_Oth,""#Emilia_Oth"",0.24276841354833,22,""If it be not for some purpose of import, Give 't me again."",""Let me but bind it hard";" within this hour It will be well."""
"#Desdemona_Oth,""#Emilia_Oth"",0.265443555096197,65,""The world's a huge thing."",""c(""""Wouldst thou do such a deed for all the world?"""", """"Wouldst thou do such a deed for all the world?"""")""";
"#Desdemona_Oth,""#Emilia_Oth"",0.267217976827429,26,""They are all but stomachs, and we all but food";" They eat us hungerly, and when they are full They belch us."",""I' faith, is 't true?"""
"#Desdemona_Oth,""#Emilia_Oth"",0.267497883595997,18,""What will you give me now For that same handkerchief?"",""'Tis as I should entreat you wear your gloves, Or feed on nourishing dishes, or keep you warm, Or sue to you to do a peculiar profit To your own person.""";
"#Desdemona_Oth,""#Emilia_Oth"",0.270117383392253,13,""My wayward husband hath a hundred times Wooed me to steal it."",""That I love the Moor to live with him My downright violence and storm of fortunes May trumpet to the world.""";
"#Desdemona_Oth,""#Emilia_Oth"",0.271015282058431,11,""I am glad I have found this napkin."",""'Tis as I should entreat you wear your gloves, Or feed on nourishing dishes, or keep you warm, Or sue to you to do a peculiar profit To your own person.""";
