source;target;similarity;setnence_num_target;target_sent;source_sent
#Gertrude_Ham;#Horatio_Ham;0,733346592;92;Rosencrantz and Guildenstern hold their course for England;
#Gertrude_Ham;#Horatio_Ham;0,732525549;99;So Guildenstern and Rosencrantz go to 't,;Thanks, Guildenstern and gentle Rosencrantz,
#Gertrude_Ham;#Horatio_Ham;0,722092682;93;He that thou knowest thine, Hamlet,;O Hamlet, speak no more!
#Claudius_Ham;#Horatio_Ham;0,720271802;92;Rosencrantz and Guildenstern hold their course for England;
#Claudius_Ham;#Horatio_Ham;0,718658612;99;So Guildenstern and Rosencrantz go to 't,;Thanks, Rosencrantz and gentle Guildenstern,
#Hamlet_Ham;#Horatio_Ham;0,699047411;93;He that thou knowest thine, Hamlet,;- So, gentlemen, With all my love I do commend me to you, And what so poor a man as Hamlet is May do t' express his love and friending to you, God willing, shall not lack,
#Hamlet_Ham;#Horatio_Ham;0,684993569;89;Let the King have the letters I have sent, and repair thou to me with as much speed as thou wouldst fly death,;How now, my lord, will the King hear this piece of work?
#Polonius_Ham;#Horatio_Ham;0,68464084;93;He that thou knowest thine, Hamlet,;I assure my good liege I hold my duty as I hold my soul, Both to my God and to my gracious king, And I do think, or else this brain of mine Hunts not the trail of policy so sure As it hath used to do, that I have found The very cause of Hamlet's lunacy,
#Hamlet_Ham;#Horatio_Ham;0,676148489;100;Why, what a king is this!;The King is a thing -
#Ophelia_Ham;#Horatio_Ham;0,669610278;93;He that thou knowest thine, Hamlet,;My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors - he comes before me,
#Ophelia_Ham;#Horatio_Ham;0,6590065;115;Good night, sweet prince, And flights of angels sing thee to thy rest,;Good night, ladies, good night, sweet ladies, good night, good night,
#Polonius_Ham;#Horatio_Ham;0,64496491;81;Let Him bless thee too,;My blessing season this in thee,
#Ophelia_Ham;#Horatio_Ham;0,618673528;80;I do not know from what part of the world I should be greeted, if not from Lord Hamlet,;My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbraced, No hat upon his head, his stockings fouled, Ungartered, and down-gyvèd to his ankle, Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosèd out of hell To speak of horrors - he comes before me,
#Hamlet_Ham;#Horatio_Ham;0,610754446;90;I have words to speak in thine ear will make thee dumb;
#Polonius_Ham;#Horatio_Ham;0,610438101;80;I do not know from what part of the world I should be greeted, if not from Lord Hamlet,;You go to seek the Lord Hamlet,
#Claudius_Ham;#Horatio_Ham;0,609580352;93;He that thou knowest thine, Hamlet,;Though yet of Hamlet our dear brother's death The memory be green, and that it us befitted To bear our hearts in grief, and our whole kingdom To be contracted in one brow of woe, Yet so far hath discretion fought with nature That we with wisest sorrow think on him Together with remembrance of ourselves,
#Hamlet_Ham;#Horatio_Ham;0,608588438;122;So shall you hear Of carnal, bloody, and unnatural acts, Of accidental judgments, casual slaughters, Of deaths put on by cunning and forced cause, And, in this upshot, purposes mistook Fall'n on th' inventors' heads,;So oft it chances in particular men That for some vicious mole of nature in them, As in their birth (wherein they are not guilty, Since nature cannot choose his origin), By the o'ergrowth of some complexion (Oft breaking down the pales and forts of reason), Or by some habit that too much o'erleavens The form of plausive manners - that these men, Carrying, I say, the stamp of one defect, Being nature's livery or fortune's star, His virtues else, be they as pure as grace, As infinite as man may undergo, Shall in the general censure take corruption From that particular fault,
#Ophelia_Ham;#Horatio_Ham;0,598451995;58;What does this mean, my lord?;My lord, he hath importuned me with love In honorable fashion -
#Ophelia_Ham;#Horatio_Ham;0,59725765;89;Let the King have the letters I have sent, and repair thou to me with as much speed as thou wouldst fly death,;My lord, he hath importuned me with love In honorable fashion -
#Claudius_Ham;#Horatio_Ham;0,595047465;80;I do not know from what part of the world I should be greeted, if not from Lord Hamlet,;I have nothing with this answer, Hamlet,
#Laertes_Ham;#Horatio_Ham;0,593962947;93;He that thou knowest thine, Hamlet,;For Hamlet, and the trifling of his favor, Hold it a fashion and a toy in blood, A violet in the youth of primy nature, Forward, not permanent, sweet, not lasting, The perfume and suppliance of a minute, No more,
#Polonius_Ham;#Horatio_Ham;0,592231952;90;I have words to speak in thine ear will make thee dumb;
#Gertrude_Ham;#Horatio_Ham;0,591770249;83;Horatio, when thou shalt have overlooked this, give these fellows some means to the King,;- Go, some of you, And bring these gentlemen where Hamlet is,
#Gertrude_Ham;#Horatio_Ham;0,590805531;80;I do not know from what part of the world I should be greeted, if not from Lord Hamlet,;Come hither, my dear Hamlet, sit by me,
#Hamlet_Ham;#Horatio_Ham;0,590299674;115;Good night, sweet prince, And flights of angels sing thee to thy rest,;Once more, good night, And, when you are desirous to be blest, I'll blessing beg of you,
#Claudius_Ham;#Horatio_Ham;0,587276623;89;Let the King have the letters I have sent, and repair thou to me with as much speed as thou wouldst fly death,;The sun no sooner shall the mountains touch But we will ship him hence
#Polonius_Ham;#Horatio_Ham;0,585850495;111;- How is it, my lord?;- What do you read, my lord?
#Polonius_Ham;#Horatio_Ham;0,583768354;75;Here, sweet lord, at your service,;Fare you well, my lord,
#Claudius_Ham;#Horatio_Ham;0,583113196;122;So shall you hear Of carnal, bloody, and unnatural acts, Of accidental judgments, casual slaughters, Of deaths put on by cunning and forced cause, And, in this upshot, purposes mistook Fall'n on th' inventors' heads,;In the corrupted currents of this world, Offense's gilded hand may shove by justice, And oft 'tis seen the wicked prize itself Buys out the law,
#Gertrude_Ham;#Horatio_Ham;0,580056063;91;These good fellows will bring thee where I am,;- Go, some of you, And bring these gentlemen where Hamlet is,
#Ophelia_Ham;#Horatio_Ham;0,572548621;73;Propose the oath, my lord,;I shall obey, my lord,
#Laertes_Ham;#Horatio_Ham;0,559866507;58;What does this mean, my lord?;Most humbly do I take my leave, my lord,
#Laertes_Ham;#Horatio_Ham;0,558126701;89;Let the King have the letters I have sent, and repair thou to me with as much speed as thou wouldst fly death,;My dread lord, Your leave and favor to return to France, From whence though willingly I came to Denmark To show my duty in your coronation, Yet now I must confess, that duty done, My thoughts and wishes bend again toward France And bow them to your gracious leave and pardon,
#Laertes_Ham;#Horatio_Ham;0,530098966;122;So shall you hear Of carnal, bloody, and unnatural acts, Of accidental judgments, casual slaughters, Of deaths put on by cunning and forced cause, And, in this upshot, purposes mistook Fall'n on th' inventors' heads,;But tell me Why you proceeded not against these feats, So criminal and so capital in nature, As by your safety, greatness, wisdom, all things else, You mainly were stirred up,
#Laertes_Ham;#Horatio_Ham;0,529264557;124;Of that I shall have also cause to speak, And from his mouth whose voice will draw on more,;I have a speech o' fire that fain would blaze, But that this folly drowns it,
