"source","target","similarity","setnence_num_target","target_sent","source_sent"
"#Goneril_Lr","#Kent_Lr",0.503795289524493,169,"I have a journey, sir, shortly to go; My master calls me.","—  You, sir, more knave than Fool, after your master."
"#Goneril_Lr","#Kent_Lr",0.507039059405599,20,"And your large speeches may your deeds approve, That good effects may spring from words of love.","Sir, I love you more than word can wield the matter, Dearer than eyesight, space, and liberty, Beyond what can be valued, rich or rare, No less than life, with grace, health, beauty, honor; As much as child e’er loved, or father found; A love that makes breath poor, and speech unable."
"#Goneril_Lr","#Kent_Lr",0.507112630432577,37,"A knave, a rascal, an eater of broken meats; a base, proud, shallow, beggarly, three-suited, hundred-pound, filthy worsted-stocking knave; a lily-livered, action-taking, whoreson, glass-gazing, superserviceable, finical rogue; one-trunk-inheriting slave; one that wouldst be a bawd in way of good service, and art nothing but the composition of a knave, beggar, coward, pander, and the son and heir of a mongrel bitch; one whom I will beat into clamorous whining if thou deny’st the least syllable of thy addition.","—  You, sir, more knave than Fool, after your master."
"#Goneril_Lr","#Kent_Lr",0.52709469207336,132,"Why the King of France is so suddenly gone back know you no reason?","France spreads his banners in our noiseless land, With plumèd helm thy state begins to threat, Whilst thou, a moral fool, sits still and cries “Alack, why does he so?”"
"#Goneril_Lr","#Kent_Lr",0.537477001288156,79,"Hail to thee, noble master.","—  You, sir, more knave than Fool, after your master."
"#Goneril_Lr","#Kent_Lr",0.551339302860508,134,"Did your letters pierce the Queen to any demonstration of grief?","What, have you writ that letter to my sister?"
"#Goneril_Lr","#Kent_Lr",0.555724962455141,51,"Yes, sir, but anger hath a privilege.","Not only, sir, this your all-licensed Fool, But other of your insolent retinue Do hourly carp and quarrel, breaking forth In rank and not-to-be-endurèd riots."
"#Goneril_Lr","#Kent_Lr",0.588954779033323,117,"Importune him once more to go, my lord.","My lord, entreat him by no means to stay."
"#Goneril_Lr","#Kent_Lr",0.681392262160237,146,"I pray you, go Along with me.","Pray you, let us sit together."
"#Goneril_Lr","#Kent_Lr",0.700630599378268,152,"As ’tis said, the bastard son of Gloucester.","Where is my lord of Gloucester?"
"#Lear_Lr","#Kent_Lr",0.575053983922434,19,"The gods to their dear shelter take thee, maid, That justly think’st and hast most rightly said.","Thy truth, then, be thy dower, For by the sacred radiance of the sun, The mysteries of Hecate and the night, By all the operation of the orbs From whom we do exist and cease to be, Here I disclaim all my paternal care, Propinquity, and property of blood, And as a stranger to my heart and me Hold thee from this forever."
"#Lear_Lr","#Kent_Lr",0.583768035115782,15,"Now, by Apollo, king, Thou swear’st thy gods in vain.","Thy truth, then, be thy dower, For by the sacred radiance of the sun, The mysteries of Hecate and the night, By all the operation of the orbs From whom we do exist and cease to be, Here I disclaim all my paternal care, Propinquity, and property of blood, And as a stranger to my heart and me Hold thee from this forever."
"#Lear_Lr","#Kent_Lr",0.586372219149824,142,"Of Albany’s and Cornwall’s powers you heard not?","Cornwall and Albany, With my two daughters’ dowers digest the third."
"#Lear_Lr","#Kent_Lr",0.594029167173206,151,"In your own kingdom, sir.","I am the King himself."
"#Lear_Lr","#Kent_Lr",0.635349866257556,34,"This is not altogether fool, my lord.","Dost thou call me “fool,” boy?"
"#Lear_Lr","#Kent_Lr",0.637261342933392,146,"I pray you, go Along with me.","I’ll pray, and then I’ll sleep."
"#Lear_Lr","#Kent_Lr",0.641015848067078,121,"Sirrah, come on: go along with us.","Take heed, sirrah — the whip."
"#Lear_Lr","#Kent_Lr",0.642242692683145,20,"And your large speeches may your deeds approve, That good effects may spring from words of love.","Mend your speech a little, Lest you may mar your fortunes."
"#Lear_Lr","#Kent_Lr",0.661032020056723,159,"The same, Your servant Kent.","Kent, on thy life, no more."
"#Lear_Lr","#Kent_Lr",0.762997159640727,152,"As ’tis said, the bastard son of Gloucester.","I know thee well enough; thy name is Gloucester."
"#Edgar_Lr","#Kent_Lr",0.411820107530174,152,"As ’tis said, the bastard son of Gloucester.","Bless thee, good man’s son, from the foul fiend."
"#Edgar_Lr","#Kent_Lr",0.426462664118836,130,"Come, help to bear thy master.","Go to thy cold bed and warm thee."
