"source","target","similarity","setnence_num_target","target_sent","source_sent"
"#Nurse_Rom","#Benvolio_Rom",0.406703343838297,38,"The date is out of such prolixity.","Even or odd, of all days in the year, Come Lammas Eve at night shall she be fourteen."
"#Nurse_Rom","#Benvolio_Rom",0.386224806555587,39,"We’ll have no Cupid hoodwinked with a scarf, Bearing a Tartar’s painted bow of lath, Scaring the ladies like a crowkeeper, Nor no without-book prologue, faintly spoke After the prompter, for our entrance.","Yes, madam, yet I cannot choose but laugh To think it should leave crying and say “Ay.” And yet, I warrant, it had upon its brow A bump as big as a young cock’rel’s stone, A perilous knock, and it cried bitterly."
"#Nurse_Rom","#Benvolio_Rom",0.305063740018956,40,"But let them measure us by what they will.","I warrant, an I should live a thousand years, I never should forget it."
"#Nurse_Rom","#Benvolio_Rom",0.305120948643805,41,"We’ll measure them a measure and be gone.","’Twas no need, I trow, To bid me trudge."
"#Nurse_Rom","#Benvolio_Rom",0.372923170081532,42,"Come, knock and enter, and no sooner in But every man betake him to his legs.","A man, young lady — lady, such a man As all the world — why, he’s a man of wax."
"#Nurse_Rom","#Benvolio_Rom",0.324810950612483,43,"This wind you talk of blows us from ourselves.","For I had then laid wormwood to my dug, Sitting in the sun under the dovehouse wall."
"#Nurse_Rom","#Benvolio_Rom",0.414836396823117,44,"Supper is done, and we shall come too late.","Thou wilt fall backward when thou hast more wit, Wilt thou not, Jule?” And, by my holidam, The pretty wretch left crying and said “Ay.” To see now how a jest shall come about!"
"#Nurse_Rom","#Benvolio_Rom",0.178736846271914,45,"The sport is at the best.","Marry, I remember it well."
"#Nurse_Rom","#Benvolio_Rom",0.623838085063012,46,"Romeo, my cousin Romeo, Romeo!","His name is Romeo, and a Montague, The only son of your great enemy."
"#Nurse_Rom","#Benvolio_Rom",0.332451539283363,47,"He ran this way and leapt this orchard wall.","For I had then laid wormwood to my dug, Sitting in the sun under the dovehouse wall."
