"source","target","similarity","setnence_num_target","target_sent","source_sent"
"#Gloucester_Lr","#Goneril_Lr",0.229172021017883,2,"Beyond all manner of so much I love you.","But I have a son, sir, by order of law, some year elder than this, who yet is no dearer in my account."
"#Gloucester_Lr","#Goneril_Lr",0.235668137696922,58,"All’s not offense that indiscretion finds And dotage terms so.","Let me beseech your Grace not to do so."
"#Gloucester_Lr","#Goneril_Lr",0.245638930764373,84,"Another way The news is not so tart.","Alack, the night comes on, and the high winds Do sorely ruffle."
"#Gloucester_Lr","#Goneril_Lr",0.264403551675993,54,"Inform her full of my particular fear, And thereto add such reasons of your own As may compact it more.","Come to me, that of this I may speak more."
"#Gloucester_Lr","#Goneril_Lr",0.267024033258059,12,"Pray you, let us sit together.","He hath been out nine years, and away he shall again."
"#Gloucester_Lr","#Goneril_Lr",0.267303598146491,14,"We must do something, and i’ th’ heat.","Here’s France and Burgundy, my noble lord."
"#Gloucester_Lr","#Goneril_Lr",0.271826406730339,86,"Combine together ’gainst the enemy, For these domestic and particular broils Are not the question here.","And France in choler parted?"
"#Gloucester_Lr","#Goneril_Lr",0.274821119312132,5,"Sister, it is not little I have to say of what most nearly appertains to us both.","It did always seem so to us, but now in the division of the kingdom, it appears not which of the dukes he values most, for equalities are so weighed that curiosity in neither can make choice of either’s moiety."
"#Gloucester_Lr","#Goneril_Lr",0.293700872912619,33,"Sir, I had thought by making this well known unto you To have found a safe redress, but now grow fearful, By what yourself too late have spoke and done, That you protect this course and put it on By your allowance; which if you should, the fault Would not ’scape censure, nor the redresses sleep Which in the tender of a wholesome weal Might in their working do you that offense, Which else were shame, that then necessity Will call discreet proceeding.","What needed then that terrible dispatch of it into your pocket?"
"#Gloucester_Lr","#Goneril_Lr",0.298187651786418,48,"Safer than trust too far.","Frame the business after your own wisdom."
"#Gloucester_Lr","#Lear_Lr",0.147041478699162,30,"The bow is bent and drawn.","— Do you know this noble gentleman, Edmund?"
"#Gloucester_Lr","#Lear_Lr",0.198808349385863,3,"—  Give me the map there.","— Do you know this noble gentleman, Edmund?"
"#Gloucester_Lr","#Lear_Lr",0.203783107030456,287,"You will say they are Persian, but let them be changed.","And of my land, Loyal and natural boy, I’ll work the means To make thee capable."
"#Gloucester_Lr","#Lear_Lr",0.205733885803805,116,"Because they are not eight.","He hath been out nine years, and away he shall again."
"#Gloucester_Lr","#Lear_Lr",0.206149192412458,10,"To thine and Albany’s issue Be this perpetual.","He hath been out nine years, and away he shall again."
"#Gloucester_Lr","#Lear_Lr",0.222242091657759,14,"Nothing will come of nothing.","He hath been out nine years, and away he shall again."
"#Gloucester_Lr","#Lear_Lr",0.231862565404241,125,"They durst not do ’t.","These late eclipses in the sun and moon portend no good to us."
"#Gloucester_Lr","#Lear_Lr",0.249355748887154,81,"What makes that frontlet on?","What needed then that terrible dispatch of it into your pocket?"
"#Gloucester_Lr","#Lear_Lr",0.255660989099868,264,"Ha, here’s three on ’s are sophisticated.","Come to me, that of this I may speak more."
"#Gloucester_Lr","#Lear_Lr",0.260505506630237,239,"Is it not as this mouth should tear this hand For lifting food to ’t?","He did bewray his practice, and received This hurt you see striving to apprehend him."
"#Gloucester_Lr","#Edgar_Lr",0.168172977324706,8,"No port is free; no place That guard and most unusual vigilance Does not attend my taking.","The King must take it ill That he, so slightly valued in his messenger, Should have him thus restrained."
"#Gloucester_Lr","#Edgar_Lr",0.194582645390982,40,"How to prevent the fiend and to kill vermin.","His breeding, sir, hath been at my charge."
