"source","target","similarity","setnence_num_target","target_sent","source_sent"
"#Gloucester_Lr","#Goneril_Lr",0.467946654547144,61,"’Tis his own blame hath put himself from rest, And must needs taste his folly.","His fault is much, and the good king his master Will check him for ’t."
"#Gloucester_Lr","#Goneril_Lr",0.47032104557516,94,"Thou art not vanquished, But cozened and beguiled.","Methinks thy voice is altered and thou speak’st In better phrase and matter than thou didst."
"#Gloucester_Lr","#Goneril_Lr",0.486477824555175,57,"Why not by th’ hand, sir?","Give me the letter, sir."
"#Gloucester_Lr","#Goneril_Lr",0.487685812105667,73,"This trusty servant Shall pass between us.","By his authority I will proclaim it That he which finds him shall deserve our thanks, Bringing the murderous coward to the stake; He that conceals him, death."
"#Gloucester_Lr","#Goneril_Lr",0.491862866117808,38,"Here do you keep a hundred knights and squires, Men so disordered, so debauched and bold, That this our court, infected with their manners, Shows like a riotous inn.","Here’s France and Burgundy, my noble lord."
"#Gloucester_Lr","#Goneril_Lr",0.492808612852422,66,"Then shall you go no further.","From that place I shall no leading need."
"#Gloucester_Lr","#Goneril_Lr",0.502539150915714,71,"Hasten his musters and conduct his powers.","By his authority I will proclaim it That he which finds him shall deserve our thanks, Bringing the murderous coward to the stake; He that conceals him, death."
"#Gloucester_Lr","#Goneril_Lr",0.538792965987194,63,"My lord, entreat him by no means to stay.","By his authority I will proclaim it That he which finds him shall deserve our thanks, Bringing the murderous coward to the stake; He that conceals him, death."
"#Gloucester_Lr","#Goneril_Lr",0.58476088425588,70,"Back, Edmund, to my brother.","Now, Edmund, where’s the villain?"
"#Gloucester_Lr","#Goneril_Lr",0.627036538037001,52,"What, have you writ that letter to my sister?","Why so earnestly seek you to put up that letter?"
"#Gloucester_Lr","#Lear_Lr",0.57371962881657,52,"Thou shalt serve me — if I like thee no worse after dinner.","It shall lose thee nothing."
"#Gloucester_Lr","#Lear_Lr",0.575183682805452,343,"If thou wilt weep my fortunes, take my eyes.","It shall lose thee nothing."
"#Gloucester_Lr","#Lear_Lr",0.576811950099662,326,"A man may see how this world goes with no eyes.","I have no way and therefore want no eyes."
"#Gloucester_Lr","#Lear_Lr",0.580101572370966,225,"Hide thee, thou bloody hand, Thou perjured, and thou simular of virtue That art incestuous.","It shall lose thee nothing."
"#Gloucester_Lr","#Lear_Lr",0.595508131043387,38,"Right noble Burgundy, When she was dear to us, we did hold her so, But now her price is fallen.","Here’s France and Burgundy, my noble lord."
"#Gloucester_Lr","#Lear_Lr",0.620425608634648,291,"I am the King himself.","Where is the King my master?"
"#Gloucester_Lr","#Lear_Lr",0.620680083262011,36,"My lord of Burgundy, We first address toward you, who with this king Hath rivaled for our daughter.","Here’s France and Burgundy, my noble lord."
"#Gloucester_Lr","#Lear_Lr",0.644684632830588,148,"Go tell the Duke and ’s wife I’d speak with them.","The Duke must grant me that."
"#Gloucester_Lr","#Lear_Lr",0.68931751066397,140,"Tell the hot duke that —  No, but not yet.","The Duke must grant me that."
"#Gloucester_Lr","#Lear_Lr",0.703738701233497,354,"Come, come, I am a king, Masters, know you that?","Where is the King my master?"
"#Gloucester_Lr","#Edgar_Lr",0.545845345486827,4,"Some villain hath done me wrong.","— Find out this villain, Edmund."
"#Gloucester_Lr","#Edgar_Lr",0.546052896308453,185,"Haste thee for thy life.","Then, prithee, get thee away."
"#Gloucester_Lr","#Edgar_Lr",0.553278784885743,63,"But then the mind much sufferance doth o’erskip When grief hath mates and bearing fellowship.","True to tell thee, The grief hath crazed my wits."
"#Gloucester_Lr","#Edgar_Lr",0.576864112361192,168,"My name is Edgar and thy father’s son.","If Edgar live, O, bless him!"
"#Gloucester_Lr","#Edgar_Lr",0.592526642097673,1,"How now, brother Edmund, what serious contemplation are you in?","Edmund, seek him out; wind me into him, I pray you."
