"source","target","similarity","setnence_num_target","target_sent","source_sent"
"#Fool_Lr","#Regan_Lr",0.216635138100019,43,"I looked not for you yet, nor am provided For your fit welcome.","If thou follow him, thou must needs wear my coxcomb."
"#Fool_Lr","#Regan_Lr",0.232256872564317,13,"No marvel, then, though he were ill affected.","That thou wast born with."
"#Fool_Lr","#Regan_Lr",0.241193561409879,70,"What might import my sister’s letter to him?","She knapped ’em o’ th’ coxcombs with a stick and cried “Down, wantons, down!” ’Twas her brother that in pure kindness to his horse buttered his hay."
"#Fool_Lr","#Regan_Lr",0.250774741374296,58,"So white, and such a traitor?","Beg another of thy daughters."
"#Fool_Lr","#Regan_Lr",0.260453781075359,19,"The several messengers From hence attend dispatch.","Nay, an thou canst not smile as the wind sits, thou ’lt catch cold shortly."
"#Fool_Lr","#Regan_Lr",0.267792649739654,78,"Belike, Some things — I know not what.","But I can tell why a snail has a house."
"#Fool_Lr","#Regan_Lr",0.268577940011764,59,"Be simple-answered, for we know the truth.","Sirrah, I’ll teach thee a speech."
"#Fool_Lr","#Regan_Lr",0.273969311991524,24,"My sister may receive it much more worse To have her gentleman abused, assaulted For following her affairs.","Thou wast a pretty fellow when thou hadst no need to care for her frowning."
"#Fool_Lr","#Regan_Lr",0.274683079034538,15,"I have this present evening from my sister Been well informed of them, and with such cautions That if they come to sojourn at my house I’ll not be there.","She that’s a maid now and laughs at my departure, Shall not be a maid long, unless things be cut shorter."
"#Fool_Lr","#Regan_Lr",0.275456745055558,11,"He whom my father named, your Edgar?","That thou wast born with."
"#Fool_Lr","#Lear_Lr",0.132740394129006,73,"How now, my pretty knave, how dost thou?","Let me hire him too."
"#Fool_Lr","#Lear_Lr",0.193615352554428,75,"A pestilent gall to me!","Sirrah, you were best take my coxcomb."
"#Fool_Lr","#Lear_Lr",0.207450754744867,287,"You will say they are Persian, but let them be changed.","I would fain learn to lie."
"#Fool_Lr","#Lear_Lr",0.210489254991761,267,"What is the cause of thunder?","That sir which serves and seeks for gain, And follows but for form, Will pack when it begins to rain And leave thee in the storm."
"#Fool_Lr","#Lear_Lr",0.218698609024665,384,"I know when one is dead and when one lives.","When a wise man gives thee better counsel, give me mine again."
"#Fool_Lr","#Lear_Lr",0.250261401009199,299,"Goneril with a white beard?","That thou wast born with."
"#Fool_Lr","#Lear_Lr",0.251639101736862,300,"They flattered me like a dog and told me I had the white hairs in my beard ere the black ones were there.","Thou canst tell why one’s nose stands i’ th’ middle on ’s face?"
"#Fool_Lr","#Lear_Lr",0.252208205082716,333,"The usurer hangs the cozener.","For when thou gav’st them the rod and put’st down thine own breeches, Prithee, nuncle, keep a schoolmaster that can teach thy Fool to lie."
"#Fool_Lr","#Lear_Lr",0.252406513859072,125,"They durst not do ’t.","Which they will make an obedient father."
"#Fool_Lr","#Lear_Lr",0.252917587886071,121,"’Tis strange that they should so depart from home And not send back my messenger.","Thy asses are gone about ’em."
"#Fool_Lr","#Edgar_Lr",0.139314276824296,8,"No port is free; no place That guard and most unusual vigilance Does not attend my taking.","If I had a monopoly out, they would have part on ’t."
"#Fool_Lr","#Edgar_Lr",0.20635739982595,77,"The worst is not So long as we can say “This is the worst.”","If I speak like myself in this, let him be whipped that first finds it so."
"#Fool_Lr","#Edgar_Lr",0.209894106620105,186,"Or image of that horror?","Which they will make an obedient father."
"#Fool_Lr","#Edgar_Lr",0.225403030773975,115,"It is, And my heart breaks at it.","For taking one’s part that’s out of favor."
"#Fool_Lr","#Edgar_Lr",0.228219748382476,32,"This is the foul fiend Flibbertigibbet.","Now, a little fire in a wild field were like an old lecher’s heart — a small spark, all the rest on ’s body cold."
"#Fool_Lr","#Edgar_Lr",0.232930040297672,118,"But, by your favor, How near’s the other army?","For taking one’s part that’s out of favor."
