"source,""target"",""similarity"",""setnence_num_target"",""target_sent"",""source_sent""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.459245543708506,40,""God you good morrow, gentlemen."",""Young son, it argues a distempered head So soon to bid ""Good morrow"" to thy bed.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.275277887443587,41,""What a man are you?"",""Young men's love then lies Not truly in their hearts, but in their eyes.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.422424020189057,42,""By my troth, it is well said: ""for himself to mar,"" quoth he?"",""Is Rosaline, that thou didst love so dear, So soon forsaken?""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.410453116138781,43,""Gentlemen, can any of you tell me where I may find the young Romeo?"",""Therefore thy earliness doth me assure Thou art uproused with some distemp'rature, Or, if not so, then here I hit it right: Our Romeo hath not been in bed tonight.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.309686413879536,44,""If you be he, sir, I desire some confidence with you."",""But come, young waverer, come, go with me.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.334231883466332,45,""I pray you, sir, what saucy merchant was this that was so full of his ropery?"",""What early tongue so sweet saluteth me?""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.381772525867436,46,""An he speak anything against me, I'll take him down, an he were lustier than he is, and twenty such jacks."",""Young men's love then lies Not truly in their hearts, but in their eyes.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.277275241126237,47,""An if I cannot, I'll find those that shall."",""If e'er thou wast thyself, and these woes thine, Thou and these woes were all for Rosaline.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.317810308962794,48,""Scurvy knave, I am none of his flirt-gills";" I am none of his skains-mates."",""But come, young waverer, come, go with me.""";
"#FriarLawrence_Rom,""#Nurse_Rom"",0.445916068268773,49,""And thou must stand by too and suffer every knave to use me at his pleasure."",""If e'er thou wast thyself, and these woes thine, Thou and these woes were all for Rosaline.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.386032457287018,50,""Now, afore God, I am so vexed that every part about me quivers."",""For doting, not for loving, pupil mine.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.32160428111814,51,""Pray you, sir, a word."",""Riddling confession finds but riddling shrift.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.428854776572969,52,""And, as I told you, my young lady bid me inquire you out."",""But come, young waverer, come, go with me.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.273940856109093,53,""What she bid me say, I will keep to myself."",""In one respect I'll thy assistant be, For this alliance may so happy prove To turn your households' rancor to pure love.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.273254640267173,54,""But first let me tell you, if you should lead her in a fool's paradise, as they say, it were a very gross kind of behavior, as they say."",""Riddling confession finds but riddling shrift.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.290368980065037,55,""For the gentlewoman is young";" and therefore, if you should deal double with her, truly it were an ill thing to be offered to any gentlewoman, and very weak dealing."",""In one respect I'll thy assistant be, For this alliance may so happy prove To turn your households' rancor to pure love.""";
"#FriarLawrence_Rom,""#Nurse_Rom"",0.317946796610864,56,""Good heart, and i' faith I will tell her as much."",""O, she knew well Thy love did read by rote, that could not spell.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.345758106360905,57,""Lord, Lord, she will be a joyful woman."",""In one respect I'll thy assistant be, For this alliance may so happy prove To turn your households' rancor to pure love.""";;
"#FriarLawrence_Rom,""#Nurse_Rom"",0.334834412805431,58,""I will tell her, sir, that you do protest, which, as I take it, is a gentlemanlike offer."",""In one respect I'll thy assistant be, For this alliance may so happy prove To turn your households' rancor to pure love.""";;
