source;target;similarity;setnence_num_target;target_sent;source_sent
#Romeo_Rom;#Mercutio_Rom;0.541172296903899;69;I will bite thee by the ear for that jest.;What, shall I groan and tell thee?
#Romeo_Rom;#Mercutio_Rom;0.543382052021542;27;Appear thou in the likeness of a sigh.;What, shall I groan and tell thee?
#Romeo_Rom;#Mercutio_Rom;0.54782893972572;63;Thou hast most kindly hit it.;I'll tell thee ere thou ask it me again.
#Romeo_Rom;#Mercutio_Rom;0.548799679333173;98;And yet thou wilt tutor me from quarreling?;O, wilt thou leave me so unsatisfied?
#Romeo_Rom;#Mercutio_Rom;0.562581653033528;5;Prick love for pricking, and you beat love down.;It is too rough, Too rude, too boist'rous, and it pricks like thorn.
#Romeo_Rom;#Mercutio_Rom;0.564398608583434;11;If thou art dun, we'll draw thee from the mire -  Or, save your reverence, love - wherein thou stickest Up to the ears.;What, shall I groan and tell thee?
#Romeo_Rom;#Mercutio_Rom;0.571937567896744;4;If love be rough with you, be rough with love.;This love feel I, that feel no love in this.
#Romeo_Rom;#Mercutio_Rom;0.57437119312001;36;If love be blind, love cannot hit the mark.;Alas that love, whose view is muffled still, Should without eyes see pathways to his will!
#Romeo_Rom;#Mercutio_Rom;0.594959326555582;85;Romeo, will you come to your father's?;Henceforth I never will be Romeo.
#Romeo_Rom;#Mercutio_Rom;0.733499384753688;3;And to sink in it should you burden love -  Too great oppression for a tender thing.;Under love's heavy burden do I sink.
#Juliet_Rom;#Mercutio_Rom;0.498139171599948;110;"Your Worship in that sense may call him ""man.""";O, be some other name Belonging to a man.
#Juliet_Rom;#Mercutio_Rom;0.509251732943023;122;Ask for me tomorrow, and you shall find me a grave man.;If he be married, My grave is like to be my wedding bed.
#Juliet_Rom;#Mercutio_Rom;0.554642486709831;116;Make haste, lest mine be about your ears ere it be out.;My ears have yet not drunk a hundred words Of thy tongue's uttering, yet I know the sound.
#Juliet_Rom;#Mercutio_Rom;0.559987989171087;88;"Thou art like one of these fellows that, when he enters the confines of a tavern, claps me his sword upon the table and says ""God send me no need of thee"" and, by the operation of the second cup, draws him on the drawer when indeed there is no need.";I gave thee mine before thou didst request it, And yet I would it were to give again.
#Juliet_Rom;#Mercutio_Rom;0.565766608692645;45;Alas, poor Romeo, he is already dead, stabbed with a white wench's black eye, run through the ear with a love-song, the very pin of his heart cleft with the blind bow-boy's butt shaft.;O Romeo, Romeo, wherefore art thou Romeo?
#Juliet_Rom;#Mercutio_Rom;0.618605895665488;63;Thou hast most kindly hit it.;- But if thou meanest not well, I do beseech thee -
#Juliet_Rom;#Mercutio_Rom;0.621592406385388;85;Romeo, will you come to your father's?;O Romeo, Romeo, wherefore art thou Romeo?
#Juliet_Rom;#Mercutio_Rom;0.627554241497025;73;Now art thou sociable, now art thou Romeo, now art thou what thou art, by art as well as by nature.;O Romeo, Romeo, wherefore art thou Romeo?
#Juliet_Rom;#Mercutio_Rom;0.644247326439597;40;Where the devil should this Romeo be?;O Romeo, Romeo, wherefore art thou Romeo?
#Juliet_Rom;#Mercutio_Rom;0.648490937175349;28;Speak but one rhyme and I am satisfied.;A rhyme I learned even now Of one I danced withal.
#Benvolio_Rom;#Mercutio_Rom;0.56996289688902;91;Thou - why, thou wilt quarrel with a man that hath a hair more or a hair less in his beard than thou hast.;An if he hear thee, thou wilt anger him.
