source;target;similarity;setnence_num_target;target_sent;source_sent
#LadyCapulet_Rom;#Juliet_Rom;0.598659018359615;97;I' faith, I am sorry that thou art not well.;I pray thee, hold thy peace.
#LadyCapulet_Rom;#Juliet_Rom;0.598827437907685;61;If that thy bent of love be honorable, Thy purpose marriage, send me word tomorrow, By one that I'll procure to come to thee, Where and what time thou wilt perform the rite, And all my fortunes at thy foot I'll lay And follow thee my lord throughout the world.;I pray thee, hold thy peace.
#LadyCapulet_Rom;#Juliet_Rom;0.601904484654312;213;Hast thou not a word of joy?;Well, well, thou hast a careful father, child, One who, to put thee from thy heaviness, Hath sorted out a sudden day of joy That thou expects not, nor I looked not for.
#LadyCapulet_Rom;#Juliet_Rom;0.607878945108042;147;My husband lives, that Tybalt would have slain, And Tybalt's dead, that would have slain my husband.;Tybalt, my cousin, O my brother's child!
#LadyCapulet_Rom;#Juliet_Rom;0.616150159134356;151;"But with a rearward following Tybalt's death, ""Romeo is banished."" To speak that word Is father, mother, Tybalt, Romeo, Juliet, All slain, all dead.";Romeo slew Tybalt
#LadyCapulet_Rom;#Juliet_Rom;0.626075692400324;200;Now, by Saint Peter's Church, and Peter too, He shall not make me there a joyful bride!;Marry, my child, early next Thursday morn The gallant, young, and noble gentleman, The County Paris, at Saint Peter's Church Shall happily make thee there a joyful bride.
#LadyCapulet_Rom;#Juliet_Rom;0.699475992083285;1;And stint thou, too, I pray thee, nurse, say I.;I pray thee, hold thy peace.
#LadyCapulet_Rom;#Juliet_Rom;0.703576975162199;126;Is Romeo slaughtered and is Tybalt dead?;Romeo slew Tybalt
#LadyCapulet_Rom;#Juliet_Rom;0.727599412032753;89;Nay, come, I pray thee, speak.;I pray thee, hold thy peace.
#LadyCapulet_Rom;#Juliet_Rom;0.831162468805152;190;Feeling so the loss, I cannot choose but ever weep the friend.;So shall you feel the loss, but not the friend Which you weep for.
#Capulet_Rom;#Juliet_Rom;0.561305499229463;186;Is she not down so late or up so early?;She'll not come down tonight.
#Capulet_Rom;#Juliet_Rom;0.574186482199441;28;Art thou not Romeo, and a Montague?;But Montague is bound as well as I, In penalty alike, and 'tis not hard, I think, For men so old as we to keep the peace.
#Capulet_Rom;#Juliet_Rom;0.577527219467845;161;It is not yet near day.;""" on Wednesday next ""  But soft, what day is this?"
