"source,""target"",""similarity"",""setnence_num_target"",""target_sent"",""source_sent""";;;
"#Demetrius_MND,""#Lysander_MND"",0.553156516661981,63,""Vile thing, let loose, Or I will shake thee from me like a serpent."",""I'll run from thee and hide me in the brakes And leave thee to the mercy of wild beasts.""";;;
"#Demetrius_MND,""#Lysander_MND"",0.560536714993484,16,""There, gentle Hermia, may I marry thee";" And to that place the sharp Athenian law Cannot pursue us."",""Relent, sweet Hermia, and, Lysander, yield Thy crazed title to my certain right.""";;
"#Demetrius_MND,""#Lysander_MND"",0.564058483846009,79,""Come, thou gentle day, For if but once thou show me thy gray light, I'll find Demetrius and revenge this spite."",""Hence, get thee gone, and follow me no more.""";;;
"#Demetrius_MND,""#Lysander_MND"",0.567584633047756,41,""For, as a surfeit of the sweetest things The deepest loathing to the stomach brings, Or as the heresies that men do leave Are hated most of those they did deceive, So thou, my surfeit and my heresy, Of all be hated, but the most of me!"",""Tempt not too much the hatred of my spirit, For I am sick when I do look on thee.""";;;
"#Demetrius_MND,""#Lysander_MND"",0.570665088450138,64,""Demetrius, I will keep my word with thee."",""I'll run from thee and hide me in the brakes And leave thee to the mercy of wild beasts.""";;;
"#Demetrius_MND,""#Lysander_MND"",0.611836969879338,48,""Demetrius loves her, and he loves not you."",""I love thee not";" therefore pursue me not.""";;
"#Demetrius_MND,""#Lysander_MND"",0.668385039841152,60,""I swear by that which I will lose for thee, To prove him false that says I love thee not."",""I love thee not";" therefore pursue me not.""";;
"#Demetrius_MND,""#Lysander_MND"",0.670814930617861,40,""- Hermia, sleep thou there, And never mayst thou come Lysander near."",""Relent, sweet Hermia, and, Lysander, yield Thy crazed title to my certain right.""";;;
"#Demetrius_MND,""#Lysander_MND"",0.738289910074427,90,""Less than an ace, man, for he is dead, he is nothing."",""No die, but an ace for him, for he is but one.""";;;
"#Demetrius_MND,""#Lysander_MND"",0.760083407227554,57,""Thou canst compel no more than she entreat."",""If she cannot entreat, I can compel.""";;;
"#Bottom_MND,""#Lysander_MND"",0.477496755695154,63,""Vile thing, let loose, Or I will shake thee from me like a serpent."",""Stay thou but here awhile, And by and by I will to thee appear.""";;;
"#Bottom_MND,""#Lysander_MND"",0.487335140859314,75,""I will be with thee straight."",""Stay thou but here awhile, And by and by I will to thee appear.""";;;
"#Bottom_MND,""#Lysander_MND"",0.511098954973279,89,""And so the lion vanished."",""If you think I come hither as a lion, it were pity of my life.""";;;
"#Bottom_MND,""#Lysander_MND"",0.525477149494834,80,""My lord, I shall reply amazedly, Half sleep, half waking."",""But, I pray you, let none of your people stir me";" I have an exposition of sleep come upon me.""";;
"#Bottom_MND,""#Lysander_MND"",0.543867291889359,88,""This lion is a very fox for his valor."",""For there is not a more fearful wildfowl than your lion living, and we ought to look to 't.""";;;
"#Bottom_MND,""#Lysander_MND"",0.545148441983728,67,""Ay, by my life, And never did desire to see thee more."",""Stay thou but here awhile, And by and by I will to thee appear.""";;;
"#Bottom_MND,""#Lysander_MND"",0.546486490696059,55,""Could not this make thee know The hate I bear thee made me leave thee so?"",""Stay thou but here awhile, And by and by I will to thee appear.""";;;
"#Bottom_MND,""#Lysander_MND"",0.570690369998164,60,""I swear by that which I will lose for thee, To prove him false that says I love thee not."",""Stay thou but here awhile, And by and by I will to thee appear.""";;;
"#Bottom_MND,""#Lysander_MND"",0.59459213156485,79,""Come, thou gentle day, For if but once thou show me thy gray light, I'll find Demetrius and revenge this spite."",""Stay thou but here awhile, And by and by I will to thee appear.""";;;
"#Bottom_MND,""#Lysander_MND"",0.631076065304191,64,""Demetrius, I will keep my word with thee."",""Stay thou but here awhile, And by and by I will to thee appear.""";;;
"#RobinGoodfellow_MND,""#Lysander_MND"",0.460301470957936,53,""Why should he stay whom love doth press to go?"",""The King doth keep his revels here tonight.""";;;
"#RobinGoodfellow_MND,""#Lysander_MND"",0.461389046093764,40,""- Hermia, sleep thou there, And never mayst thou come Lysander near."",""When thou wak'st, let love forbid Sleep his seat on thy eyelid.""";;;
"#RobinGoodfellow_MND,""#Lysander_MND"",0.468532379482218,54,""Lysander's love, that would not let him bide, Fair Helena, who more engilds the night Than all yon fiery oes and eyes of light."",""I took him sleeping - that is finished, too -  And the Athenian woman by his side, That, when he waked, of force she must be eyed.""";;;
"#RobinGoodfellow_MND,""#Lysander_MND"",0.474635499681726,69,""Be certain, nothing truer, 'tis no jest That I do hate thee and love Helena."",""Captain of our fairy band, Helena is here at hand, And the youth, mistook by me, Pleading for a lover's fee.""";;;
"#RobinGoodfellow_MND,""#Lysander_MND"",0.48409723349881,56,""Hear my excuse, My love, my life, my soul, fair Helena."",""Captain of our fairy band, Helena is here at hand, And the youth, mistook by me, Pleading for a lover's fee.""";;;
"#RobinGoodfellow_MND,""#Lysander_MND"",0.499385790667291,48,""Demetrius loves her, and he loves not you."",""But she perforce withholds the loved boy, Crowns him with flowers and makes him all her joy.""";;;
"#RobinGoodfellow_MND,""#Lysander_MND"",0.502684943716837,31,""And run through fire I will for thy sweet sake."",""Your servant shall do so.""";;;
"#RobinGoodfellow_MND,""#Lysander_MND"",0.528797106269746,83,""Our intent Was to be gone from Athens, where we might, Without the peril of the Athenian law -"",""And so far blameless proves my enterprise That I have 'nointed an Athenian's eyes";" And so far am I glad it so did sort, As this their jangling I esteem a sport.""";;
"#RobinGoodfellow_MND,""#Lysander_MND"",0.546005742856674,79,""Come, thou gentle day, For if but once thou show me thy gray light, I'll find Demetrius and revenge this spite."",""For fear lest day should look their shames upon, They willfully themselves exile from light And must for aye consort with black-browed night.""";;;
"#RobinGoodfellow_MND,""#Lysander_MND"",0.565835455840803,51,""And yours of Helena to me bequeath, Whom I do love and will do till my death."",""Captain of our fairy band, Helena is here at hand, And the youth, mistook by me, Pleading for a lover's fee.""";;;
"#Helena_MND,""#Lysander_MND"",0.56390434442738,43,""Why should you think that I should woo in scorn?"",""When at your hands did I deserve this scorn?""";;;
"#Helena_MND,""#Lysander_MND"",0.566325894582251,48,""Demetrius loves her, and he loves not you."",""Stay, though thou kill me, sweet Demetrius.""";;;
"#Helena_MND,""#Lysander_MND"",0.570443974357337,51,""And yours of Helena to me bequeath, Whom I do love and will do till my death."",""You both are rivals and love Hermia, And now both rivals to mock Helena.""";;;
"#Helena_MND,""#Lysander_MND"",0.576899015815704,35,""Not Hermia, but Helena I love."",""Yet Hermia still loves you.""";;;
"#Helena_MND,""#Lysander_MND"",0.655285378145426,74,""Where art thou, proud Demetrius?"",""Stay, though thou kill me, sweet Demetrius.""";;;
"#Helena_MND,""#Lysander_MND"",0.658480293829307,20,""As you on him, Demetrius dote on you!"",""O, teach me how you look and with what art You sway the motion of Demetrius' heart!""";;;
"#Helena_MND,""#Lysander_MND"",0.678331388719049,79,""Come, thou gentle day, For if but once thou show me thy gray light, I'll find Demetrius and revenge this spite."",""Stay, though thou kill me, sweet Demetrius.""";;;
"#Helena_MND,""#Lysander_MND"",0.695342875264539,40,""- Hermia, sleep thou there, And never mayst thou come Lysander near."",""-  Lysander, if you live, good sir, awake.""";;;
"#Helena_MND,""#Lysander_MND"",0.711799515382446,49,""Be not so, For you love Hermia";" this you know I know."",""Yet Hermia still loves you.""";;
"#Helena_MND,""#Lysander_MND"",0.775939817544546,64,""Demetrius, I will keep my word with thee."",""Stay, though thou kill me, sweet Demetrius.""";;;
"#Hermia_MND,""#Lysander_MND"",0.579219224325723,55,""Could not this make thee know The hate I bear thee made me leave thee so?"",""But why unkindly didst thou leave me so?""";;;
"#Hermia_MND,""#Lysander_MND"",0.579434917147041,54,""Lysander's love, that would not let him bide, Fair Helena, who more engilds the night Than all yon fiery oes and eyes of light."",""If thou hast slain Lysander in his sleep, Being o'er shoes in blood, plunge in the deep And kill me too.""";;;
"#Hermia_MND,""#Lysander_MND"",0.582958608198798,16,""There, gentle Hermia, may I marry thee";" And to that place the sharp Athenian law Cannot pursue us."",""I know not by what power I am made bold, Nor how it may concern my modesty In such a presence here to plead my thoughts";" But I beseech your Grace that I may know The worst that may befall me in this case If I refuse to wed Demetrius.""";
"#Hermia_MND,""#Lysander_MND"",0.601348270400534,70,""She shall not harm thee, Helena."",""His folly, Helena, is no fault of mine.""";;;
"#Hermia_MND,""#Lysander_MND"",0.603374549523453,3,""My love is more than his"; My fortunes every way as fairly ranked (If not with vantage) as Demetrius';" And (which is more than all these boasts can be) I am beloved of beauteous Hermia."",""I know not by what power I am made bold, Nor how it may concern my modesty In such a presence here to plead my thoughts";" But I beseech your Grace that I may know The worst that may befall me in this case If I refuse to wed Demetrius."""
"#Hermia_MND,""#Lysander_MND"",0.630674702641166,40,""- Hermia, sleep thou there, And never mayst thou come Lysander near."",""Now much beshrew my manners and my pride If Hermia meant to say Lysander lied.""";;;
"#Hermia_MND,""#Lysander_MND"",0.667349790748941,74,""Where art thou, proud Demetrius?"",""Ah, good Demetrius, wilt thou give him me?""";;;
"#Hermia_MND,""#Lysander_MND"",0.683487972245254,79,""Come, thou gentle day, For if but once thou show me thy gray light, I'll find Demetrius and revenge this spite."",""Pray thou for us, And good luck grant thee thy Demetrius.""";;;
"#Hermia_MND,""#Lysander_MND"",0.712109526848549,20,""As you on him, Demetrius dote on you!"",""Pray thou for us, And good luck grant thee thy Demetrius.""";;;
"#Hermia_MND,""#Lysander_MND"",0.726512099883521,64,""Demetrius, I will keep my word with thee."",""Pray thou for us, And good luck grant thee thy Demetrius.""";;;
