"source","target","similarity","setnence_num_target","target_sent","source_sent"
"#Benvolio_Rom","#Juliet_Rom",0.708235500927853,1,"And stint thou, too, I pray thee, nurse, say I.","For what, I pray thee?"
"#Benvolio_Rom","#Juliet_Rom",0.399887704833244,2,"It is an honor that I dream not of.","For what, I pray thee?"
"#Benvolio_Rom","#Juliet_Rom",0.383121778917331,3,"I’ll look to like, if looking liking move.","Soft, I will go along."
"#Benvolio_Rom","#Juliet_Rom",0.398496179927242,4,"But no more deep will I endart mine eye Than your consent gives strength to make it fly.","Go thither, and with unattainted eye Compare her face with some that I shall show, And I will make thee think thy swan a crow."
"#Benvolio_Rom","#Juliet_Rom",0.400003523779913,5,"Good pilgrim, you do wrong your hand too much, Which mannerly devotion shows in this; For saints have hands that pilgrims’ hands do touch, And palm to palm is holy palmers’ kiss.","Supper is done, and we shall come too late."
"#Benvolio_Rom","#Juliet_Rom",0.5044087957321,6,"Ay, pilgrim, lips that they must use in prayer.","For what, I pray thee?"
"#Benvolio_Rom","#Juliet_Rom",0.352815262784291,7,"Saints do not move, though grant for prayers’ sake.","Madam, an hour before the worshiped sun Peered forth the golden window of the east, A troubled mind drove me to walk abroad, Where underneath the grove of sycamore That westward rooteth from this city side, So early walking did I see your son."
"#Benvolio_Rom","#Juliet_Rom",0.391777898330934,8,"Then have my lips the sin that they have took.","Take thou some new infection to thy eye, And the rank poison of the old will die."
"#Benvolio_Rom","#Juliet_Rom",0.306468068969974,9,"You kiss by th’ book.","Go thither, and with unattainted eye Compare her face with some that I shall show, And I will make thee think thy swan a crow."
"#Benvolio_Rom","#Juliet_Rom",0.419347740257343,10,"What’s he that now is going out of door?","Come, knock and enter, and no sooner in But every man betake him to his legs."
"#Benvolio_Rom","#Juliet_Rom",0.413672559484213,11,"What’s he that follows here, that would not dance?","Come, knock and enter, and no sooner in But every man betake him to his legs."
"#Benvolio_Rom","#Juliet_Rom",0.400947543059807,12,"If he be marrièd, My grave is like to be my wedding bed.","Tell me in sadness, who is that you love?"
"#Benvolio_Rom","#Juliet_Rom",0.511981731131856,13,"My only love sprung from my only hate!","Tell me in sadness, who is that you love?"
"#Benvolio_Rom","#Juliet_Rom",0.378020848200528,14,"Too early seen unknown, and known too late!","Supper is done, and we shall come too late."
"#Benvolio_Rom","#Juliet_Rom",0.44406540767497,15,"Prodigious birth of love it is to me That I must love a loathèd enemy.","Tell me in sadness, who is that you love?"
"#Benvolio_Rom","#Juliet_Rom",0.406517342569481,16,"A rhyme I learned even now Of one I danced withal.","Go thither, and with unattainted eye Compare her face with some that I shall show, And I will make thee think thy swan a crow."
"#Benvolio_Rom","#Juliet_Rom",0.783299505909461,17,"O Romeo, Romeo, wherefore art thou Romeo?","Why Romeo, art thou mad?"
"#Benvolio_Rom","#Juliet_Rom",0.502608404202025,18,"Deny thy father and refuse thy name, Or, if thou wilt not, be but sworn my love, And I’ll no longer be a Capulet.","An if he hear thee, thou wilt anger him."
