"source,""target"",""similarity"",""setnence_num_target"",""target_sent"",""source_sent""";
"#Iago_Oth,""#Roderigo_Oth"",0.268460231797741,2,""Thou toldst me thou didst hold him in thy hate."",""If ever I did dream of such a matter, Abhor me.""";
"#Iago_Oth,""#Roderigo_Oth"",0.291773890139656,30,""But that was but courtesy."",""Didst thou not see her paddle with the palm of his hand?""";
"#Iago_Oth,""#Roderigo_Oth"",0.297516615644185,49,""Is it within reason and compass?"",""Seek thou rather to be hanged in compassing thy joy than to be drowned and go without her.""";
"#Iago_Oth,""#Roderigo_Oth"",0.299168678159495,6,""Here is her father's house."",""Make after him, poison his delight, Proclaim him in the streets";" incense her kinsmen, And, though he in a fertile climate dwell, Plague him with flies."""
"#Iago_Oth,""#Roderigo_Oth"",0.30998039602414,31,""I will do this, if you can bring it to any opportunity."",""We will have more of this tomorrow.""";
"#Iago_Oth,""#Roderigo_Oth"",0.324567931190971,16,""Truly, I think they are."",""These fellows have some soul, And such a one do I profess myself.""";
"#Iago_Oth,""#Roderigo_Oth"",0.326581734517158,15,""If she be in her chamber or your house, Let loose on me the justice of the state For thus deluding you."",""Awake the snorting citizens with the bell, Or else the devil will make a grandsire of you.""";
"#Iago_Oth,""#Roderigo_Oth"",0.34347502668691,54,""I may miscarry in 't."",""My lord is fall'n into an epilepsy.""";
"#Iago_Oth,""#Roderigo_Oth"",0.352719055152913,43,""By this hand, I say 'tis very scurvy, and begin to find myself fopped in it."",""O, 'tis the spite of hell, the fiend's arch-mock, To lip a wanton in a secure couch And to suppose her chaste!""";
"#Iago_Oth,""#Roderigo_Oth"",0.359117622253525,7,""Signior, is all your family within?"",""Others there are Who, trimmed in forms and visages of duty, Keep yet their hearts attending on themselves, And, throwing but shows of service on their lords, Do well thrive by them";" and when they have lined their coats, Do themselves homage."""
"#Cassio_Oth,""#Roderigo_Oth"",0.20849381448705,22,""It is silliness to live, when to live is torment, and then have we a prescription to die when death is our physician."",""The Duke does greet you, general, And he requires your haste-post-haste appearance, Even on the instant.""";
"#Cassio_Oth,""#Roderigo_Oth"",0.232043440377658,21,""I will incontinently drown myself."",""You have been hotly called for.""";
"#Cassio_Oth,""#Roderigo_Oth"",0.23219151040286,51,""How do you mean, removing him?"",""Madam, I'll take my leave.""";
"#Cassio_Oth,""#Roderigo_Oth"",0.238710475211042,31,""I will do this, if you can bring it to any opportunity."",""Here comes another troop to seek for you.""";
"#Cassio_Oth,""#Roderigo_Oth"",0.246297717644564,27,""I'll sell all my land."",""Something from Cyprus, as I may divine.""";
"#Cassio_Oth,""#Roderigo_Oth"",0.25016191494941,23,""I confess it is my shame to be so fond, but it is not in my virtue to amend it."",""You have been hotly called for.""";
"#Cassio_Oth,""#Roderigo_Oth"",0.263654190111918,24,""Wilt thou be fast to my hopes if I depend on the issue?"",""The Duke does greet you, general, And he requires your haste-post-haste appearance, Even on the instant.""";
"#Cassio_Oth,""#Roderigo_Oth"",0.267492755993122,54,""I may miscarry in 't."",""I pray you pardon me";" I cannot speak."""
"#Cassio_Oth,""#Roderigo_Oth"",0.28573675190874,19,""Signior, it is the Moor."",""The galleys Have sent a dozen sequent messengers This very night at one another's heels, And many of the Consuls, raised and met, Are at the Duke's already.""";
"#Cassio_Oth,""#Roderigo_Oth"",0.294529644301414,49,""Is it within reason and compass?"",""And discourse fustian with one's own shadow?""";
"#Othello_Oth,""#Roderigo_Oth"",0.286283219327862,32,""I do follow here in the chase, not like a hound that hunts, but one that fills up the cry."",""O, my sweet, I prattle out of fashion, and I dote In mine own comforts.""";
"#Othello_Oth,""#Roderigo_Oth"",0.297067302419046,54,""I may miscarry in 't."",""O, pardon me, 'twill do me good to walk.""";
"#Othello_Oth,""#Roderigo_Oth"",0.310952152281364,53,""I will hear further reason for this."",""I cannot speak enough of this content.""";
"#Othello_Oth,""#Roderigo_Oth"",0.319760330533381,24,""Wilt thou be fast to my hopes if I depend on the issue?"",""I will but spend a word here in the house And go with you.""";
"#Othello_Oth,""#Roderigo_Oth"",0.338069349700756,31,""I will do this, if you can bring it to any opportunity."",""I will but spend a word here in the house And go with you.""";
"#Othello_Oth,""#Roderigo_Oth"",0.339563505903553,48,""Ay, and said nothing but what I protest intendment of doing."",""And therefore little shall I grace my cause In speaking for myself.""";
"#Othello_Oth,""#Roderigo_Oth"",0.346657600545771,51,""How do you mean, removing him?"",""Let him do his spite.""";
"#Othello_Oth,""#Roderigo_Oth"",0.352772901435806,30,""But that was but courtesy."",""Were it my cue to fight, I should have known it Without a prompter.""";
"#Othello_Oth,""#Roderigo_Oth"",0.363596248168071,52,""And that you would have me to do?"",""What would you with her, sir?""";
"#Othello_Oth,""#Roderigo_Oth"",0.364811216716985,38,""Faith, I have heard too much, and your words and performances are no kin together."",""Yet, by your gracious patience, I will a round unvarnished tale deliver Of my whole course of love - what drugs, what charms, What conjuration, and what mighty magic (For such proceeding I am charged withal) I won his daughter.""";
