"source,""target"",""similarity"",""setnence_num_target"",""target_sent"",""source_sent""";
"#Titania_MND,""#Oberon_MND"",0.492231253952067,78,""See as thou wast wont to see."",""Thou shalt remain here whether thou wilt or no.""";
"#Titania_MND,""#Oberon_MND"",0.497773211788442,72,""For she his hairy temples then had rounded With coronet of fresh and fragrant flowers";" And that same dew, which sometime on the buds Was wont to swell like round and orient pearls, Stood now within the pretty flouriets' eyes, Like tears that did their own disgrace bewail."",""The moon, methinks, looks with a wat'ry eye, And when she weeps, weeps every little flower, Lamenting some enforced chastity."""
"#Titania_MND,""#Oberon_MND"",0.499022146229966,69,""Seest thou this sweet sight?"",""Thou art as wise as thou art beautiful.""";
"#Titania_MND,""#Oberon_MND"",0.505469632049565,94,""With this field-dew consecrate Every fairy take his gait, And each several chamber bless, Through this palace, with sweet peace."",""-  Fairies, begone, and be all ways away.""";
"#Titania_MND,""#Oberon_MND"",0.534161611653695,76,""But first I will release the Fairy Queen."",""Not for thy fairy kingdom.""";
"#Titania_MND,""#Oberon_MND"",0.539587326169053,84,""Now thou and I are new in amity, And will tomorrow midnight solemnly Dance in Duke Theseus' house triumphantly, And bless it to all fair prosperity."",""Sleep thou, and I will wind thee in my arms.""";
"#Titania_MND,""#Oberon_MND"",0.548278142325489,65,""Whiles I in this affair do thee employ, I'll to my queen and beg her Indian boy";" And then I will her charmed eye release From monster's view, and all things shall be peace."",""Why art thou here, Come from the farthest steep of India, But that, forsooth, the bouncing Amazon, Your buskined mistress and your warrior love, To Theseus must be wedded, and you come To give their bed joy and prosperity?"""
"#Titania_MND,""#Oberon_MND"",0.552458276773951,90,""Now, until the break of day, Through this house each fairy stray."",""-  Fairies, begone, and be all ways away.""";
"#Titania_MND,""#Oberon_MND"",0.552979784022355,85,""There shall the pairs of faithful lovers be Wedded, with Theseus, all in jollity."",""Perchance till after Theseus' wedding day.""";
"#Titania_MND,""#Oberon_MND"",0.562382550864526,89,""Every elf and fairy sprite, Hop as light as bird from brier, And this ditty after me, Sing and dance it trippingly."",""Come, now a roundel and a fairy song";" Then, for the third part of a minute, hence -  Some to kill cankers in the muskrose buds, Some war with reremice for their leathern wings To make my small elves coats, and some keep back The clamorous owl that nightly hoots and wonders At our quaint spirits."""
"#Titania_MND,""#Oberon_MND"",0.492231253952067,78,""See as thou wast wont to see."",""Thou shalt remain here whether thou wilt or no.""";
"#Titania_MND,""#Oberon_MND"",0.497773211788442,72,""For she his hairy temples then had rounded With coronet of fresh and fragrant flowers";" And that same dew, which sometime on the buds Was wont to swell like round and orient pearls, Stood now within the pretty flouriets' eyes, Like tears that did their own disgrace bewail."",""The moon, methinks, looks with a wat'ry eye, And when she weeps, weeps every little flower, Lamenting some enforced chastity."""
"#Titania_MND,""#Oberon_MND"",0.499022146229966,69,""Seest thou this sweet sight?"",""Thou art as wise as thou art beautiful.""";
"#Titania_MND,""#Oberon_MND"",0.505469632049565,94,""With this field-dew consecrate Every fairy take his gait, And each several chamber bless, Through this palace, with sweet peace."",""-  Fairies, begone, and be all ways away.""";
"#Titania_MND,""#Oberon_MND"",0.534161611653695,76,""But first I will release the Fairy Queen."",""Not for thy fairy kingdom.""";
"#Titania_MND,""#Oberon_MND"",0.539587326169053,84,""Now thou and I are new in amity, And will tomorrow midnight solemnly Dance in Duke Theseus' house triumphantly, And bless it to all fair prosperity."",""Sleep thou, and I will wind thee in my arms.""";
"#Titania_MND,""#Oberon_MND"",0.548278142325489,65,""Whiles I in this affair do thee employ, I'll to my queen and beg her Indian boy";" And then I will her charmed eye release From monster's view, and all things shall be peace."",""Why art thou here, Come from the farthest steep of India, But that, forsooth, the bouncing Amazon, Your buskined mistress and your warrior love, To Theseus must be wedded, and you come To give their bed joy and prosperity?"""
"#Titania_MND,""#Oberon_MND"",0.552458276773951,90,""Now, until the break of day, Through this house each fairy stray."",""-  Fairies, begone, and be all ways away.""";
"#Titania_MND,""#Oberon_MND"",0.552979784022355,85,""There shall the pairs of faithful lovers be Wedded, with Theseus, all in jollity."",""Perchance till after Theseus' wedding day.""";
"#Titania_MND,""#Oberon_MND"",0.562382550864526,89,""Every elf and fairy sprite, Hop as light as bird from brier, And this ditty after me, Sing and dance it trippingly."",""Come, now a roundel and a fairy song";" Then, for the third part of a minute, hence -  Some to kill cankers in the muskrose buds, Some war with reremice for their leathern wings To make my small elves coats, and some keep back The clamorous owl that nightly hoots and wonders At our quaint spirits."""
