source;target;similarity;setnence_num_target;target_sent;source_sent
#Gertrude_Ham;#Claudius_Ham;0.706872020821435;198;Cousin Hamlet, You know the wager?;Came this from Hamlet to her?
#Gertrude_Ham;#Claudius_Ham;0.710652383607467;97;Hamlet in madness hath Polonius slain, And from his mother's closet hath he dragged him.;Came this from Hamlet to her?
#Gertrude_Ham;#Claudius_Ham;0.717915266122472;174;But to the quick of th' ulcer: Hamlet comes back;
#Gertrude_Ham;#Claudius_Ham;0.723897415765573;206;- Hamlet, this pearl is thine.;O Hamlet, speak no more!
#Gertrude_Ham;#Claudius_Ham;0.745786269609683;196;Come, Hamlet, come and take this hand from me.;Come hither, my dear Hamlet, sit by me.
#Gertrude_Ham;#Claudius_Ham;0.753996175795029;52;Sweet Gertrude, leave us too, For we have closely sent for Hamlet hither, That he, as 'twere by accident, may here Affront Ophelia.;Came this from Hamlet to her?
#Hamlet_Ham;#Claudius_Ham;0.663290087061835;117;And England, if my love thou hold'st at aught (As my great power thereof may give thee sense, Since yet thy cicatrice looks raw and red After the Danish sword, and thy free awe Pays homage to us), thou mayst not coldly set Our sovereign process, which imports at full, By letters congruing to that effect, The present death of Hamlet.;- So, gentlemen, With all my love I do commend me to you, And what so poor a man as Hamlet is May do t' express his love and friending to you, God willing, shall not lack.
#Hamlet_Ham;#Claudius_Ham;0.681361738766528;206;- Hamlet, this pearl is thine.;- So, gentlemen, With all my love I do commend me to you, And what so poor a man as Hamlet is May do t' express his love and friending to you, God willing, shall not lack.
#Hamlet_Ham;#Claudius_Ham;0.692884277283235;174;But to the quick of th' ulcer: Hamlet comes back;
#Hamlet_Ham;#Claudius_Ham;0.693027739714969;111;Hamlet, this deed, for thine especial safety (Which we do tender, as we dearly grieve For that which thou hast done) must send thee hence With fiery quickness.;- So, gentlemen, With all my love I do commend me to you, And what so poor a man as Hamlet is May do t' express his love and friending to you, God willing, shall not lack.
#Hamlet_Ham;#Claudius_Ham;0.709792242518124;142;Now must your conscience my acquittance seal, And you must put me in your heart for friend, Sith you have heard, and with a knowing ear, That he which hath your noble father slain Pursued my life.;"Now whether it be Bestial oblivion or some craven scruple Of thinking too precisely on th' event (A thought which, quartered, hath but one part wisdom And ever three parts coward), I do not know Why yet I live to say ""This thing's to do,"" Sith I have cause, and will, and strength, and means To do 't."
#Hamlet_Ham;#Claudius_Ham;0.715509303954193;168;Sir, this report of his Did Hamlet so envenom with his envy That he could nothing do but wish and beg Your sudden coming-o'er, to play with you.;- So, gentlemen, With all my love I do commend me to you, And what so poor a man as Hamlet is May do t' express his love and friending to you, God willing, shall not lack.
#Horatio_Ham;#Claudius_Ham;0.652442249681993;50;With all my heart, and it doth much content me To hear him so inclined.;Do you consent we shall acquaint him with it As needful in our loves, fitting our duty?
