"source","target","similarity","setnence_num_target","target_sent","source_sent"
"#Lear_Lr","#Goneril_Lr",0.229582438820031,17,"Every hour He flashes into one gross crime or other That sets us all at odds.","To thine and Albany’s issue Be this perpetual."
"#Lear_Lr","#Goneril_Lr",0.250666171081603,21,"The fault of it I’ll answer.","Hence and avoid my sight!"
"#Lear_Lr","#Goneril_Lr",0.260548212046678,23,"I’d have it come to question.","Nothing will come of nothing."
"#Lear_Lr","#Goneril_Lr",0.275023473152585,82,"One way I like this well.","I have noted it well."
"#Lear_Lr","#Goneril_Lr",0.275270118344141,48,"Safer than trust too far.","Hence and avoid my sight!"
"#Lear_Lr","#Goneril_Lr",0.286257765118358,9,"The best and soundest of his time hath been but rash.","Goneril, Our eldest born, speak first."
"#Lear_Lr","#Goneril_Lr",0.298813723991104,16,"By day and night he wrongs me.","— For you, great king, I would not from your love make such a stray To match you where I hate."
"#Lear_Lr","#Goneril_Lr",0.301118491795442,68,"He’ll not feel wrongs Which tie him to an answer.","Wherefore Should he sit here?"
"#Lear_Lr","#Goneril_Lr",0.306009857445897,25,"Idle old man That still would manage those authorities That he hath given away.","Know that we have divided In three our kingdom, and ’tis our fast intent To shake all cares and business from our age, Conferring them on younger strengths, while we Unburdened crawl toward death."
"#Lear_Lr","#Goneril_Lr",0.306423930180734,27,"Remember what I have said.","Mend your speech a little, Lest you may mar your fortunes."
"#Lear_Lr","#Kent_Lr",0.244211257467637,31,"I have years on my back forty-eight.","Know that we have divided In three our kingdom, and ’tis our fast intent To shake all cares and business from our age, Conferring them on younger strengths, while we Unburdened crawl toward death."
"#Lear_Lr","#Kent_Lr",0.268063831692837,70,"I have watched and traveled hard.","I have noted it well."
"#Lear_Lr","#Kent_Lr",0.278414275375114,32,"Nor tripped neither, you base football player?","I have not seen him this two days."
"#Lear_Lr","#Kent_Lr",0.280603546982077,43,"Draw, you rogue, or I’ll so carbonado your shanks!","Of all these bounds, even from this line to this, With shadowy forests and with champains riched, With plenteous rivers and wide-skirted meads, We make thee lady."
"#Lear_Lr","#Kent_Lr",0.281873349028826,47,"A stonecutter or a painter could not have made him so ill, though they had been but two years o’ th’ trade.","Th’ untented woundings of a father’s curse Pierce every sense about thee!"
"#Lear_Lr","#Kent_Lr",0.283625197320913,29,"That which ordinary men are fit for I am qualified in, and the best of me is diligence.","Mend your speech a little, Lest you may mar your fortunes."
"#Lear_Lr","#Kent_Lr",0.294947664549263,96,"For confirmation that I am much more Than my outwall, open this purse and take What it contains.","Then leave her, sir, for by the power that made me I tell you all her wealth."
"#Lear_Lr","#Kent_Lr",0.298017146851852,64,"None of these rogues and cowards But Ajax is their fool.","Dost thou call me “fool,” boy?"
"#Lear_Lr","#Kent_Lr",0.312287807327888,58,"His countenance likes me not.","Why came not the slave back to me when I called him?"
"#Lear_Lr","#Kent_Lr",0.316495938376483,162,"That from your first of difference and decay Have followed your sad steps.","I have full cause of weeping, but this heart Shall break into a hundred thousand flaws Or ere I’ll weep."
