source;target;similarity;setnence_num_target;target_sent;source_sent
#Lysander_MND;#Bottom_MND;0.161019262313558;12;Now name the rest of the players.;From Athens is her house remote seven leagues, And she respects me as her only son.
#Lysander_MND;#Bottom_MND;0.195182386900954;45;Find out moonshine, find out moonshine.;And run through fire I will for thy sweet sake.
#Lysander_MND;#Bottom_MND;0.203323936920316;83;Nothing, good monsieur, but to help Cavalery Cobweb to scratch.;O, how fit a word Is that vile name to perish on my sword!
#Lysander_MND;#Bottom_MND;0.210557351650122;32;I have a device to make all well.;And run through fire I will for thy sweet sake.
#Lysander_MND;#Bottom_MND;0.214773065464542;8;If I do it, let the audience look to their eyes.;Why should not I then prosecute my right?
#Lysander_MND;#Bottom_MND;0.217928572843743;47;Some man or other must present Wall.;One turf shall serve as pillow for us both
#Lysander_MND;#Bottom_MND;0.227168263861481;114;For the short and the long is, our play is preferred.;One turf shall serve as pillow for us both
#Lysander_MND;#Bottom_MND;0.227564101115898;108;I will tell you everything right as it fell out.;Fair love, you faint with wand'ring in the wood.
#Lysander_MND;#Bottom_MND;0.235719462900499;99;Man is but an ass if he go about to expound this dream.;Sleep give thee all his rest!
#Lysander_MND;#Bottom_MND;0.246912296184717;110;All that I will tell you is that the Duke hath dined.;Where art thou, proud Demetrius?
#Demetrius_MND;#Bottom_MND;0.000532638484766985;8;If I do it, let the audience look to their eyes.;Relent, sweet Hermia, and, Lysander, yield Thy crazèd title to my certain right.
#Demetrius_MND;#Bottom_MND;0.125253863287265;7;That will ask some tears in the true performing of it.;Relent, sweet Hermia, and, Lysander, yield Thy crazèd title to my certain right.
#Demetrius_MND;#Bottom_MND;0.12583048241106;2;First, good Peter Quince, say what the play treats on, then read the names of the actors, and so grow to a point.;Relent, sweet Hermia, and, Lysander, yield Thy crazèd title to my certain right.
#Demetrius_MND;#Bottom_MND;0.130655739239665;4;Now, good Peter Quince, call forth your actors by the scroll.;Relent, sweet Hermia, and, Lysander, yield Thy crazèd title to my certain right.
#Demetrius_MND;#Bottom_MND;0.131474196415212;27;What beard were I best to play it in?;Relent, sweet Hermia, and, Lysander, yield Thy crazèd title to my certain right.
#Demetrius_MND;#Bottom_MND;0.137728953120793;32;I have a device to make all well.;Do I speak you fair?
#Demetrius_MND;#Bottom_MND;0.154698721203199;28;I will discharge it in either your straw-color beard, your orange-tawny beard, your purple-in-grain beard, or your French-crown-color beard, your perfit yellow.;Relent, sweet Hermia, and, Lysander, yield Thy crazèd title to my certain right.
#Demetrius_MND;#Bottom_MND;0.157160568128442;45;Find out moonshine, find out moonshine.;I charge thee, hence, and do not haunt me thus.
#Demetrius_MND;#Bottom_MND;0.157970904554005;14;A lover is more condoling.;Relent, sweet Hermia, and, Lysander, yield Thy crazèd title to my certain right.
#Demetrius_MND;#Bottom_MND;0.170733736757922;23;I grant you, friends, if you should fright the ladies out of their wits, they would have no more discretion but to hang us.;Relent, sweet Hermia, and, Lysander, yield Thy crazèd title to my certain right.
#Helena_MND;#Bottom_MND;0.193859649296997;47;Some man or other must present Wall.;Nor doth this wood lack worlds of company, For you, in my respect, are all the world.
#Helena_MND;#Bottom_MND;0.198699006292778;45;Find out moonshine, find out moonshine.;He will not know what all but he do know.
#Helena_MND;#Bottom_MND;0.203731041857108;32;I have a device to make all well.;What wicked and dissembling glass of mine Made me compare with Hermia's sphery eyne?
#Helena_MND;#Bottom_MND;0.21489593374706;65;The more the pity that some honest neighbors will not make them friends.;How happy some o'er other some can be!
