"source,""target"",""similarity"",""setnence_num_target"",""target_sent"",""source_sent""";
"#Cassio_Oth,""#Iago_Oth"",0.147522781133894,96,""Put money enough in your purse."",""Something from Cyprus, as I may divine.""";
"#Cassio_Oth,""#Iago_Oth"",0.166234254087391,130,""Would they were clyster pipes for your sake!"",""My hopes do shape him for the Governor.""";
"#Cassio_Oth,""#Iago_Oth"",0.17949568754662,497,""It makes us or it mars us - think on that, And fix most firm thy resolution."",""The great contention of sea and skies Parted our fellowship.""";
"#Cassio_Oth,""#Iago_Oth"",0.182619884026416,95,""No more of drowning, do you hear?"",""You have been hotly called for.""";
"#Cassio_Oth,""#Iago_Oth"",0.18433034111778,150,""The wine she drinks is made of grapes."",""You men of Cyprus, let her have your knees.""";
"#Cassio_Oth,""#Iago_Oth"",0.189944951396183,78,""She must change for youth."",""Here comes another troop to seek for you.""";
"#Cassio_Oth,""#Iago_Oth"",0.191173384456607,67,""Drown cats and blind puppies."",""Here comes another troop to seek for you.""";
"#Cassio_Oth,""#Iago_Oth"",0.20282093076148,79,""When she is sated with his body she will find the error of her choice."",""When, being not at your lodging to be found, The Senate hath sent about three several quests To search you out.""";
"#Cassio_Oth,""#Iago_Oth"",0.203979173553179,373,""And this may help to thicken other proofs That do demonstrate thinly."",""I am unfortunate in the infirmity and dare not task my weakness with any more.""";
"#Cassio_Oth,""#Iago_Oth"",0.204784719717019,89,""My cause is hearted";" thine hath no less reason."",""Something from Cyprus, as I may divine."""
"#Othello_Oth,""#Iago_Oth"",0.0301000550126121,47,""He will divorce you Or put upon you what restraint or grievance The law (with all his might to enforce it on) Will give him cable."",""'Tis better as it is.""";
"#Othello_Oth,""#Iago_Oth"",0.167518627568886,44,""Nay, but he prated And spoke such scurvy and provoking terms Against your Honor, That with the little godliness I have I did full hard forbear him."",""'Tis better as it is.""";
"#Othello_Oth,""#Iago_Oth"",0.203682914978022,280,""Dull not device by coldness and delay."",""But look, what lights come yond?""";
"#Othello_Oth,""#Iago_Oth"",0.204292984082511,45,""But I pray you, sir, Are you fast married?"",""'Tis better as it is.""";
"#Othello_Oth,""#Iago_Oth"",0.210633194845398,172,""Knavery's plain face is never seen till used."",""How does my old acquaintance of this isle?""";
"#Othello_Oth,""#Iago_Oth"",0.213531111132042,49,""You were best go in."",""'Tis better as it is.""";
"#Othello_Oth,""#Iago_Oth"",0.218238015513478,46,""Be assured of this, That the magnifico is much beloved, And hath in his effect a voice potential As double as the Duke's."",""'Tis better as it is.""";
"#Othello_Oth,""#Iago_Oth"",0.21913558517327,494,""Here, stand behind this bulk."",""O, my sweet, I prattle out of fashion, and I dote In mine own comforts.""";
"#Othello_Oth,""#Iago_Oth"",0.221440001836046,267,""How poor are they that have not patience!"",""Come, my dear love, The purchase made, the fruits are to ensue";" That profit's yet to come 'tween me and you."""
"#Othello_Oth,""#Iago_Oth"",0.221610420761419,402,""This is his second fit."",""He is a good one, and his worthiness Does challenge much respect.""";
"#Desdemona_Oth,""#Iago_Oth"",0.162855034157026,280,""Dull not device by coldness and delay."",""My heart's subdued Even to the very quality of my lord.""";
"#Desdemona_Oth,""#Iago_Oth"",0.164917465793071,347,""I have use for it."",""'Tis as I should entreat you wear your gloves, Or feed on nourishing dishes, or keep you warm, Or sue to you to do a peculiar profit To your own person.""";
"#Desdemona_Oth,""#Iago_Oth"",0.180100607601187,272,""Though other things grow fair against the sun, Yet fruits that blossom first will first be ripe."",""The heavens forbid But that our loves and comforts should increase Even as our days do grow!""";
"#Desdemona_Oth,""#Iago_Oth"",0.185357854249717,192,""I learned it in England, where indeed they are most potent in potting."",""Thou praisest the worst best.""";
"#Desdemona_Oth,""#Iago_Oth"",0.186136922633448,108,""I find it still when I have list to sleep."",""O, but I fear - How lost you company?""";
"#Desdemona_Oth,""#Iago_Oth"",0.191468136803327,508,""What villains have done this?"",""I have been talking with a suitor here, A man that languishes in your displeasure.""";
"#Desdemona_Oth,""#Iago_Oth"",0.192170739946041,214,""Who's that which rings the bell?"",""That I love the Moor to live with him My downright violence and storm of fortunes May trumpet to the world.""";
"#Desdemona_Oth,""#Iago_Oth"",0.199275055805097,363,""It were a tedious difficulty, I think, To bring them to that prospect."",""Most gracious duke, To my unfolding lend your prosperous ear And let me find a charter in your voice T' assist my simpleness.""";
"#Desdemona_Oth,""#Iago_Oth"",0.205488631032199,130,""Would they were clyster pipes for your sake!"",""These are old fond paradoxes to make fools laugh i' th' alehouse.""";
"#Desdemona_Oth,""#Iago_Oth"",0.206978261316752,267,""How poor are they that have not patience!"",""O, but I fear - How lost you company?""";
"#Roderigo_Oth,""#Iago_Oth"",0.150638115045424,272,""Though other things grow fair against the sun, Yet fruits that blossom first will first be ripe."",""But that was but courtesy.""";
"#Roderigo_Oth,""#Iago_Oth"",0.172563460280443,27,""Do, with like timorous accent and dire yell As when, by night and negligence, the fire Is spied in populous cities."",""I take it much unkindly That thou, Iago, who hast had my purse As if the strings were thine, shouldst know of this.""";
"#Roderigo_Oth,""#Iago_Oth"",0.173400233964157,280,""Dull not device by coldness and delay."",""Wilt thou be fast to my hopes if I depend on the issue?""";
"#Roderigo_Oth,""#Iago_Oth"",0.187974339925825,410,""There's many a beast, then, in a populous city, And many a civil monster."",""I do follow here in the chase, not like a hound that hunts, but one that fills up the cry.""";
"#Roderigo_Oth,""#Iago_Oth"",0.19253066432471,192,""I learned it in England, where indeed they are most potent in potting."",""I take it much unkindly That thou, Iago, who hast had my purse As if the strings were thine, shouldst know of this.""";
"#Roderigo_Oth,""#Iago_Oth"",0.194906418358213,451,""This comes from the Duke."",""Thou toldst me thou didst hold him in thy hate.""";
"#Roderigo_Oth,""#Iago_Oth"",0.1964634267879,172,""Knavery's plain face is never seen till used."",""What a full fortune does the thick-lips owe If he can carry 't thus!""";
"#Roderigo_Oth,""#Iago_Oth"",0.202183924610992,494,""Here, stand behind this bulk."",""What a full fortune does the thick-lips owe If he can carry 't thus!""";
"#Roderigo_Oth,""#Iago_Oth"",0.202233721646117,268,""What wound did ever heal but by degrees?"",""By heaven, I rather would have been his hangman.""";
"#Roderigo_Oth,""#Iago_Oth"",0.209328292871549,541,""What, do you shake at that?"",""Ay, and said nothing but what I protest intendment of doing.""";
"#Duke_Oth,""#Iago_Oth"",0.151723642117165,347,""I have use for it."",""How say you by this change?""";
"#Duke_Oth,""#Iago_Oth"",0.155689078714262,516,""Who is 't that cried?"",""Th' affair cries haste, And speed must answer it.""";
"#Duke_Oth,""#Iago_Oth"",0.165007823436988,512,""How silent is this town!"",""Othello, the fortitude of the place is best known to you.""";
"#Duke_Oth,""#Iago_Oth"",0.172864906378731,410,""There's many a beast, then, in a populous city, And many a civil monster."",""Othello, the fortitude of the place is best known to you.""";
"#Duke_Oth,""#Iago_Oth"",0.177242811595506,307,""It is the green-eyed monster which doth mock The meat it feeds on."",""Othello, leave some officer behind And he shall our commission bring to you, With such things else of quality and respect As doth import you.""";
"#Duke_Oth,""#Iago_Oth"",0.182957425106927,272,""Though other things grow fair against the sun, Yet fruits that blossom first will first be ripe."",""And, noble signior, If virtue no delighted beauty lack, Your son-in-law is far more fair than black.""";
"#Duke_Oth,""#Iago_Oth"",0.188035504811079,515,""I'll bind it with my shirt."",""And mine, a hundred forty.""";
"#Duke_Oth,""#Iago_Oth"",0.190142215417991,412,""Think every bearded fellow that's but yoked May draw with you."",""Let me speak like yourself and lay a sentence, Which as a grise or step may help these lovers Into your favor.""";
"#Duke_Oth,""#Iago_Oth"",0.195154279161798,494,""Here, stand behind this bulk."",""What, in your own part, can you say to this?""";
"#Duke_Oth,""#Iago_Oth"",0.196093888105557,528,""I'll fetch the General's surgeon."",""Valiant Othello, we must straight employ you Against the general enemy Ottoman.""";
