"source","target","similarity","setnence_num_target","target_sent","source_sent"
"#Benvolio_Rom","#Capulet_Rom",0.198106944389082,158,"This is my daughter’s jointure, for no more Can I demand.","So please you, step aside."
"#Benvolio_Rom","#Capulet_Rom",0.212376877854537,114,"This is as ’t should be.","A right fair mark, fair coz, is soonest hit."
"#Benvolio_Rom","#Capulet_Rom",0.215902863148256,63,"Do you like this haste?","No, coz, I rather weep."
"#Benvolio_Rom","#Capulet_Rom",0.223214485845815,133,"I’ll go and chat with Paris.","Forget to think of her."
"#Benvolio_Rom","#Capulet_Rom",0.224028294317744,139,"Life and these lips have long been separated.","One desperate grief cures with another’s languish."
"#Benvolio_Rom","#Capulet_Rom",0.224092070545847,105,"How canst thou try them so?","Put up thy sword, Or manage it to part these men with me."
"#Benvolio_Rom","#Capulet_Rom",0.228290244948082,126,"—  Look to the baked meats, good Angelica.","She will indite him to some supper."
"#Benvolio_Rom","#Capulet_Rom",0.232575012071282,50,"Things have fallen out, sir, so unluckily That we have had no time to move our daughter.","Then she hath sworn that she will still live chaste?"
"#Benvolio_Rom","#Capulet_Rom",0.255444827901627,142,"Ready to go, but never to return.","Go, then, for ’tis in vain To seek him here that means not to be found."
"#Benvolio_Rom","#Capulet_Rom",0.256307716997195,102,"Trust to ’t; bethink you.","Tut, you saw her fair, none else being by, Herself poised with herself in either eye; But in that crystal scales let there be weighed Your lady’s love against some other maid That I will show you shining at this feast, And she shall scant show well that now seems best."
"#Benvolio_Rom","#Mercutio_Rom",0.211342355664069,102,"Could you not take some occasion without giving?","We’ll have no Cupid hoodwinked with a scarf, Bearing a Tartar’s painted bow of lath, Scaring the ladies like a crowkeeper, Nor no without-book prologue, faintly spoke After the prompter, for our entrance."
"#Benvolio_Rom","#Mercutio_Rom",0.212112553166576,81,"Yea, is the worst well?","The sport is at the best."
"#Benvolio_Rom","#Mercutio_Rom",0.219054894581026,77,"Two, two — a shirt and a smock.","We’ll have no Cupid hoodwinked with a scarf, Bearing a Tartar’s painted bow of lath, Scaring the ladies like a crowkeeper, Nor no without-book prologue, faintly spoke After the prompter, for our entrance."
"#Benvolio_Rom","#Mercutio_Rom",0.220266750116086,97,"With another, for tying his new shoes with old ribbon?","Towards him I made, but he was ’ware of me And stole into the covert of the wood."
"#Benvolio_Rom","#Mercutio_Rom",0.237630089303609,119,"Ay, ay, a scratch, a scratch.","Take thou some new infection to thy eye, And the rank poison of the old will die."
"#Benvolio_Rom","#Mercutio_Rom",0.242182445535538,52,"The pox of such antic, lisping, affecting phantasimes, these new tuners of accent: “By Jesu, a very good blade!","One desperate grief cures with another’s languish."
"#Benvolio_Rom","#Mercutio_Rom",0.242357357255154,71,"O, here’s a wit of cheveril that stretches from an inch narrow to an ell broad.","This wind you talk of blows us from ourselves."
