"source,""target"",""similarity"",""setnence_num_target"",""target_sent"",""source_sent""";
"#Roderigo_Oth,""#Cassio_Oth"",0.458729051154219,128,""Well, I must leave her company."",""I cannot believe that in her.""";
"#Roderigo_Oth,""#Cassio_Oth"",0.475909759877175,86,""My suit to her Is that she will to virtuous Desdemona Procure me some access."",""If she be in her chamber or your house, Let loose on me the justice of the state For thus deluding you.""";
"#Roderigo_Oth,""#Cassio_Oth"",0.47731778266738,76,""I have well approved it, sir."",""Yes, sir, I have indeed.""";
"#Roderigo_Oth,""#Cassio_Oth"",0.485104432193388,26,""'Tis my breeding That gives me this bold show of courtesy."",""But I beseech you, If 't be your pleasure and most wise consent -  As partly I find it is - that your fair daughter, At this odd-even and dull watch o' th' night, Transported with no worse nor better guard But with a knave of common hire, a gondolier, To the gross clasps of a lascivious Moor: If this be known to you, and your allowance, We then have done you bold and saucy wrongs.""";
"#Roderigo_Oth,""#Cassio_Oth"",0.485988990188486,13,""I pray you, sir, go forth, And give us truth who 'tis that is arrived."",""Most reverend signior, do you know my voice?""";
"#Roderigo_Oth,""#Cassio_Oth"",0.518326794535071,31,""Indeed, she's a most fresh and delicate creature."",""She's full of most blessed condition.""";
"#Roderigo_Oth,""#Cassio_Oth"",0.542395585130487,34,""I could well wish courtesy would invent some other custom of entertainment."",""But that was but courtesy.""";
"#Roderigo_Oth,""#Cassio_Oth"",0.55414762350361,9,""Thanks, you the valiant of this warlike isle, That so approve the Moor!"",""Signior, it is the Moor.""";
"#Roderigo_Oth,""#Cassio_Oth"",0.586728510899459,136,""O, I am spoiled, undone by villains."",""O, villain that I am!""";
"#Roderigo_Oth,""#Cassio_Oth"",0.593698462322034,30,""She's a most exquisite lady."",""She's full of most blessed condition.""";
"#Iago_Oth,""#Cassio_Oth"",0.583241546807721,35,""I have drunk but one cup tonight, and that was craftily qualified too, and behold what innovation it makes here."",""But one cup";" I'll drink for you."""
"#Iago_Oth,""#Cassio_Oth"",0.585139790279694,9,""Thanks, you the valiant of this warlike isle, That so approve the Moor!"",""Now, sir, be judge yourself Whether I in any just term am affined To love the Moor.""";
"#Iago_Oth,""#Cassio_Oth"",0.588821156037401,136,""O, I am spoiled, undone by villains."",""I am a very villain else.""";
"#Iago_Oth,""#Cassio_Oth"",0.591818565665306,134,""I will make proof of thine."",""And this may help to thicken other proofs That do demonstrate thinly.""";
"#Iago_Oth,""#Cassio_Oth"",0.605167401074992,106,""You are jealous now That this is from some mistress, some remembrance."",""O, beware, my lord, of jealousy!""";
"#Iago_Oth,""#Cassio_Oth"",0.615198941921589,91,""Bounteous madam, Whatever shall become of Michael Cassio, He's never anything but your true servant."",""My wife must move for Cassio to her mistress.""";
