source;target;similarity;setnence_num_target;target_sent;source_sent
#Claudius_Ham;#Horatio_Ham;0.204933077031086;52;Not when I saw 't.;You told us of some suit.
#Claudius_Ham;#Horatio_Ham;0.222554116459163;37;My lord, I think I saw him yesternight.;Have you your father's leave?
#Claudius_Ham;#Horatio_Ham;0.223296524554468;51;While one with moderate haste might tell a hundred.;But to persever In obstinate condolement is a course Of impious stubbornness.
#Claudius_Ham;#Horatio_Ham;0.248720981531615;116;Why does the drum come hither?;Bow, stubborn knees, and heart with strings of steel Be soft as sinews of the newborn babe.
#Claudius_Ham;#Horatio_Ham;0.261021689586159;64;He waxes desperate with imagination.;What wouldst thou beg, Laertes, That shall not be my offer, not thy asking?
#Gertrude_Ham;#Horatio_Ham;0.106719859431047;65;To what issue will this come?;I pray thee, stay with us.
#Gertrude_Ham;#Horatio_Ham;0.135474151451741;51;While one with moderate haste might tell a hundred.;Good Hamlet, cast thy nighted color off, And let thine eye look like a friend on Denmark.
#Gertrude_Ham;#Horatio_Ham;0.144260834431192;66;Good my lord, tell it.;I pray thee, stay with us.
#Gertrude_Ham;#Horatio_Ham;0.158292632963664;50;It would have much amazed you.;Good Hamlet, cast thy nighted color off, And let thine eye look like a friend on Denmark.
#Gertrude_Ham;#Horatio_Ham;0.16622967593564;55;I think it lacks of twelve.;Do not forever with thy vailèd lids Seek for thy noble father in the dust.
#Hamlet_Ham;#Horatio_Ham;0.269095436342747;65;To what issue will this come?;Indeed, sirs, but this troubles me.
#Hamlet_Ham;#Horatio_Ham;0.279115428272509;51;While one with moderate haste might tell a hundred.;A little more than kin and less than kind.
#Hamlet_Ham;#Horatio_Ham;0.306785564322031;56;Indeed, I heard it not.;Did you not speak to it?
#Hamlet_Ham;#Horatio_Ham;0.309646929507962;106;This lapwing runs away with the shell on his head.;Hide fox, and all after!
#Hamlet_Ham;#Horatio_Ham;0.311710988189243;110;They bleed on both sides.;Then what I have to do Will want true color — tears perchance for blood.
#Laertes_Ham;#Horatio_Ham;0.0500271197100396;51;While one with moderate haste might tell a hundred.;My dread lord, Your leave and favor to return to France, From whence though willingly I came to Denmark To show my duty in your coronation, Yet now I must confess, that duty done, My thoughts and wishes bend again toward France And bow them to your gracious leave and pardon.
#Laertes_Ham;#Horatio_Ham;0.0665403288321314;52;Not when I saw 't.;My dread lord, Your leave and favor to return to France, From whence though willingly I came to Denmark To show my duty in your coronation, Yet now I must confess, that duty done, My thoughts and wishes bend again toward France And bow them to your gracious leave and pardon.
#Laertes_Ham;#Horatio_Ham;0.0797399664010504;53;It was as I have seen it in his life, A sable silvered.;My dread lord, Your leave and favor to return to France, From whence though willingly I came to Denmark To show my duty in your coronation, Yet now I must confess, that duty done, My thoughts and wishes bend again toward France And bow them to your gracious leave and pardon.
#Laertes_Ham;#Horatio_Ham;0.163691906300438;37;My lord, I think I saw him yesternight.;My dread lord, Your leave and favor to return to France, From whence though willingly I came to Denmark To show my duty in your coronation, Yet now I must confess, that duty done, My thoughts and wishes bend again toward France And bow them to your gracious leave and pardon.
#Laertes_Ham;#Horatio_Ham;0.166561739540137;50;It would have much amazed you.;My dread lord, Your leave and favor to return to France, From whence though willingly I came to Denmark To show my duty in your coronation, Yet now I must confess, that duty done, My thoughts and wishes bend again toward France And bow them to your gracious leave and pardon.
#Ophelia_Ham;#Horatio_Ham;0.123777059514308;65;To what issue will this come?;He hath, my lord, of late made many tenders Of his affection to me.
#Ophelia_Ham;#Horatio_Ham;0.197699629729356;55;I think it lacks of twelve.;I do not know, my lord, what I should think.
#Ophelia_Ham;#Horatio_Ham;0.204630255047983;102;Is 't not possible to understand in another tongue?;Lord, we know what we are but know not what we may be.
#Ophelia_Ham;#Horatio_Ham;0.212435461039971;110;They bleed on both sides.;You must wear your rue with a difference.
#Ophelia_Ham;#Horatio_Ham;0.236186329114067;56;Indeed, I heard it not.;I do not know, my lord, what I should think.
#Polonius_Ham;#Horatio_Ham;0.0759806173534776;53;It was as I have seen it in his life, A sable silvered.;Hath, my lord, wrung from me my slow leave By laborsome petition, and at last Upon his will I sealed my hard consent.
#Polonius_Ham;#Horatio_Ham;0.0881818181032835;52;Not when I saw 't.;Hath, my lord, wrung from me my slow leave By laborsome petition, and at last Upon his will I sealed my hard consent.
#Polonius_Ham;#Horatio_Ham;0.125740449201023;51;While one with moderate haste might tell a hundred.;Hath, my lord, wrung from me my slow leave By laborsome petition, and at last Upon his will I sealed my hard consent.
#Polonius_Ham;#Horatio_Ham;0.148659604972553;50;It would have much amazed you.;Hath, my lord, wrung from me my slow leave By laborsome petition, and at last Upon his will I sealed my hard consent.
#Polonius_Ham;#Horatio_Ham;0.158080004457252;65;To what issue will this come?;Beware Of entrance to a quarrel, but, being in, Bear 't that th' opposèd may beware of thee.
