source;target;similarity;setnence_num_target;target_sent;source_sent
#Lysander_MND;#Hermia_MND;0.546131935597334;68;It seems that you scorn me.;Why should you think that I should woo in scorn?
#Lysander_MND;#Hermia_MND;0.558762196303092;55;And hast thou killed him sleeping?;Sleep give thee all his rest!
#Lysander_MND;#Hermia_MND;0.562860797079599;71;Lysander, whereto tends all this?;- Hermia, sleep thou there, And never mayst thou come Lysander near.
#Lysander_MND;#Hermia_MND;0.566338166889279;32;Help me, Lysander, help me!;- Hermia, sleep thou there, And never mayst thou come Lysander near.
#Lysander_MND;#Hermia_MND;0.575201635090589;11;My good Lysander, I swear to thee by Cupid's strongest bow, By his best arrow with the golden head, By the simplicity of Venus' doves, By that which knitteth souls and prospers loves, And by that fire which burned the Carthage queen When the false Trojan under sail was seen, By all the vows that ever men have broke (In number more than ever women spoke), In that same place thou hast appointed me, Tomorrow truly will I meet with thee.;If thou lovest me, then Steal forth thy father's house tomorrow night, And in the wood a league without the town (Where I did meet thee once with Helena To do observance to a morn of May), There will I stay for thee.
#Lysander_MND;#Hermia_MND;0.596698383558791;20;And in the wood where often you and I Upon faint primrose beds were wont to lie, Emptying our bosoms of their counsel sweet, There my Lysander and myself shall meet And thence from Athens turn away our eyes To seek new friends and stranger companies.;There, gentle Hermia, may I marry thee
#Lysander_MND;#Hermia_MND;0.602441852719227;74;What, can you do me greater harm than hate?;Although I hate her, I'll not harm her so.
#Lysander_MND;#Hermia_MND;0.628919718157629;49;Ah, good Demetrius, wilt thou give him me?;As you on him, Demetrius dote on you!
#Lysander_MND;#Hermia_MND;0.631730713072721;21;Pray thou for us, And good luck grant thee thy Demetrius.;Demetrius, I'll avouch it to his head, Made love to Nedar's daughter, Helena, And won her soul
#Lysander_MND;#Hermia_MND;0.642221251346179;42;If thou hast slain Lysander in his sleep, Being o'er shoes in blood, plunge in the deep And kill me too.;- Hermia, sleep thou there, And never mayst thou come Lysander near.
