source;target;similarity;setnence_num_target;target_sent;source_sent
#Lysander_MND;#Hermia_MND;0.183668061942823;56;Could not a worm, an adder, do so much?;As you on him, Demetrius dote on you!
#Lysander_MND;#Hermia_MND;0.187875232309906;6;Too high to be enthralled to low.;My love is more than his
#Lysander_MND;#Hermia_MND;0.218702018194029;69;I understand not what you mean by this.;Why should he stay whom love doth press to go?
#Lysander_MND;#Hermia_MND;0.220897755156653;88;"Nothing but ""low"" and ""little""?";So quick bright things come to confusion.
#Lysander_MND;#Hermia_MND;0.23954876869995;76;I am as fair now as I was erewhile.;And touching now the point of human skill, Reason becomes the marshal to my will And leads me to your eyes, where I o'erlook Love's stories written in love's richest book.
#Lysander_MND;#Hermia_MND;0.258300613072522;25;Do not lie so near.;How chance the roses there do fade so fast?
#Lysander_MND;#Hermia_MND;0.262668962476929;40;Either death or you I'll find immediately.;Fair love, you faint with wand'ring in the wood.
#Lysander_MND;#Hermia_MND;0.267233164409206;52;Henceforth be never numbered among men.;Or else it stood upon the choice of friends -
#Lysander_MND;#Hermia_MND;0.271273219713902;39;Then I well perceive you are not nigh.;I am, my lord, as well derived as he, As well possessed.
#Lysander_MND;#Hermia_MND;0.273570222404736;59;A privilege never to see me more.;I am, my lord, as well derived as he, As well possessed.
#Demetrius_MND;#Hermia_MND;0.0700377742762683;7;Too old to be engaged to young.;Relent, sweet Hermia, and, Lysander, yield Thy crazed title to my certain right.
#Demetrius_MND;#Hermia_MND;0.162545180663764;6;Too high to be enthralled to low.;Relent, sweet Hermia, and, Lysander, yield Thy crazed title to my certain right.
#Demetrius_MND;#Hermia_MND;0.170156662640864;14;The more I hate, the more he follows me.;Relent, sweet Hermia, and, Lysander, yield Thy crazed title to my certain right.
#Demetrius_MND;#Hermia_MND;0.180639765056077;88;"Nothing but ""low"" and ""little""?";To what, my love, shall I compare thine eyne?
#Demetrius_MND;#Hermia_MND;0.181301285754501;12;I frown upon him, yet he loves me still.;Relent, sweet Hermia, and, Lysander, yield Thy crazed title to my certain right.
#Demetrius_MND;#Hermia_MND;0.187003306570314;56;Could not a worm, an adder, do so much?;I had rather give his carcass to my hounds.
#Demetrius_MND;#Hermia_MND;0.212499739524222;13;I give him curses, yet he gives me love.;Relent, sweet Hermia, and, Lysander, yield Thy crazed title to my certain right.
#Demetrius_MND;#Hermia_MND;0.216013083614549;34;What a dream was here!;I'll run from thee and hide me in the brakes And leave thee to the mercy of wild beasts.
#Demetrius_MND;#Hermia_MND;0.21746571673938;82;Ay, that way goes the game.;Relent, sweet Hermia, and, Lysander, yield Thy crazed title to my certain right.
#Demetrius_MND;#Hermia_MND;0.219742997661612;16;Take comfort: he no more shall see my face.;Relent, sweet Hermia, and, Lysander, yield Thy crazed title to my certain right.
#Helena_MND;#Hermia_MND;0.216102209034351;56;Could not a worm, an adder, do so much?;Therefore no marvel though Demetrius Do as a monster fly my presence thus.
#Helena_MND;#Hermia_MND;0.247864076242255;69;I understand not what you mean by this.;This you should pity rather than despise.
#Helena_MND;#Hermia_MND;0.261139927640317;12;I frown upon him, yet he loves me still.;O, teach me how you look and with what art You sway the motion of Demetrius' heart!
#Helena_MND;#Hermia_MND;0.262003514604331;57;An adder did it, for with doubler tongue Than thine, thou serpent, never adder stung.;Your eyes are lodestars and your tongue's sweet air More tunable than lark to shepherd's ear When wheat is green, when hawthorn buds appear.
#Helena_MND;#Hermia_MND;0.269350200502979;13;I give him curses, yet he gives me love.;O, that your frowns would teach my smiles such skill!
#Helena_MND;#Hermia_MND;0.280227104456725;45;I'll believe as soon This whole Earth may be bored, and that the moon May through the center creep and so displease Her brother's noontide with th' Antipodes.;The story shall be changed: Apollo flies and Daphne holds the chase
#Helena_MND;#Hermia_MND;0.289850654760219;87;Who is 't that hinders you?;Use me but as your spaniel: spurn me, strike me, Neglect me, lose me
#Helena_MND;#Hermia_MND;0.294302990951704;22;We must starve our sight From lovers' food till morrow deep midnight.;Your eyes are lodestars and your tongue's sweet air More tunable than lark to shepherd's ear When wheat is green, when hawthorn buds appear.
#Helena_MND;#Hermia_MND;0.30117444020846;24;For my sake, my dear, Lie further off yet.;Your wrongs do set a scandal on my sex.
#Helena_MND;#Hermia_MND;0.302991403437549;91;You, mistress, all this coil is long of you.;I am your spaniel, and, Demetrius, The more you beat me I will fawn on you.
#Bottom_MND;#Hermia_MND;0.21516074216887;82;Ay, that way goes the game.;I could play Ercles rarely, or a part to tear a cat in, to make all split: This was lofty.
#Bottom_MND;#Hermia_MND;0.215333647040359;69;I understand not what you mean by this.;This will put them out of fear.
#Bottom_MND;#Hermia_MND;0.230370103513472;88;"Nothing but ""low"" and ""little""?";The ouzel cock, so black of hue, With orange-tawny bill, The throstle with his note so true, The wren with little quill -
#Bottom_MND;#Hermia_MND;0.230424018998897;56;Could not a worm, an adder, do so much?;And, for the more better assurance, tell them that I, Pyramus, am not Pyramus, but Bottom the weaver.
#Bottom_MND;#Hermia_MND;0.259955003286347;94;My legs can keep no pace with my desires.;I will walk up and down here, and I will sing, that they shall hear I am not afraid.
#Bottom_MND;#Hermia_MND;0.261474587774331;47;So should a murderer look, so dead, so grim.;For there is not a more fearful wildfowl than your lion living, and we ought to look to 't.
#Bottom_MND;#Hermia_MND;0.262857849380558;25;Do not lie so near.;And Phibbus' car Shall shine from far And make and mar The foolish Fates.
#Bottom_MND;#Hermia_MND;0.263090411142741;62;Dark night, that from the eye his function takes, The ear more quick of apprehension makes;
#Bottom_MND;#Hermia_MND;0.266607036167032;59;A privilege never to see me more.;This is to make an ass of me, to fright me, if they could.
#Bottom_MND;#Hermia_MND;0.266998476697491;43;The sun was not so true unto the day As he to me.;for, indeed, who would set his wit to so foolish a bird?
#RobinGoodfellow_MND;#Hermia_MND;0.18091852287102;69;I understand not what you mean by this.;When I did him at this advantage take, An ass's noll I fixed on his head.
#RobinGoodfellow_MND;#Hermia_MND;0.19220817790167;39;Then I well perceive you are not nigh.;I am that merry wanderer of the night.
#RobinGoodfellow_MND;#Hermia_MND;0.198305315088161;88;"Nothing but ""low"" and ""little""?";Pretty soul, she durst not lie Near this lack-love, this kill-courtesy.
