"source,""target"",""similarity"",""setnence_num_target"",""target_sent"",""source_sent""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.126203277056165,58,""The air bites shrewdly";" it is very cold."",""So please you, something touching the Lord Hamlet.""";;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.383704073382722,59,""The King doth wake tonight and takes his rouse, Keeps wassail, and the swagg'ring upspring reels";" And, as he drains his draughts of Rhenish down, The kettledrum and trumpet thus bray out The triumph of his pledge."",""And hath given countenance to his speech, my lord, With almost all the holy vows of heaven.""";;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.325192703603862,60,""Ay, marry, is 't, But, to my mind, though I am native here And to the manner born, it is a custom More honored in the breach than the observance."",""My lord, he hath importuned me with love In honorable fashion-""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.210750265092547,61,""This heavy-headed revel east and west Makes us traduced and taxed of other nations."",""But, good my brother, Do not, as some ungracious pastors do, Show me the steep and thorny way to heaven, Whiles, like a puffed and reckless libertine, Himself the primrose path of dalliance treads And recks not his own rede.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.240211802713681,62,""They clepe us drunkards and with swinish phrase Soil our addition."",""I shall obey, my lord.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.24572857316971,63,""And, indeed, it takes From our achievements, though performed at height, The pith and marrow of our attribute."",""And hath given countenance to his speech, my lord, With almost all the holy vows of heaven.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.283877327414251,64,""So oft it chances in particular men That for some vicious mole of nature in them, As in their birth (wherein they are not guilty, Since nature cannot choose his origin), By the o'ergrowth of some complexion (Oft breaking down the pales and forts of reason), Or by some habit that too much o'erleavens The form of plausive manners-that these men, Carrying, I say, the stamp of one defect, Being nature's livery or fortune's star, His virtues else, be they as pure as grace, As infinite as man may undergo, Shall in the general censure take corruption From that particular fault."",""My lord, he hath importuned me with love In honorable fashion-""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.344184174910133,65,""The dram of evil Doth all the noble substance of a doubt To his own scandal."",""But, good my brother, Do not, as some ungracious pastors do, Show me the steep and thorny way to heaven, Whiles, like a puffed and reckless libertine, Himself the primrose path of dalliance treads And recks not his own rede.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.467407532652001,66,""Angels and ministers of grace, defend us!"",""I shall obey, my lord.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.479229476272744,67,""Be thou a spirit of health or goblin damned, Bring with thee airs from heaven or blasts from hell, Be thy intents wicked or charitable, Thou com'st in such a questionable shape That I will speak to thee."",""I shall obey, my lord.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.55761008647496,68,""I'll call thee ""Hamlet,"" ""King,"" ""Father,"" ""Royal Dane."" O, answer me!"",""So please you, something touching the Lord Hamlet.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.374031405821141,69,""Let me not burst in ignorance, but tell Why thy canonized bones, hearsèd in death, Have burst their cerements";" why the sepulcher, Wherein we saw thee quietly interred, Hath oped his ponderous and marble jaws To cast thee up again."",""And hath given countenance to his speech, my lord, With almost all the holy vows of heaven.""";;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.352970706871843,70,""What may this mean That thou, dead corse, again in complete steel, Revisits thus the glimpses of the moon, Making night hideous, and we fools of nature So horridly to shake our disposition With thoughts beyond the reaches of our souls?"",""He hath, my lord, of late made many tenders Of his affection to me.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.388941828684892,71,""Then I will follow it."",""I shall obey, my lord.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.29686474832743,72,""Why, what should be the fear?"",""I do not know, my lord, what I should think.""";;;;
"#Ophelia_Ham,""#Hamlet_Ham"",0.217429581987033,73,""I do not set my life at a pin's fee."",""'Tis in my memory locked, And you yourself shall keep the key of it.""";;;;
