"source","target","similarity","setnence_num_target","target_sent","source_sent"
"#Romeo_Rom","#Benvolio_Rom",0.614876659381728,15,"What sadness lengthens Romeo’s hours?","Ay me, sad hours seem long."
"#Romeo_Rom","#Benvolio_Rom",0.346931159435512,16,"Alas that love, so gentle in his view, Should be so tyrannous and rough in proof!","Out of her favor where I am in love."
"#Romeo_Rom","#Benvolio_Rom",0.433251231602686,17,"No, coz, I rather weep.","Ay me, sad hours seem long."
"#Romeo_Rom","#Benvolio_Rom",0.364274203973901,18,"At thy good heart’s oppression.","Here’s much to do with hate, but more with love."
"#Romeo_Rom","#Benvolio_Rom",0.357437316320259,19,"Soft, I will go along.","This love feel I, that feel no love in this."
"#Romeo_Rom","#Benvolio_Rom",0.360456797375699,20,"An if you leave me so, you do me wrong.","Yet tell me not, for I have heard it all."
"#Romeo_Rom","#Benvolio_Rom",0.49950305015841,21,"Tell me in sadness, who is that you love?","This love feel I, that feel no love in this."
"#Romeo_Rom","#Benvolio_Rom",0.420447486154127,22,"But sadly tell me who.","Yet tell me not, for I have heard it all."
"#Romeo_Rom","#Benvolio_Rom",0.378093518020143,23,"I aimed so near when I supposed you loved.","Out of her favor where I am in love."
"#Romeo_Rom","#Benvolio_Rom",0.413182172774831,24,"A right fair mark, fair coz, is soonest hit.","And she’s fair I love."
"#Romeo_Rom","#Benvolio_Rom",0.486929146781033,25,"Then she hath sworn that she will still live chaste?","She hath Dian’s wit, And, in strong proof of chastity well armed, From love’s weak childish bow she lives uncharmed."
"#Romeo_Rom","#Benvolio_Rom",0.473916825165541,26,"Forget to think of her.","Out of her favor where I am in love."
"#Romeo_Rom","#Benvolio_Rom",0.334454183120087,27,"By giving liberty unto thine eyes.","Alas that love, whose view is muffled still, Should without eyes see pathways to his will!"
"#Romeo_Rom","#Benvolio_Rom",0.420795164532625,28,"I’ll pay that doctrine or else die in debt.","She hath forsworn to love, and in that vow Do I live dead, that live to tell it now."
"#Romeo_Rom","#Benvolio_Rom",0.495609170798474,29,"Tut, man, one fire burns out another’s burning; One pain is lessened by another’s anguish.","Tut, I have lost myself."
"#Romeo_Rom","#Benvolio_Rom",0.320524077448412,30,"Turn giddy, and be helped by backward turning.","O, teach me how I should forget to think!"
"#Romeo_Rom","#Benvolio_Rom",0.532280374286758,31,"One desperate grief cures with another’s languish.","A sick man in sadness makes his will —  A word ill urged to one that is so ill."
"#Romeo_Rom","#Benvolio_Rom",0.421090017528669,32,"Take thou some new infection to thy eye, And the rank poison of the old will die.","Thou canst not teach me to forget."
"#Romeo_Rom","#Benvolio_Rom",0.659412822083039,33,"For what, I pray thee?","What, shall I groan and tell thee?"
"#Romeo_Rom","#Benvolio_Rom",0.471335119024533,34,"Why Romeo, art thou mad?","This love that thou hast shown Doth add more grief to too much of mine own."
