source;target;similarity;setnence_num_target;target_sent;source_sent
#Goneril_Lr;#Kent_Lr;0.0369822203124855;22;He'll shape his old course in a country new.;Beyond all manner of so much I love you.
#Goneril_Lr;#Kent_Lr;0.149576320958691;11;Reserve thy state, And in thy best consideration check This hideous rashness.;Beyond all manner of so much I love you.
#Goneril_Lr;#Kent_Lr;0.162288461496342;6;Let it fall rather, though the fork invade The region of my heart.;Beyond all manner of so much I love you.
#Goneril_Lr;#Kent_Lr;0.167444054471205;8;What wouldst thou do, old man?;Sir, I love you more than word can wield the matter, Dearer than eyesight, space, and liberty, Beyond what can be valued, rich or rare, No less than life, with grace, health, beauty, honor
#Goneril_Lr;#Kent_Lr;0.175035747385753;7;Be Kent unmannerly When Lear is mad.;Beyond all manner of so much I love you.
#Goneril_Lr;#Kent_Lr;0.234683670549498;70;I have watched and traveled hard.;Remember what I have said.
#Goneril_Lr;#Kent_Lr;0.240906209131495;16;Kill thy physician, and thy fee bestow Upon the foul disease.;Beyond all manner of so much I love you.
#Goneril_Lr;#Kent_Lr;0.241861961393792;13;My life I never held but as a pawn To wage against thine enemies, nor fear to lose it, Thy safety being motive.;Sir, I love you more than word can wield the matter, Dearer than eyesight, space, and liberty, Beyond what can be valued, rich or rare, No less than life, with grace, health, beauty, honor
#Goneril_Lr;#Kent_Lr;0.243528457496222;135;O, then it moved her.;He always loved our sister most, and with what poor judgment he hath now cast her off appears too grossly.
#Goneril_Lr;#Kent_Lr;0.250207285208263;103;Since I was man, Such sheets of fire, such bursts of horrid thunder, Such groans of roaring wind and rain I never Remember to have heard.;Yes, that on every dream, Each buzz, each fancy, each complaint, dislike, He may enguard his dotage with their powers And hold our lives in mercy.
#Lear_Lr;#Kent_Lr;0.244211257467637;31;I have years on my back forty-eight.;Know that we have divided In three our kingdom, and 'tis our fast intent To shake all cares and business from our age, Conferring them on younger strengths, while we Unburdened crawl toward death.
#Lear_Lr;#Kent_Lr;0.268063831692837;70;I have watched and traveled hard.;I have noted it well.
#Lear_Lr;#Kent_Lr;0.278414275375114;32;Nor tripped neither, you base football player?;I have not seen him this two days.
#Lear_Lr;#Kent_Lr;0.280603546982077;43;Draw, you rogue, or I'll so carbonado your shanks!;Of all these bounds, even from this line to this, With shadowy forests and with champains riched, With plenteous rivers and wide-skirted meads, We make thee lady.
#Lear_Lr;#Kent_Lr;0.281873349028826;47;A stonecutter or a painter could not have made him so ill, though they had been but two years o' th' trade.;Th' untented woundings of a father's curse Pierce every sense about thee!
#Lear_Lr;#Kent_Lr;0.283625197320913;29;That which ordinary men are fit for I am qualified in, and the best of me is diligence.;Mend your speech a little, Lest you may mar your fortunes.
#Lear_Lr;#Kent_Lr;0.294947664549263;96;For confirmation that I am much more Than my outwall, open this purse and take What it contains.;Then leave her, sir, for by the power that made me I tell you all her wealth.
#Lear_Lr;#Kent_Lr;0.298017146851852;64;None of these rogues and cowards But Ajax is their fool.;Dost thou call me “fool,” boy?
#Lear_Lr;#Kent_Lr;0.312287807327888;58;His countenance likes me not.;Why came not the slave back to me when I called him?
#Lear_Lr;#Kent_Lr;0.316495938376483;162;That from your first of difference and decay Have followed your sad steps.;I have full cause of weeping, but this heart Shall break into a hundred thousand flaws Or ere I'll weep.
#Edgar_Lr;#Kent_Lr;0.136397723237603;80;It is both he and she, Your son and daughter.;Some villain hath done me wrong.
#Edgar_Lr;#Kent_Lr;0.140005296496081;32;Nor tripped neither, you base football player?;How long have you been a sectary astronomical?
#Edgar_Lr;#Kent_Lr;0.169393067390804;57;No contraries hold more antipathy Than I and such a knave.;Do you busy yourself with that?
#Edgar_Lr;#Kent_Lr;0.177016434180103;29;That which ordinary men are fit for I am qualified in, and the best of me is diligence.;How now, brother Edmund, what serious contemplation are you in?
#Edgar_Lr;#Kent_Lr;0.177852471190329;47;A stonecutter or a painter could not have made him so ill, though they had been but two years o' th' trade.;Some villain hath done me wrong.
#Edgar_Lr;#Kent_Lr;0.178971970956258;95;I am a gentleman of blood and breeding, And from some knowledge and assurance offer This office to you.;Shall I hear from you anon?
#Edgar_Lr;#Kent_Lr;0.186251765628716;33;If you will measure your lubber's length again, tarry.;How now, brother Edmund, what serious contemplation are you in?
#Edgar_Lr;#Kent_Lr;0.196303852083171;58;His countenance likes me not.;Do you busy yourself with that?
#Edgar_Lr;#Kent_Lr;0.197700076083997;86;How chance the King comes with so small a number?;How now, brother Edmund, what serious contemplation are you in?
#Edgar_Lr;#Kent_Lr;0.209633462623847;62;I know, sir, I am no flatterer.;Some villain hath done me wrong.
#Gloucester_Lr;#Kent_Lr;0.207341218617502;6;Let it fall rather, though the fork invade The region of my heart.;His breeding, sir, hath been at my charge.
#Gloucester_Lr;#Kent_Lr;0.236107979625894;2;Is not this your son, my lord?;It did always seem so to us, but now in the division of the kingdom, it appears not which of the dukes he values most, for equalities are so weighed that curiosity in neither can make choice of either's moiety.
#Gloucester_Lr;#Kent_Lr;0.247279062559105;32;Nor tripped neither, you base football player?;Do you smell a fault?
#Gloucester_Lr;#Kent_Lr;0.263786465570633;66;Call not your stocks for me.;It shall lose thee nothing.
#Gloucester_Lr;#Kent_Lr;0.27958320008748;41;I'll make a sop o' th' moonshine of you, you whoreson, cullionly barbermonger.;The villain shall not 'scape.
#Gloucester_Lr;#Kent_Lr;0.281667559452493;11;Reserve thy state, And in thy best consideration check This hideous rashness.;His breeding, sir, hath been at my charge.
#Gloucester_Lr;#Kent_Lr;0.282107684823287;129;This rest might yet have balmed thy broken sinews, Which, if convenience will not allow, Stand in hard cure.;O madam, my old heart is cracked
#Gloucester_Lr;#Kent_Lr;0.282420582329147;57;No contraries hold more antipathy Than I and such a knave.;Though this knave came something saucily to the world before he was sent for, yet was his mother fair, there was good sport at his making, and the whoreson must be acknowledged.
#Gloucester_Lr;#Kent_Lr;0.28302750202261;43;Draw, you rogue, or I'll so carbonado your shanks!;And of my land, Loyal and natural boy, I'll work the means To make thee capable.
#Gloucester_Lr;#Kent_Lr;0.283644002821896;13;My life I never held but as a pawn To wage against thine enemies, nor fear to lose it, Thy safety being motive.;Remember him hereafter as my honorable friend.
#Edmund_Lr;#Kent_Lr;0.197503725164222;6;Let it fall rather, though the fork invade The region of my heart.;Sir, I shall study deserving.
#Edmund_Lr;#Kent_Lr;0.217835070072631;12;Answer my life my judgment, Thy youngest daughter does not love thee least, Nor are those empty-hearted whose low sounds Reverb no hollowness.;My services to your Lordship.
#Edmund_Lr;#Kent_Lr;0.241500520116959;88;Who's there, besides foul weather?;The Duke be here tonight?
#Edmund_Lr;#Kent_Lr;0.241926905202073;64;None of these rogues and cowards But Ajax is their fool.;And thou must make a dullard of the world If they not thought the profits of my death Were very pregnant and potential spurs To make thee seek it.”
#Edmund_Lr;#Kent_Lr;0.25387537668023;129;This rest might yet have balmed thy broken sinews, Which, if convenience will not allow, Stand in hard cure.;I found it thrown in at the casement of my closet.
#Edmund_Lr;#Kent_Lr;0.264832257995541;165;Break, heart, I prithee, break!;Either say thou 'lt do 't, Or thrive by other means.
#Edmund_Lr;#Kent_Lr;0.265345192124413;11;Reserve thy state, And in thy best consideration check This hideous rashness.;Sir, I shall study deserving.
#Edmund_Lr;#Kent_Lr;0.275637807844732;18;Sith thus thou wilt appear, Freedom lives hence, and banishment is here.;Sir, I shall study deserving.
#Edmund_Lr;#Kent_Lr;0.283730409296915;47;A stonecutter or a painter could not have made him so ill, though they had been but two years o' th' trade.;Fled this way, sir, when by no means he could —
#Edmund_Lr;#Kent_Lr;0.284474640789219;96;For confirmation that I am much more Than my outwall, open this purse and take What it contains.;This weaves itself perforce into my business.
#Cordelia_Lr;#Kent_Lr;0.155568802645174;133;Who hath he left behind him general?;Time shall unfold what plighted cunning hides, Who covers faults at last with shame derides.
#Cordelia_Lr;#Kent_Lr;0.174211349445647;88;Who's there, besides foul weather?;So young, my lord, and true.
#Cordelia_Lr;#Kent_Lr;0.17962481198598;70;I have watched and traveled hard.;Good my lord, You have begot me, bred me, loved me.
#Cordelia_Lr;#Kent_Lr;0.201268863222544;129;This rest might yet have balmed thy broken sinews, Which, if convenience will not allow, Stand in hard cure.;Time shall unfold what plighted cunning hides, Who covers faults at last with shame derides.
#Cordelia_Lr;#Kent_Lr;0.204113995350515;132;Why the King of France is so suddenly gone back know you no reason?;I yet beseech your Majesty —  If for I want that glib and oily art To speak and purpose not, since what I well intend I'll do 't before I speak — that you make known It is no vicious blot, murder, or foulness, No unchaste action or dishonored step That hath deprived me of your grace and favor, But even for want of that for which I am richer: A still-soliciting eye and such a tongue That I am glad I have not, though not to have it Hath lost me in your liking.
#Cordelia_Lr;#Kent_Lr;0.209456952652893;137;The stars above us govern our conditions, Else one self mate and make could not beget Such different issues.;Since that respect and fortunes are his love, I shall not be his wife.
#Cordelia_Lr;#Kent_Lr;0.211097571363828;111;I had rather break mine own.;Haply, when I shall wed, That lord whose hand must take my plight shall carry Half my love with him, half my care and duty.
#Cordelia_Lr;#Kent_Lr;0.211747108820084;95;I am a gentleman of blood and breeding, And from some knowledge and assurance offer This office to you.;I return those duties back as are right fit: Obey you, love you, and most honor you.
#Cordelia_Lr;#Kent_Lr;0.213451562573655;40;Draw, you rogue, for though it be night, yet the moon shines.;I yet beseech your Majesty —  If for I want that glib and oily art To speak and purpose not, since what I well intend I'll do 't before I speak — that you make known It is no vicious blot, murder, or foulness, No unchaste action or dishonored step That hath deprived me of your grace and favor, But even for want of that for which I am richer: A still-soliciting eye and such a tongue That I am glad I have not, though not to have it Hath lost me in your liking.
#Cordelia_Lr;#Kent_Lr;0.215984023819833;22;He'll shape his old course in a country new.;So young, my lord, and true.
#Fool_Lr;#Kent_Lr;0.209454613145385;88;Who's there, besides foul weather?;The sweet and bitter fool Will presently appear: The one in motley here, The other found out there.
#Fool_Lr;#Kent_Lr;0.228097715385119;70;I have watched and traveled hard.;Sirrah, you were best take my coxcomb.
#Fool_Lr;#Kent_Lr;0.235038172993043;162;That from your first of difference and decay Have followed your sad steps.;For you know, nuncle, So out went the candle, and we were left darkling.
#Fool_Lr;#Kent_Lr;0.23945792568568;43;Draw, you rogue, or I'll so carbonado your shanks!;They'll have me whipped for speaking true, thou 'lt have me whipped for lying, and sometimes I am whipped for holding my peace.
#Fool_Lr;#Kent_Lr;0.259857516015864;149;Yet to be known shortens my made intent.;For taking one's part that's out of favor.
#Fool_Lr;#Kent_Lr;0.269048233633455;54;—  A plague upon your epileptic visage!;Then, I prithee, be merry
#Fool_Lr;#Kent_Lr;0.273196841032648;133;Who hath he left behind him general?;Prithee tell him, so much the rent of his land comes to.
#Fool_Lr;#Kent_Lr;0.274906320704663;148;All my reports go with the modest truth, Nor more, nor clipped, but so.;Have more than thou showest.
#Fool_Lr;#Kent_Lr;0.277055902829207;47;A stonecutter or a painter could not have made him so ill, though they had been but two years o' th' trade.;Why, this fellow has banished two on 's daughters and did the third a blessing against his will.
#Fool_Lr;#Kent_Lr;0.280172806175645;129;This rest might yet have balmed thy broken sinews, Which, if convenience will not allow, Stand in hard cure.;Thou canst tell why one's nose stands i' th' middle on 's face?
#Regan_Lr;#Kent_Lr;0.0711534835652748;22;He'll shape his old course in a country new.;I am made of that self mettle as my sister And prize me at her worth.
#Regan_Lr;#Kent_Lr;0.144344413470251;11;Reserve thy state, And in thy best consideration check This hideous rashness.;In my true heart I find she names my very deed of love
#Regan_Lr;#Kent_Lr;0.177423655086145;70;I have watched and traveled hard.;We shall further think of it.
#Regan_Lr;#Kent_Lr;0.180158524251294;8;What wouldst thou do, old man?;I am made of that self mettle as my sister And prize me at her worth.
#Regan_Lr;#Kent_Lr;0.18769431344946;18;Sith thus thou wilt appear, Freedom lives hence, and banishment is here.;In my true heart I find she names my very deed of love
#Regan_Lr;#Kent_Lr;0.195925490923697;32;Nor tripped neither, you base football player?;Yet he hath ever but slenderly known himself.
#Regan_Lr;#Kent_Lr;0.197986762615324;6;Let it fall rather, though the fork invade The region of my heart.;I am made of that self mettle as my sister And prize me at her worth.
#Regan_Lr;#Kent_Lr;0.203040174763468;64;None of these rogues and cowards But Ajax is their fool.;If it be true, all vengeance comes too short Which can pursue th' offender.
#Regan_Lr;#Kent_Lr;0.208566356370175;43;Draw, you rogue, or I'll so carbonado your shanks!;That's most certain, and with you
#Regan_Lr;#Kent_Lr;0.221593094736438;129;This rest might yet have balmed thy broken sinews, Which, if convenience will not allow, Stand in hard cure.;I pray you, father, being weak, seem so.
