"source,""target"",""similarity"",""setnence_num_target"",""target_sent"",""source_sent""";;
"#Iago_Oth,""#Emilia_Oth"",0.632628753101,114,""The Moor hath killed my mistress!"",""Now, I do love her too, Not out of absolute lust (though peradventure I stand accountant for as great a sin) But partly led to diet my revenge For that I do suspect the lusty Moor Hath leaped into my seat - the thought whereof Doth, like a poisonous mineral, gnaw my inwards, And nothing can or shall content my soul Till I am evened with him, wife for wife, Or, failing so, yet that I put the Moor At least into a jealousy so strong That judgment cannot cure.""";;
"#Iago_Oth,""#Emilia_Oth"",0.633829038541097,86,""Alas, what is the matter?"",""What is the matter, lady?""";;
"#Iago_Oth,""#Emilia_Oth"",0.634672281966748,57,""I would you had never seen him."",""What If I had said I had seen him do you wrong?""";;
"#Iago_Oth,""#Emilia_Oth"",0.640968328896385,96,""Sweet Desdemona, O sweet mistress, speak!"",""First, I must tell thee this: Desdemona is directly in love with him.""";;
"#Iago_Oth,""#Emilia_Oth"",0.646749098584552,27,""Look you - Cassio and my husband."",""Look to your wife"; observe her well with Cassio;" Wear your eyes thus, not jealous nor secure."""
"#Iago_Oth,""#Emilia_Oth"",0.647559779632581,93,""No, Cassio is not killed."",""One of this kind is Cassio.""";;
"#Iago_Oth,""#Emilia_Oth"",0.679369784151233,48,""Would it not make one weep?"",""Do not weep, do not weep!""";;
"#Iago_Oth,""#Emilia_Oth"",0.682478987172596,125,""Did you say with Cassio?"",""One of this kind is Cassio.""";;
"#Iago_Oth,""#Emilia_Oth"",0.68551446526673,19,""Why, that the Moor first gave to Desdemona, That which so often you did bid me steal."",""The Moor, howbeit that I endure him not, Is of a constant, loving, noble nature, And I dare think he'll prove to Desdemona A most dear husband.""";;
"#Iago_Oth,""#Emilia_Oth"",0.739205723335986,5,""The General and his wife are talking of it, And she speaks for you stoutly."",""The General speaks to you.""";;
"#Othello_Oth,""#Emilia_Oth"",0.59501294540079,119,""I know thou didst not."",""I think that thou art just and think thou art not.""";;
"#Othello_Oth,""#Emilia_Oth"",0.599269910313658,49,""I will be hanged if some eternal villain, Some busy and insinuating rogue, Some cogging, cozening slave, to get some office, Have not devised this slander."",""First to be hanged and then to confess - I tremble at it.""";;
"#Othello_Oth,""#Emilia_Oth"",0.599742328163454,104,""O mistress, villainy hath made mocks with love!"",""Villain, be sure thou prove my love a whore!""";;
"#Othello_Oth,""#Emilia_Oth"",0.605067853897805,133,""'Tis proper I obey him, but not now."",""What if I do obey?""";;
"#Othello_Oth,""#Emilia_Oth"",0.613292015171321,11,""I am glad I have found this napkin."",""Your napkin is too little.""";;
"#Othello_Oth,""#Emilia_Oth"",0.618014597465868,115,""O, are you come, Iago?"",""O, Iago, the pity of it, Iago!""";;
"#Othello_Oth,""#Emilia_Oth"",0.649781625784977,50,""I will be hanged else."",""First to be hanged and then to confess - I tremble at it.""";;
"#Othello_Oth,""#Emilia_Oth"",0.655159889497549,86,""Alas, what is the matter?"",""What is the matter here?""";;
"#Othello_Oth,""#Emilia_Oth"",0.679077990376625,125,""Did you say with Cassio?"",""Cassio shall have my place.""";;
"#Othello_Oth,""#Emilia_Oth"",0.690430093406936,93,""No, Cassio is not killed."",""Within these three days let me hear thee say That Cassio's not alive.""";;
"#Roderigo_Oth,""#Emilia_Oth"",0.484918934944529,59,""Shall I go fetch your nightgown?"",""Where shall we meet i' th' morning?""";;
"#Roderigo_Oth,""#Emilia_Oth"",0.492313147262823,120,""Thou 'rt not such a villain."",""Thou toldst me thou didst hold him in thy hate.""";;
"#Roderigo_Oth,""#Emilia_Oth"",0.505279360452334,19,""Why, that the Moor first gave to Desdemona, That which so often you did bid me steal."",""Signior, it is the Moor.""";;
"#Roderigo_Oth,""#Emilia_Oth"",0.510124000720887,118,""He says thou told'st him that his wife was false."",""Thou toldst me thou didst hold him in thy hate.""";;
"#Roderigo_Oth,""#Emilia_Oth"",0.511446231144213,104,""O mistress, villainy hath made mocks with love!"",""O, villain that I am!""";;
"#Roderigo_Oth,""#Emilia_Oth"",0.529147377036286,55,""Some such squire he was That turned your wit the seamy side without And made you to suspect me with the Moor."",""Signior, it is the Moor.""";;
"#Roderigo_Oth,""#Emilia_Oth"",0.54452785446979,57,""I would you had never seen him."",""I would not follow him, then.""";;
"#Roderigo_Oth,""#Emilia_Oth"",0.560011745488069,12,""This was her first remembrance from the Moor."",""Signior, it is the Moor.""";;
"#Roderigo_Oth,""#Emilia_Oth"",0.574807713745893,96,""Sweet Desdemona, O sweet mistress, speak!"",""I will make myself known to Desdemona.""";;
"#Roderigo_Oth,""#Emilia_Oth"",0.600500866138309,119,""I know thou didst not."",""Thou toldst me thou didst hold him in thy hate.""";;
"#Cassio_Oth,""#Emilia_Oth"",0.494252789075411,96,""Sweet Desdemona, O sweet mistress, speak!"",""Tempests themselves, high seas, and howling winds, The guttered rocks and congregated sands (Traitors ensteeped to clog the guiltless keel), As having sense of beauty, do omit Their mortal natures, letting go safely by The divine Desdemona.""";;
"#Cassio_Oth,""#Emilia_Oth"",0.496683684783691,17,""I have a thing for you."",""I am much bound to you.""";;
"#Cassio_Oth,""#Emilia_Oth"",0.501516679561155,15,""I'll have the work ta'en out And give 't Iago."",""I have made bold, Iago, To send in to your wife.""";;
"#Cassio_Oth,""#Emilia_Oth"",0.514194285992688,43,""Why, with my lord, madam."",""Madam, I'll take my leave.""";;
"#Cassio_Oth,""#Emilia_Oth"",0.530057147391478,132,""Good gentlemen, let me have leave to speak."",""Madam, I'll take my leave.""";;
"#Cassio_Oth,""#Emilia_Oth"",0.552139586361582,27,""Look you - Cassio and my husband."",""Bounteous madam, Whatever shall become of Michael Cassio, He's never anything but your true servant.""";;
"#Cassio_Oth,""#Emilia_Oth"",0.558455693757767,115,""O, are you come, Iago?"",""My reputation, Iago, my reputation!""";;
