"source","target","similarity","setnence_num_target","target_sent","source_sent"
"#Juliet_Rom","#Mercutio_Rom",0.290415762935761,1,"Nay, gentle Romeo, we must have you dance.","And stint thou, too, I pray thee, nurse, say I."
"#Juliet_Rom","#Mercutio_Rom",0.341176372947715,2,"Borrow Cupid’s wings And soar with them above a common bound.","But no more deep will I endart mine eye Than your consent gives strength to make it fly."
"#Juliet_Rom","#Mercutio_Rom",0.326296277196255,3,"And to sink in it should you burden love —  Too great oppression for a tender thing.","And stint thou, too, I pray thee, nurse, say I."
"#Juliet_Rom","#Mercutio_Rom",0.250091347704278,4,"If love be rough with you, be rough with love.","But no more deep will I endart mine eye Than your consent gives strength to make it fly."
"#Juliet_Rom","#Mercutio_Rom",0.279722919000846,5,"Prick love for pricking, and you beat love down.","And stint thou, too, I pray thee, nurse, say I."
"#Juliet_Rom","#Mercutio_Rom",0.302588857195024,6,"—  Give me a case to put my visage in.","And stint thou, too, I pray thee, nurse, say I."
"#Juliet_Rom","#Mercutio_Rom",0.267574916893795,7,"—  A visor for a visor.","But no more deep will I endart mine eye Than your consent gives strength to make it fly."
"#Juliet_Rom","#Mercutio_Rom",0.408092526697002,8,"What care I What curious eye doth cote deformities?","But no more deep will I endart mine eye Than your consent gives strength to make it fly."
"#Juliet_Rom","#Mercutio_Rom",0.310074778020295,9,"Here are the beetle brows shall blush for me.","But no more deep will I endart mine eye Than your consent gives strength to make it fly."
"#Juliet_Rom","#Mercutio_Rom",0.330349124406259,10,"Tut, dun’s the mouse, the constable’s own word.","And stint thou, too, I pray thee, nurse, say I."
"#Juliet_Rom","#Mercutio_Rom",0.435346962675934,11,"If thou art dun, we’ll draw thee from the mire —  Or, save your reverence, love — wherein thou stickest Up to the ears.","And stint thou, too, I pray thee, nurse, say I."
"#Juliet_Rom","#Mercutio_Rom",0.272367811501366,12,"Come, we burn daylight, ho!","It is an honor that I dream not of."
"#Juliet_Rom","#Mercutio_Rom",0.29525219139872,13,"I mean, sir, in delay We waste our lights; in vain, light lights by day.","It is an honor that I dream not of."
"#Juliet_Rom","#Mercutio_Rom",0.343567450768565,14,"Take our good meaning, for our judgment sits Five times in that ere once in our five wits.","And stint thou, too, I pray thee, nurse, say I."
"#Juliet_Rom","#Mercutio_Rom",0.374572220079039,15,"O, then I see Queen Mab hath been with you.","And stint thou, too, I pray thee, nurse, say I."
"#Juliet_Rom","#Mercutio_Rom",0.274043639071016,16,"She is the fairies’ midwife, and she comes In shape no bigger than an agate stone On the forefinger of an alderman, Drawn with a team of little atomi Over men’s noses as they lie asleep.","And stint thou, too, I pray thee, nurse, say I."
"#Juliet_Rom","#Mercutio_Rom",0.24417777493963,17,"Her wagon spokes made of long spinners’ legs, The cover of the wings of grasshoppers, Her traces of the smallest spider web, Her collars of the moonshine’s wat’ry beams, Her whip of cricket’s bone, the lash of film, Her wagoner a small gray-coated gnat, Not half so big as a round little worm Pricked from the lazy finger of a maid.","And stint thou, too, I pray thee, nurse, say I."
"#Juliet_Rom","#Mercutio_Rom",0.228207189421189,18,"Her chariot is an empty hazelnut, Made by the joiner squirrel or old grub, Time out o’ mind the fairies’ coachmakers.","And stint thou, too, I pray thee, nurse, say I."
"#Juliet_Rom","#Mercutio_Rom",0.343033863724808,19,"And in this state she gallops night by night Through lovers’ brains, and then they dream of love; On courtiers’ knees, that dream on cur’sies straight; O’er lawyers’ fingers, who straight dream on fees; O’er ladies’ lips, who straight on kisses dream, Which oft the angry Mab with blisters plagues Because their breaths with sweetmeats tainted are.","And stint thou, too, I pray thee, nurse, say I."
