source;target;similarity;setnence_num_target;target_sent;source_sent
#Benvolio_Rom;#Romeo_Rom;0.606108381709128;6;Alas that love, whose view is muffled still, Should without eyes see pathways to his will!;Alas that love, so gentle in his view, Should be so tyrannous and rough in proof!
#Benvolio_Rom;#Romeo_Rom;0.619245050675822;30;O, teach me how I should forget to think!;Forget to think of her.
#Benvolio_Rom;#Romeo_Rom;0.632106162638603;198;What is the Prince's doom?;The Prince will doom thee death If thou art taken.
#Benvolio_Rom;#Romeo_Rom;0.636432040555724;141;Thou chid'st me oft for loving Rosaline.;At this same ancient feast of Capulet's Sups the fair Rosaline whom thou so loves, With all the admirèd beauties of Verona.
#Benvolio_Rom;#Romeo_Rom;0.651579717311273;100;Henceforth I never will be Romeo.;Romeo, my cousin Romeo, Romeo!
#Benvolio_Rom;#Romeo_Rom;0.661605836594087;313;- Ah, dear Juliet, Why art thou yet so fair?;Why Romeo, art thou mad?
#Benvolio_Rom;#Romeo_Rom;0.679612479456033;72;They pray: grant thou, lest faith turn to despair.;For what, I pray thee?
#Benvolio_Rom;#Romeo_Rom;0.68921330379292;98;I take thee at thy word.;For what, I pray thee?
#Benvolio_Rom;#Romeo_Rom;0.695277460833985;76;My life is my foe's debt.;I'll pay that doctrine or else die in debt.
#Benvolio_Rom;#Romeo_Rom;0.73178293822875;143;I pray thee, chide me not.;For what, I pray thee?
#Mercutio_Rom;#Romeo_Rom;0.584725067643293;100;Henceforth I never will be Romeo.;Nay, gentle Romeo, we must have you dance.
#Mercutio_Rom;#Romeo_Rom;0.587033022260251;151;O single-soled jest, solely singular for the singleness.;Sure wit, follow me this jest now till thou hast worn out thy pump, that when the single sole of it is worn, the jest may remain, after the wearing, solely singular.
#Mercutio_Rom;#Romeo_Rom;0.595588510923547;63;O, she doth teach the torches to burn bright!;Come, we burn daylight, ho!
#Mercutio_Rom;#Romeo_Rom;0.595644978049323;64;It seems she hangs upon the cheek of night As a rich jewel in an Ethiop's ear -  Beauty too rich for use, for Earth too dear.;She is the fairies' midwife, and she comes In shape no bigger than an agate stone On the forefinger of an alderman, Drawn with a team of little atomi Over men's noses as they lie asleep.
#Mercutio_Rom;#Romeo_Rom;0.606211182941725;54;Is love a tender thing?;And to sink in it should you burden love -  Too great oppression for a tender thing.
#Mercutio_Rom;#Romeo_Rom;0.606512701234221;98;I take thee at thy word.;Appear thou in the likeness of a sigh.
#Mercutio_Rom;#Romeo_Rom;0.612639555407245;155;And is it not, then, well served into a sweet goose?;Was I with you there for the goose?
#Mercutio_Rom;#Romeo_Rom;0.64844507585092;141;Thou chid'st me oft for loving Rosaline.;-  I conjure thee by Rosaline's bright eyes, By her high forehead, and her scarlet lip, By her fine foot, straight leg, and quivering thigh, And the demesnes that there adjacent lie, That in thy likeness thou appear to us.
#Mercutio_Rom;#Romeo_Rom;0.670494117289396;153;Thou wast never with me for anything when thou wast not there for the goose.;Was I with you there for the goose?
#Mercutio_Rom;#Romeo_Rom;0.748607690930689;148;What counterfeit did I give you?;You gave us the counterfeit fairly last night.
#Juliet_Rom;#Romeo_Rom;0.618837306445666;282;Early in the morning See thou deliver it to my lord and father.;What o'clock tomorrow Shall I send to thee?
#Juliet_Rom;#Romeo_Rom;0.62537960192423;171;What sayst thou, my dear nurse?;And stint thou, too, I pray thee, nurse, say I.
#Juliet_Rom;#Romeo_Rom;0.625635973360943;102;My name, dear saint, is hateful to myself Because it is an enemy to thee.;Tis but thy name that is my enemy.
#Juliet_Rom;#Romeo_Rom;0.642128954981738;257;Hast thou no letters to me from the Friar?;Tell me not, friar, that thou hearest of this, Unless thou tell me how I may prevent it.
