source;target;similarity;setnence_num_target;target_sent;source_sent
#Fool_Lr;#Regan_Lr;0.454150762978964;52;And in good time you gave it.;You gave me nothing for ’t.
#Fool_Lr;#Regan_Lr;0.454195285702962;56;O sir, to willful men The injuries that they themselves procure Must be their schoolmasters.;For when thou gav’st them the rod and put’st down thine own breeches, Prithee, nuncle, keep a schoolmaster that can teach thy Fool to lie.
#Fool_Lr;#Regan_Lr;0.461988932671752;76;Why should she write to Edmund?;Her boat hath a leak, And she must not speak Why she dares not come over to thee.
#Fool_Lr;#Regan_Lr;0.46200804834396;99;General, Take thou my soldiers, prisoners, patrimony.;All thy other titles thou hast given away.
#Fool_Lr;#Regan_Lr;0.464197717879327;29;If, sir, perchance She have restrained the riots of your followers, ’Tis on such ground and to such wholesome end As clears her from all blame.;Sirrah, I’ll teach thee a speech.
#Fool_Lr;#Regan_Lr;0.464640029733626;53;And speak ’t again, my lord.;When a wise man gives thee better counsel, give me mine again.
#Fool_Lr;#Regan_Lr;0.469342713758223;61;Wast thou not charged at peril —;Thou hast pared thy wit o’ both sides and left nothing i’ th’ middle.
#Fool_Lr;#Regan_Lr;0.489256916179819;65;It was he That made the overture of thy treasons to us, Who is too good to pity thee.;That lord that counseled thee To give away thy land, Come place him here by me
#Fool_Lr;#Regan_Lr;0.516344848405159;64;Thou call’st on him that hates thee.;That lord that counseled thee To give away thy land, Come place him here by me
#Fool_Lr;#Regan_Lr;0.544340794765827;101;Witness the world that I create thee here My lord and master.;That lord that counseled thee To give away thy land, Come place him here by me
#Fool_Lr;#Lear_Lr;0.564945435406361;171;Thy half o’ th’ kingdom hast thou not forgot, Wherein I thee endowed.;That lord that counseled thee To give away thy land, Come place him here by me
#Fool_Lr;#Lear_Lr;0.569178020926894;346;I will preach to thee.;Have more than thou showest.
#Fool_Lr;#Lear_Lr;0.570717976313068;181;— How came my man i’ th’ stocks?;Not i’ th’ stocks, fool.
#Fool_Lr;#Lear_Lr;0.57298945211231;277;Thou robèd man of justice, take thy place, And thou, his yokefellow of equity, Bench by his side.;That lord that counseled thee To give away thy land, Come place him here by me
#Fool_Lr;#Lear_Lr;0.598526987044323;76;Nothing can be made out of nothing.;— Can you make no use of nothing, nuncle?
#Fool_Lr;#Lear_Lr;0.601564814209576;172;Who put my man i’ th’ stocks?;Not i’ th’ stocks, fool.
#Fool_Lr;#Lear_Lr;0.612073244440284;78;What two crowns shall they be?;— Nuncle, give me an egg, and I’ll give thee two crowns.
#Fool_Lr;#Lear_Lr;0.63546970418149;232;—  Poor Fool and knave, I have one part in my heart That’s sorry yet for thee.;The knave turns fool that runs away
#Fool_Lr;#Lear_Lr;0.642351182051819;80;An you lie, sirrah, we’ll have you whipped.;Sirrah, I’ll teach thee a speech.
#Fool_Lr;#Lear_Lr;0.693259975103936;253;Didst thou give all to thy daughters?;Beg another of thy daughters.
#Fool_Lr;#Edgar_Lr;0.508803495653191;17;Who gives anything to Poor Tom, whom the foul fiend hath led through fire and through flame, through ford and whirlpool, o’er bog and quagmire;
#Fool_Lr;#Edgar_Lr;0.509288649579426;37;Poor Tom, that eats the swimming frog, the toad, the tadpole, the wall newt, and the water;
#Fool_Lr;#Edgar_Lr;0.509946353097087;185;Haste thee for thy life.;Then, I prithee, be merry
#Fool_Lr;#Edgar_Lr;0.515139172589779;103;Hadst thou been aught but gossamer, feathers, air, So many fathom down precipitating, Thou ’dst shivered like an egg;
#Fool_Lr;#Edgar_Lr;0.516047443693121;58;Tom will throw his head at them.;He says his name’s Poor Tom.
#Fool_Lr;#Edgar_Lr;0.517579050150868;110;Therefore, thou happy father, Think that the clearest gods, who make them honors Of men’s impossibilities, have preserved thee.;That lord that counseled thee To give away thy land, Come place him here by me
