"source","target","similarity","setnence_num_target","target_sent","source_sent"
"#Mercutio_Rom","#LadyCapulet_Rom",0.2333443267333,64,"But one, poor one, one poor and loving child, But one thing to rejoice and solace in, And cruel death hath catched it from my sight!","The ape is dead, and I must conjure him."
"#Mercutio_Rom","#LadyCapulet_Rom",0.2333443267333,65,"O, the people in the street cry “Romeo,” Some “Juliet,” and some “Paris,” and all run With open outcry toward our monument.","The ape is dead, and I must conjure him."
"#Mercutio_Rom","#LadyCapulet_Rom",0.2333443267333,66,"O me, this sight of death is as a bell That warns my old age to a sepulcher.","The ape is dead, and I must conjure him."
"#Mercutio_Rom","#LadyCapulet_Rom",0.308504697685587,24,"Tybalt, my cousin, O my brother’s child!","Why the devil came you between us?"
"#Mercutio_Rom","#LadyCapulet_Rom",0.323852436306755,26,"Prince, as thou art true, For blood of ours, shed blood of Montague.","Her wagon spokes made of long spinners’ legs, The cover of the wings of grasshoppers, Her traces of the smallest spider web, Her collars of the moonshine’s wat’ry beams, Her whip of cricket’s bone, the lash of film, Her wagoner a small gray-coated gnat, Not half so big as a round little worm Pricked from the lazy finger of a maid."
"#Mercutio_Rom","#LadyCapulet_Rom",0.386693911495642,30,"I beg for justice, which thou, prince, must give.","Appear thou in the likeness of a sigh."
"#Mercutio_Rom","#LadyCapulet_Rom",0.433311984157624,25,"O, the blood is spilled Of my dear kinsman!","Help me into some house, Benvolio, Or I shall faint."
"#Mercutio_Rom","#LadyCapulet_Rom",0.508071548305144,28,"Affection makes him false; he speaks not true.","Zounds, a dog, a rat, a mouse, a cat, to scratch a man to death!"
"#Mercutio_Rom","#LadyCapulet_Rom",0.509938462786394,27,"He is a kinsman to the Montague.","True, I talk of dreams, Which are the children of an idle brain, Begot of nothing but vain fantasy, Which is as thin of substance as the air And more inconstant than the wind, who woos Even now the frozen bosom of the north And, being angered, puffs away from thence, Turning his side to the dew-dropping south."
"#Mercutio_Rom","#LadyCapulet_Rom",0.601827665435135,29,"Some twenty of them fought in this black strife, And all those twenty could but kill one life.","And but one word with one of us?"
"#Mercutio_Rom","#Capulet_Rom",0.425297871554625,48,"— Come on then, let’s to bed.","And in this state she gallops night by night Through lovers’ brains, and then they dream of love; On courtiers’ knees, that dream on cur’sies straight; O’er lawyers’ fingers, who straight dream on fees; O’er ladies’ lips, who straight on kisses dream, Which oft the angry Mab with blisters plagues Because their breaths with sweetmeats tainted are."
"#Mercutio_Rom","#Capulet_Rom",0.427903963676573,47,"I thank you, honest gentlemen.","Sometime she gallops o’er a courtier’s nose, And then dreams he of smelling out a suit."
"#Mercutio_Rom","#Capulet_Rom",0.437159891060373,18,"—  Ah, my mistresses, which of you all Will now deny to dance?","And sometime comes she with a tithe-pig’s tail, Tickling a parson’s nose as he lies asleep; Then he dreams of another benefice."
"#Mercutio_Rom","#Capulet_Rom",0.457105612912236,28,"What, man, ’tis not so much, ’tis not so much.","This is that very Mab That plats the manes of horses in the night And bakes the elflocks in foul sluttish hairs, Which once untangled much misfortune bodes."
"#Mercutio_Rom","#Capulet_Rom",0.466188153158089,23,"A hall, a hall, give room!","Take our good meaning, for our judgment sits Five times in that ere once in our five wits."
