"source,""target"",""similarity"",""setnence_num_target"",""target_sent"",""source_sent""";;
"#FriarLawrence_Rom,""#Benvolio_Rom"",0.379212786166497,74,""All this uttered With gentle breath, calm look, knees humbly bowed Could not take truce with the unruly spleen Of Tybalt, deaf to peace, but that he tilts With piercing steel at bold Mercutio's breast, Who, all as hot, turns deadly point to point And, with a martial scorn, with one hand beats Cold death aside and with the other sends It back to Tybalt, whose dexterity Retorts it."",""Jesu Maria, what a deal of brine Hath washed thy sallow cheeks for Rosaline!""";;
"#FriarLawrence_Rom,""#Benvolio_Rom"",0.387875274466031,70,""The Prince will doom thee death If thou art taken."",""If e'er thou wast thyself, and these woes thine, Thou and these woes were all for Rosaline.""";;
"#FriarLawrence_Rom,""#Benvolio_Rom"",0.436570299742417,67,""That gallant spirit hath aspired the clouds, Which too untimely here did scorn the earth."",""So smile the heavens upon this holy act That after-hours with sorrow chide us not.""";;
"#FriarLawrence_Rom,""#Benvolio_Rom"",0.470287515909342,55,""Here comes Romeo, here comes Romeo."",""Therefore thy earliness doth me assure Thou art uproused with some distemp'rature, Or, if not so, then here I hit it right: Our Romeo hath not been in bed tonight.""";;
"#FriarLawrence_Rom,""#Benvolio_Rom"",0.489800896748431,72,""There lies the man, slain by young Romeo, That slew thy kinsman, brave Mercutio."",""Romeo shall thank thee, daughter, for us both.""";;
"#FriarLawrence_Rom,""#Benvolio_Rom"",0.491999502757116,77,""But by and by comes back to Romeo, Who had but newly entertained revenge, And to 't they go like lightning, for ere I Could draw to part them was stout Tybalt slain, And, as he fell, did Romeo turn and fly."",""Romeo shall thank thee, daughter, for us both.""";;
"#FriarLawrence_Rom,""#Benvolio_Rom"",0.492064900629399,75,""Romeo he cries aloud ""Hold, friends!"",""Romeo shall thank thee, daughter, for us both.""";;
"#FriarLawrence_Rom,""#Benvolio_Rom"",0.515872775402585,56,""Thou wouldst else have made thy tale large."",""But where hast thou been then?""";;
"#FriarLawrence_Rom,""#Benvolio_Rom"",0.520895691291718,66,""O Romeo, Romeo, brave Mercutio is dead."",""Romeo shall thank thee, daughter, for us both.""";;
"#FriarLawrence_Rom,""#Benvolio_Rom"",0.539116233762302,73,""Tybalt, here slain, whom Romeo's hand did slay -  Romeo, that spoke him fair, bid him bethink How nice the quarrel was, and urged withal Your high displeasure."",""Romeo shall thank thee, daughter, for us both.""";;
"#Nurse_Rom,""#Benvolio_Rom"",0.447488497655931,56,""Thou wouldst else have made thy tale large."",""Thou wilt fall backward when thou hast more wit, Wilt thou not, Jule?"" And, by my holidam, The pretty wretch left crying and said ""Ay."" To see now how a jest shall come about!""";;
"#Nurse_Rom,""#Benvolio_Rom"",0.448276014597939,75,""Romeo he cries aloud ""Hold, friends!"",""His name is Romeo, and a Montague, The only son of your great enemy.""";;
"#Nurse_Rom,""#Benvolio_Rom"",0.448390760474691,73,""Tybalt, here slain, whom Romeo's hand did slay -  Romeo, that spoke him fair, bid him bethink How nice the quarrel was, and urged withal Your high displeasure."",""His name is Romeo, and a Montague, The only son of your great enemy.""";;
