source;target;similarity;setnence_num_target;target_sent;source_sent
#Kent_Lr;#Lear_Lr;0.163476498952274;30;The bow is bent and drawn.;Royal Lear, Whom I have ever honored as my king, Loved as my father, as my master followed, As my great patron thought on in my prayers —
#Kent_Lr;#Lear_Lr;0.172844225830806;116;Because they are not eight.;Answer my life my judgment, Thy youngest daughter does not love thee least, Nor are those empty-hearted whose low sounds Reverb no hollowness.
#Kent_Lr;#Lear_Lr;0.174054175824123;2;Meantime we shall express our darker purpose.;Is not this your son, my lord?
#Kent_Lr;#Lear_Lr;0.179830358946957;58;I think the world’s asleep.;See better, Lear, and let me still remain The true blank of thine eye.
#Kent_Lr;#Lear_Lr;0.18410777223432;26;I do invest you jointly with my power, Preeminence, and all the large effects That troop with majesty.;Is not this your son, my lord?
#Kent_Lr;#Lear_Lr;0.18422643286568;3;—  Give me the map there.;I cannot wish the fault undone, the issue of it being so proper.
#Kent_Lr;#Lear_Lr;0.193655167022697;81;What makes that frontlet on?;Reserve thy state, And in thy best consideration check This hideous rashness.
#Kent_Lr;#Lear_Lr;0.196431993137687;9;Of all these bounds, even from this line to this, With shadowy forests and with champains riched, With plenteous rivers and wide-skirted meads, We make thee lady.;Is not this your son, my lord?
#Kent_Lr;#Lear_Lr;0.213192745338289;13;— Now, our joy, Although our last and least, to whose young love The vines of France and milk of Burgundy Strive to be interessed, what can you say to draw A third more opulent than your sisters’?;I must love you and sue to know you better.
#Kent_Lr;#Lear_Lr;0.218512875102613;76;Nothing can be made out of nothing.;Answer my life my judgment, Thy youngest daughter does not love thee least, Nor are those empty-hearted whose low sounds Reverb no hollowness.
#Kent_Lr;#Goneril_Lr;0.225482616390311;23;I’d have it come to question.;What wouldst thou do, old man?
#Kent_Lr;#Goneril_Lr;0.23276100363124;17;Every hour He flashes into one gross crime or other That sets us all at odds.;And your large speeches may your deeds approve, That good effects may spring from words of love.
#Kent_Lr;#Goneril_Lr;0.248755281849094;84;Another way The news is not so tart.;If you will measure your lubber’s length again, tarry.
#Kent_Lr;#Goneril_Lr;0.256632737358417;16;By day and night he wrongs me.;Is not this your son, my lord?
#Kent_Lr;#Goneril_Lr;0.266415529967061;86;Combine together ’gainst the enemy, For these domestic and particular broils Are not the question here.;Such smiling rogues as these, Like rats, oft bite the holy cords atwain Which are too intrinse t’ unloose
#Kent_Lr;#Goneril_Lr;0.284143985339577;82;One way I like this well.;I can keep honest counsel, ride, run, mar a curious tale in telling it, and deliver a plain message bluntly.
#Kent_Lr;#Goneril_Lr;0.284552958888219;68;He’ll not feel wrongs Which tie him to an answer.;A good man’s fortune may grow out at heels.
#Kent_Lr;#Goneril_Lr;0.286377432454603;97;Ask me not what I know.;What is ’t you seek?
#Kent_Lr;#Goneril_Lr;0.290623342409835;72;I must change names at home and give the distaff Into my husband’s hands.;Let him take the fellow.
#Kent_Lr;#Goneril_Lr;0.291519969635739;14;We must do something, and i’ th’ heat.;Reserve thy state, And in thy best consideration check This hideous rashness.
#Kent_Lr;#Edgar_Lr;0.176019517203188;8;No port is free;
#Kent_Lr;#Edgar_Lr;0.212625218900765;104;Ten masts at each make not the altitude Which thou hast perpendicularly fell.;Approach, thou beacon to this under globe, That by thy comfortable beams I may Peruse this letter.
#Kent_Lr;#Edgar_Lr;0.22706029997073;2;Do you busy yourself with that?;I cannot wish the fault undone, the issue of it being so proper.
#Kent_Lr;#Edgar_Lr;0.229456091711776;3;How long have you been a sectary astronomical?;Now, by Apollo, king, Thou swear’st thy gods in vain.
#Kent_Lr;#Edgar_Lr;0.232896564048451;76;And worse I may be yet.;Sir, ’tis my occupation to be plain: I have seen better faces in my time Than stands on any shoulder that I see Before me at this instant.
#Kent_Lr;#Edgar_Lr;0.233436299359451;6;I am sure on ’t, not a word.;See better, Lear, and let me still remain The true blank of thine eye.
#Kent_Lr;#Edgar_Lr;0.233930409215775;81;Both stile and gate, horseway and footpath.;Now to you: If on my credit you dare build so far To make your speed to Dover, you shall find Some that will thank you, making just report Of how unnatural and bemadding sorrow The King hath cause to plain: what hath been seen, Either in snuffs and packings of the dukes, Or the hard rein which both of them hath borne Against the old kind king, or something deeper, Whereof perchance these are but furnishings.
