source;target;similarity;setnence_num_target;target_sent;source_sent
#Claudius_Ham;#Hamlet_Ham;0.647813911389482;686;O God, Horatio, what a wounded name, Things standing thus unknown, shall I leave behind me!;I pray thee, good Horatio, wait upon him.
#Claudius_Ham;#Hamlet_Ham;0.648522664067669;498;If your messenger find him not there, seek him i' th' other place yourself.;I have sent to seek him and to find the body.
#Claudius_Ham;#Hamlet_Ham;0.664378598982698;598;Up from my cabin, My sea-gown scarfed about me, in the dark Groped I to find out them;
#Claudius_Ham;#Hamlet_Ham;0.696215382227767;115;- So, gentlemen, With all my love I do commend me to you, And what so poor a man as Hamlet is May do t' express his love and friending to you, God willing, shall not lack.;Tis sweet and commendable in your nature, Hamlet, To give these mourning duties to your father.
#Claudius_Ham;#Hamlet_Ham;0.700009980932604;678;Let the door be locked.;Let them guard the door.
#Claudius_Ham;#Hamlet_Ham;0.747955876663417;605;An earnest conjuration from the King, As England was his faithful tributary, As love between them like the palm might flourish, As peace should still her wheaten garland wear And stand a comma 'tween their amities, And many suchlike asesas of great charge, That, on the view and knowing of these contents, Without debatement further, more or less, He should those bearers put to sudden death, Not shriving time allowed.;And England, if my love thou hold'st at aught (As my great power thereof may give thee sense, Since yet thy cicatrice looks raw and red After the Danish sword, and thy free awe Pays homage to us), thou mayst not coldly set Our sovereign process, which imports at full, By letters congruing to that effect, The present death of Hamlet.
#Gertrude_Ham;#Hamlet_Ham;0.615627250473341;177;Hark you, Guildenstern, and you too - at each ear a hearer!;Thanks, Guildenstern and gentle Rosencrantz.
#Gertrude_Ham;#Hamlet_Ham;0.639152825767071;665;Was 't Hamlet wronged Laertes?;Came this from Hamlet to her?
#Gertrude_Ham;#Hamlet_Ham;0.655659887883911;578;This is I, Hamlet the Dane.;O Hamlet, speak no more!
#Gertrude_Ham;#Hamlet_Ham;0.658338257579496;115;- So, gentlemen, With all my love I do commend me to you, And what so poor a man as Hamlet is May do t' express his love and friending to you, God willing, shall not lack.;Good Hamlet, cast thy nighted color off, And let thine eye look like a friend on Denmark.
#Gertrude_Ham;#Hamlet_Ham;0.679761692330939;666;If Hamlet from himself be ta'en away, And when he's not himself does wrong Laertes, Then Hamlet does it not;
#Gertrude_Ham;#Hamlet_Ham;0.820002647688649;688;What warlike noise is this?;Alack, what noise is this?
