source;target;similarity;setnence_num_target;target_sent;source_sent
#Caesar_JC;#Brutus_JC;0,729868879;116;Look how he makes to Caesar.;Caesar is turned to hear.
#Cassius_JC;#Brutus_JC;0,719627055;46;And, to speak truth of Caesar, I have not known when his affections swayed More than his reason.;And why should Caesar be a tyrant, then?
#Cassius_JC;#Brutus_JC;0,717706533;115;That every like is not the same, O Caesar, The heart of Brutus earns to think upon.;Caesar doth bear me hard, but he loves Brutus.
#Antony_JC;#Brutus_JC;0,716120819;116;Look how he makes to Caesar.;So to most noble Caesar.
#Cassius_JC;#Brutus_JC;0,713048873;145;Mark Antony, here, take you Caesar's body.;I think it is not meet Mark Antony, so well beloved of Caesar, Should outlive Caesar.
#Cassius_JC;#Brutus_JC;0,709391497;87;And for Mark Antony, think not of him, For he can do no more than Caesar's arm When Caesar's head is off.;I think it is not meet Mark Antony, so well beloved of Caesar, Should outlive Caesar.
#Antony_JC;#Brutus_JC;0,70065584;141;Our reasons are so full of good regard That were you, Antony, the son of Caesar, You should be satisfied.;Friends am I with you all and love you all, Upon this hope, that you shall give me reasons Why and wherein Caesar was dangerous.
#Cassius_JC;#Brutus_JC;0,698165847;20;Till then, my noble friend, chew upon this: Brutus had rather be a villager Than to repute himself a son of Rome Under these hard conditions as this time Is like to lay upon us.;O, you and I have heard our fathers say There was a Brutus once that would have brooked Th' eternal devil to keep his state in Rome As easily as a king.
#Caesar_JC;#Brutus_JC;0,696247781;24;Tell us what hath chanced today That Caesar looks so sad.;Caesar is turned to hear.
#Casca_JC;#Brutus_JC;0,693071868;116;Look how he makes to Caesar.;Tis Caesar that you mean, is it not, Cassius?
#Casca_JC;#Brutus_JC;0,691564203;142;By your pardon, I will myself into the pulpit first And show the reason of our Caesar's death.;Go to the pulpit, Brutus.
#Cassius_JC;#Brutus_JC;0,686824411;59;O Rome, I make thee promise, If the redress will follow, thou receivest Thy full petition at the hand of Brutus.;Well, Brutus, thou art noble.
#Portia_JC;#Brutus_JC;0,685329061;115;That every like is not the same, O Caesar, The heart of Brutus earns to think upon.;Brutus is wise and, were he not in health, He would embrace the means to come by it.
#Portia_JC;#Brutus_JC;0,680062747;116;Look how he makes to Caesar.;And take good note What Caesar doth, what suitors press to him.
#Cassius_JC;#Brutus_JC;0,678137827;116;Look how he makes to Caesar.;And this man Is now become a god, and Cassius is A wretched creature and must bend his body If Caesar carelessly but nod on him.
#Caesar_JC;#Brutus_JC;0,67680972;115;That every like is not the same, O Caesar, The heart of Brutus earns to think upon.;Here's Decius Brutus
#Antony_JC;#Brutus_JC;0,668601664;115;That every like is not the same, O Caesar, The heart of Brutus earns to think upon.;So to most noble Caesar.
#Cassius_JC;#Brutus_JC;0,666743405;141;Our reasons are so full of good regard That were you, Antony, the son of Caesar, You should be satisfied.;We shall find of him A shrewd contriver
#Casca_JC;#Brutus_JC;0,662803795;27;Was the crown offered him thrice?;Why, there was a crown offered him
#Cassius_JC;#Brutus_JC;0,662052048;348;Hold, then, my sword, and turn away thy face While I do run upon it.;If this be known, Cassius or Caesar never shall turn back, For I will slay myself.
#Cassius_JC;#Brutus_JC;0,662052048;349;I killed not thee with half so good a will.;If this be known, Cassius or Caesar never shall turn back, For I will slay myself.
#Antony_JC;#Brutus_JC;0,652357914;130;Thy master is a wise and valiant Roman.;He is a noble Roman, and well given.
#Caesar_JC;#Brutus_JC;0,651332181;14;I do believe that these applauses are For some new honors that are heaped on Caesar.;Caesar is turned to hear.
