source;target;similarity;setnence_num_target;target_sent;source_sent
#Lysander_MND;#Bottom_MND;0.470506523775575;60;for, indeed, who would set his wit to so foolish a bird?;Who will not change a raven for a dove?
#Lysander_MND;#Bottom_MND;0.471468620728077;132;Wilt thou at Ninny's tomb meet me straightway?;If thou lovest me, then Steal forth thy father's house tomorrow night, And in the wood a league without the town (Where I did meet thee once with Helena To do observance to a morn of May), There will I stay for thee.
#Lysander_MND;#Bottom_MND;0.478137950317962;131;O kiss me through the hole of this vile wall.;Vile thing, let loose, Or I will shake thee from me like a serpent.
#Lysander_MND;#Bottom_MND;0.482680539152296;29;We will meet, and there we may rehearse most obscenely and courageously.;Helen, to you our minds we will unfold.
#Lysander_MND;#Bottom_MND;0.483347541481205;134;I thank thee, Moon, for shining now so bright, For by thy gracious, golden, glittering gleams, I trust to take of truest Thisbe sight.;Ay, by my life, And never did desire to see thee more.
#Lysander_MND;#Bottom_MND;0.513704511925747;120;And thou, O wall, O sweet, O lovely wall, That stand'st between her father's ground and mine, Thou wall, O wall, O sweet and lovely wall, Show me thy chink to blink through with mine eyne.;If thou lovest me, then Steal forth thy father's house tomorrow night, And in the wood a league without the town (Where I did meet thee once with Helena To do observance to a morn of May), There will I stay for thee.
#Lysander_MND;#Bottom_MND;0.525690829033536;61;"Who would give a bird the lie though he cry ""cuckoo"" never so?";Who will not change a raven for a dove?
#Lysander_MND;#Bottom_MND;0.544928195321198;129;Think what thou wilt, I am thy lover's grace, And, like Limander, am I trusty still.;Come, thou gentle day, For if but once thou show me thy gray light, I'll find Demetrius and revenge this spite.
#Lysander_MND;#Bottom_MND;0.594926795026188;107;But ask me not what;
#Lysander_MND;#Bottom_MND;0.646591247599692;51;Stay thou but here awhile, And by and by I will to thee appear.;If thou lovest me, then Steal forth thy father's house tomorrow night, And in the wood a league without the town (Where I did meet thee once with Helena To do observance to a morn of May), There will I stay for thee.
#Demetrius_MND;#Bottom_MND;0.454278396164627;132;Wilt thou at Ninny's tomb meet me straightway?;Nay, then, thou mock'st me.
#Demetrius_MND;#Bottom_MND;0.48255191168095;134;I thank thee, Moon, for shining now so bright, For by thy gracious, golden, glittering gleams, I trust to take of truest Thisbe sight.;But, my good lord, I wot not by what power (But by some power it is) my love to Hermia, Melted as the snow, seems to me now As the remembrance of an idle gaud Which in my childhood I did dote upon, And all the faith, the virtue of my heart, The object and the pleasure of mine eye, Is only Helena.
#Demetrius_MND;#Bottom_MND;0.484352092977864;109;Not a word of me.;I'll not trust your word.
#Demetrius_MND;#Bottom_MND;0.4994505134069;52;If I were fair, fair Thisbe, I were only thine.;Do I speak you fair?
#Demetrius_MND;#Bottom_MND;0.513620301190367;129;Think what thou wilt, I am thy lover's grace, And, like Limander, am I trusty still.;Let me go, Or if thou follow me, do not believe But I shall do thee mischief in the wood.
#Demetrius_MND;#Bottom_MND;0.548551105950204;124;No, in truth, sir, he should not.;No, sir, she shall not, though you take her part.
#Demetrius_MND;#Bottom_MND;0.550437721926609;140;Thus die I, thus, thus, thus.;Here, therefore, for a while I will remain.
#Demetrius_MND;#Bottom_MND;0.555535755267242;120;And thou, O wall, O sweet, O lovely wall, That stand'st between her father's ground and mine, Thou wall, O wall, O sweet and lovely wall, Show me thy chink to blink through with mine eyne.;Abide me, if thou dar'st, for well I wot Thou runn'st before me, shifting every place, And dar'st not stand nor look me in the face.
#Demetrius_MND;#Bottom_MND;0.577862079458131;110;All that I will tell you is that the Duke hath dined.;Do not you think The Duke was here and bid us follow him?
#Demetrius_MND;#Bottom_MND;0.644186646247078;51;Stay thou but here awhile, And by and by I will to thee appear.;Hence, get thee gone, and follow me no more.
#Helena_MND;#Bottom_MND;0.464900968462237;14;A lover is more condoling.;Things base and vile, holding no quantity, Love can transpose to form and dignity.
#Helena_MND;#Bottom_MND;0.472408173680984;102;The eye of man hath not heard, the ear of man hath not seen, man's hand is not able to taste, his tongue to conceive, nor his heart to report what my dream was.;Nor hath Love's mind of any judgment taste.
#Helena_MND;#Bottom_MND;0.473889131653893;68;I cry your Worships mercy, heartily.;The more my prayer, the lesser is my grace.
#Helena_MND;#Bottom_MND;0.492653435387587;24;But I will aggravate my voice so that I will roar you as gently as any sucking dove.;O, that your frowns would teach my smiles such skill!
#Helena_MND;#Bottom_MND;0.501412235705313;13;This is Ercles' vein, a tyrant's vein.;O, teach me how you look and with what art You sway the motion of Demetrius' heart!
#Helena_MND;#Bottom_MND;0.548711744759793;129;Think what thou wilt, I am thy lover's grace, And, like Limander, am I trusty still.;Stay, though thou kill me, sweet Demetrius.
#Helena_MND;#Bottom_MND;0.552428672512006;82;Pray you, leave your courtesy, good monsieur.;I pray you, though you mock me, gentlemen, Let her not hurt me.
#Helena_MND;#Bottom_MND;0.560173973771349;107;But ask me not what;
#Helena_MND;#Bottom_MND;0.603567539160272;118;O night, which ever art when day is not!;O weary night, O long and tedious night, Abate thy hours!
#Helena_MND;#Bottom_MND;0.627820370399249;51;Stay thou but here awhile, And by and by I will to thee appear.;Stay, though thou kill me, sweet Demetrius.
#Hermia_MND;#Bottom_MND;0.46351264703785;29;We will meet, and there we may rehearse most obscenely and courageously.;And in the wood where often you and I Upon faint primrose beds were wont to lie, Emptying our bosoms of their counsel sweet, There my Lysander and myself shall meet And thence from Athens turn away our eyes To seek new friends and stranger companies.
#Hermia_MND;#Bottom_MND;0.477113263897391;19;"Thy Thisbe dear and lady dear!""";Pray thou for us, And good luck grant thee thy Demetrius.
#Hermia_MND;#Bottom_MND;0.488976477973534;14;A lover is more condoling.;If then true lovers have been ever crossed, It stands as an edict in destiny.
#Hermia_MND;#Bottom_MND;0.490256246154024;26;Well, I will undertake it.;So will I grow, so live, so die, my lord, Ere I will yield my virgin patent up Unto his Lordship whose unwishèd yoke My soul consents not to give sovereignty.
#Hermia_MND;#Bottom_MND;0.51205699436811;134;I thank thee, Moon, for shining now so bright, For by thy gracious, golden, glittering gleams, I trust to take of truest Thisbe sight.;Thou art not by mine eye, Lysander, found
#Hermia_MND;#Bottom_MND;0.520111598475512;17;An I may hide my face, let me play Thisbe too.;Take comfort: he no more shall see my face.
#Hermia_MND;#Bottom_MND;0.548488828597148;129;Think what thou wilt, I am thy lover's grace, And, like Limander, am I trusty still.;I do entreat your Grace to pardon me.
#Hermia_MND;#Bottom_MND;0.55021447619334;51;Stay thou but here awhile, And by and by I will to thee appear.;Pray thou for us, And good luck grant thee thy Demetrius.
#Hermia_MND;#Bottom_MND;0.558921239531687;120;And thou, O wall, O sweet, O lovely wall, That stand'st between her father's ground and mine, Thou wall, O wall, O sweet and lovely wall, Show me thy chink to blink through with mine eyne.;Thou art not by mine eye, Lysander, found
#Hermia_MND;#Bottom_MND;0.573589713763042;107;But ask me not what;
#RobinGoodfellow_MND;#Bottom_MND;0.432155359566852;117;O night with hue so black!;For fear lest day should look their shames upon, They willfully themselves exile from light And must for aye consort with black-browed night.
#RobinGoodfellow_MND;#Bottom_MND;0.442075005722099;129;Think what thou wilt, I am thy lover's grace, And, like Limander, am I trusty still.;Captain of our fairy band, Helena is here at hand, And the youth, mistook by me, Pleading for a lover's fee.
#RobinGoodfellow_MND;#Bottom_MND;0.444981500887783;139;Out, sword, and wound The pap of Pyramus;
#RobinGoodfellow_MND;#Bottom_MND;0.446645921717876;77;I promise you, your kindred hath made my eyes water ere now.;-  Churl, upon thy eyes I throw All the power this charm doth owe.
#RobinGoodfellow_MND;#Bottom_MND;0.472736420708102;118;O night, which ever art when day is not!;For fear lest day should look their shames upon, They willfully themselves exile from light And must for aye consort with black-browed night.
#RobinGoodfellow_MND;#Bottom_MND;0.476343345439688;82;Pray you, leave your courtesy, good monsieur.;Your servant shall do so.
#RobinGoodfellow_MND;#Bottom_MND;0.501538515786388;134;I thank thee, Moon, for shining now so bright, For by thy gracious, golden, glittering gleams, I trust to take of truest Thisbe sight.;When thou wak'st, Thou tak'st True delight In the sight Of thy former lady's eye.
#RobinGoodfellow_MND;#Bottom_MND;0.538744068940822;95;"My next is ""Most fair Pyramus."" Hey-ho!";A stranger Pyramus than e'er played here.
#RobinGoodfellow_MND;#Bottom_MND;0.558650643923543;120;And thou, O wall, O sweet, O lovely wall, That stand'st between her father's ground and mine, Thou wall, O wall, O sweet and lovely wall, Show me thy chink to blink through with mine eyne.;When thou wak'st, Thou tak'st True delight In the sight Of thy former lady's eye.
#RobinGoodfellow_MND;#Bottom_MND;0.635955272859887;107;But ask me not what;
#Oberon_MND;#Bottom_MND;0.463992994532498;72;I pray you, commend me to Mistress Squash, your mother, and to Master Peascod, your father.;I pray thee give it me.
#Oberon_MND;#Bottom_MND;0.479519874105615;126;She is to enter now, and I am to spy her through the wall.;By some illusion see thou bring her here.
#Oberon_MND;#Bottom_MND;0.485173736307008;131;O kiss me through the hole of this vile wall.;Wake when some vile thing is near.
#Oberon_MND;#Bottom_MND;0.485690334563711;132;Wilt thou at Ninny's tomb meet me straightway?;Seest thou this sweet sight?
#Oberon_MND;#Bottom_MND;0.509860601690744;49;Thisbe, the flowers of odious savors sweet -;"It fell upon a little western flower, Before, milk-white, now purple with love's wound, And maidens call it ""love-in-idleness."" Fetch me that flower"
#Oberon_MND;#Bottom_MND;0.52879910993679;120;And thou, O wall, O sweet, O lovely wall, That stand'st between her father's ground and mine, Thou wall, O wall, O sweet and lovely wall, Show me thy chink to blink through with mine eyne.;Now thou and I are new in amity, And will tomorrow midnight solemnly Dance in Duke Theseus' house triumphantly, And bless it to all fair prosperity.
#Oberon_MND;#Bottom_MND;0.533926313738637;129;Think what thou wilt, I am thy lover's grace, And, like Limander, am I trusty still.;Thou hast mistaken quite And laid the love juice on some true-love's sight.
#Oberon_MND;#Bottom_MND;0.539422399534324;51;Stay thou but here awhile, And by and by I will to thee appear.;Thou shalt not from this grove Till I torment thee for this injury.
#Oberon_MND;#Bottom_MND;0.634553119786908;134;I thank thee, Moon, for shining now so bright, For by thy gracious, golden, glittering gleams, I trust to take of truest Thisbe sight.;Seest thou this sweet sight?
#Oberon_MND;#Bottom_MND;0.702295009952572;107;But ask me not what;
#Titania_MND;#Bottom_MND;0.481288527279676;75;Good Master Mustardseed, I know your patience well.;-  Peaseblossom, Cobweb, Mote, and Mustardseed!
#Titania_MND;#Bottom_MND;0.482628877967448;141;Now am I dead;
#Titania_MND;#Bottom_MND;0.488728067382071;129;Think what thou wilt, I am thy lover's grace, And, like Limander, am I trusty still.;Thou shalt remain here whether thou wilt or no.
#Titania_MND;#Bottom_MND;0.504078516499886;100;Methought I was - there is no man can tell what.;Methought I was enamored of an ass.
#Titania_MND;#Bottom_MND;0.511543242094314;101;Methought I was and methought I had - but man is but a patched fool if he will offer to say what methought I had.;Methought I was enamored of an ass.
#Titania_MND;#Bottom_MND;0.512893936290603;105;Peradventure, to make it the more gracious, I shall sing it at her death.;I pray thee, gentle mortal, sing again.
#Titania_MND;#Bottom_MND;0.519467392488549;118;O night, which ever art when day is not!;No night is now with hymn or carol blessed.
#Titania_MND;#Bottom_MND;0.526554524928768;134;I thank thee, Moon, for shining now so bright, For by thy gracious, golden, glittering gleams, I trust to take of truest Thisbe sight.;Thou art as wise as thou art beautiful.
#Titania_MND;#Bottom_MND;0.543352444272522;120;And thou, O wall, O sweet, O lovely wall, That stand'st between her father's ground and mine, Thou wall, O wall, O sweet and lovely wall, Show me thy chink to blink through with mine eyne.;Thou art as wise as thou art beautiful.
#Titania_MND;#Bottom_MND;0.564986843430921;68;I cry your Worships mercy, heartily.;I pray thee, gentle mortal, sing again.
