"source","target","similarity","setnence_num_target","target_sent","source_sent"
"#Celia_AYL","#Rosalind_AYL",0.149042666241261,188,"Foul is most foul, being foul to be a scoffer.","It is young Orlando, that tripped up the wrestler’s heels and your heart both in an instant."
"#Celia_AYL","#Rosalind_AYL",0.170777701606981,302,"Would they work in mild aspect?","The very ice of chastity is in them."
"#Celia_AYL","#Rosalind_AYL",0.182154239706703,20,"Is there yet another dotes upon rib-breaking?","By our beards (if we had them), thou art."
"#Celia_AYL","#Rosalind_AYL",0.198076059324889,266,"Two o’clock is your hour?","Yonder sure they are coming."
"#Celia_AYL","#Rosalind_AYL",0.203376688304893,19,"But is there any else longs to see this broken music in his sides?","Well, the beginning that is dead and buried."
"#Celia_AYL","#Rosalind_AYL",0.220490110976949,275,"Is it not past two o’clock?","Yes, when he is in, but I think he is not in."
"#Celia_AYL","#Rosalind_AYL",0.221038580390928,2,"Unless you could teach me to forget a banished father, you must not learn me how to remember any extraordinary pleasure.","I pray thee, Rosalind, sweet my coz, be merry."
"#Celia_AYL","#Rosalind_AYL",0.22821575355796,255,"Stop that, ’twill fly with the smoke out at the chimney.","Therefore devise with me how we may fly, Whither to go, and what to bear with us, And do not seek to take your change upon you, To bear your griefs yourself and leave me out."
"#Celia_AYL","#Rosalind_AYL",0.23428513945254,98,"One inch of delay more is a South Sea of discovery.","Yonder sure they are coming."
"#Celia_AYL","#Rosalind_AYL",0.256434019329968,317,"But for the bloody napkin?","The very ice of chastity is in them."
"#DukeSenior_AYL","#Rosalind_AYL",0.103380475037618,286,"I say she never did invent this letter.","I will not trouble you As yet to question you about your fortunes."
"#DukeSenior_AYL","#Rosalind_AYL",0.13629123768941,293,"Can a woman rail thus?","And therefore sit you down in gentleness, And take upon command what help we have That to your wanting may be ministered."
"#DukeSenior_AYL","#Rosalind_AYL",0.141589105011489,302,"Would they work in mild aspect?","These are counselors That feelingly persuade me what I am.” Sweet are the uses of adversity, Which, like the toad, ugly and venomous, Wears yet a precious jewel in his head."
"#DukeSenior_AYL","#Rosalind_AYL",0.142638167695952,284,"I verily did think That her old gloves were on, but ’twas her hands.","Now, my co-mates and brothers in exile, Hath not old custom made this life more sweet Than that of painted pomp?"
"#DukeSenior_AYL","#Rosalind_AYL",0.168199736950646,266,"Two o’clock is your hour?","The residue of your fortune Go to my cave and tell me."
"#DukeSenior_AYL","#Rosalind_AYL",0.169413936826688,283,"She has a leathern hand, A freestone-colored hand.","Support him by the arm.Give me your hand, And let me all your fortunes understand."
"#DukeSenior_AYL","#Rosalind_AYL",0.174618438341399,275,"Is it not past two o’clock?","True is it that we have seen better days, And have with holy bell been knolled to church, And sat at good men’s feasts and wiped our eyes Of drops that sacred pity hath engendered."
"#DukeSenior_AYL","#Rosalind_AYL",0.177453454936061,128,"If the interim be but a se’nnight, time’s pace is so hard that it seems the length of seven year.","Sit down and feed, and welcome to our table."
"#DukeSenior_AYL","#Rosalind_AYL",0.184241683126001,125,"Time travels in divers paces with divers persons.","This wide and universal theater Presents more woeful pageants than the scene Wherein we play in."
"#DukeSenior_AYL","#Rosalind_AYL",0.186647165686134,82,"All
 
the
 
pictures
 
fairest
 
lined
All the pictures fairest lined
Are
 
but
 
black
 
to
 
Rosalind
.","If that you were the good Sir Rowland’s son, As you have whispered faithfully you were, And as mine eye doth his effigies witness Most truly limned and living in your face, Be truly welcome hither."
"#Jaques_AYL","#Rosalind_AYL",0.125357489805966,302,"Would they work in mild aspect?","I can suck melancholy out of a song as a weasel sucks eggs."
"#Jaques_AYL","#Rosalind_AYL",0.140118242353024,188,"Foul is most foul, being foul to be a scoffer.","All the world’s a stage, And all the men and women merely players."
"#Jaques_AYL","#Rosalind_AYL",0.179582139584439,317,"But for the bloody napkin?","And why, sir, must they so?"
"#Jaques_AYL","#Rosalind_AYL",0.200389821353143,276,"Patience herself would startle at this letter And play the swaggerer.","Then a soldier, Full of strange oaths and bearded like the pard, Jealous in honor, sudden and quick in quarrel, Seeking the bubble reputation Even in the cannon’s mouth."
