source;target;similarity;setnence_num_target;target_sent;source_sent
#Gertrude_Ham;#Claudius_Ham;0.158992188881328;59;What think you on 't?;But look where sadly the poor wretch comes reading.
#Gertrude_Ham;#Claudius_Ham;0.179718026876192;181;Let's further think of this, Weigh what convenience both of time and means May fit us to our shape.;More matter with less art.
#Gertrude_Ham;#Claudius_Ham;0.207885190570261;64;Have you heard the argument?;Came this from Hamlet to her?
#Gertrude_Ham;#Claudius_Ham;0.221090398610702;151;Are all the rest come back?;So shall I hope your virtues Will bring him to his wonted way again, To both your honors.
#Gertrude_Ham;#Claudius_Ham;0.221138633532671;48;How may we try it further?;More matter with less art.
#Hamlet_Ham;#Claudius_Ham;0.069178033873493;19;How is it that the clouds still hang on you?;A little more than kin and less than kind.
#Hamlet_Ham;#Claudius_Ham;0.238900720763484;28;Be as ourself in Denmark.;I shall in all my best obey you, madam.
#Hamlet_Ham;#Claudius_Ham;0.244482951846831;26;For your intent In going back to school in Wittenberg, It is most retrograde to our desire, And we beseech you, bend you to remain Here in the cheer and comfort of our eye, Our chiefest courtier, cousin, and our son.;"I know not ""seems."" 'Tis not alone my inky cloak, good mother, Nor customary suits of solemn black, Nor windy suspiration of forced breath, No, nor the fruitful river in the eye, Nor the dejected havior of the visage, Together with all forms, moods, shapes of grief, That can denote me truly."
#Hamlet_Ham;#Claudius_Ham;0.263015320207148;22;But to persever In obstinate condolement is a course Of impious stubbornness.;"These indeed ""seem,"" For they are actions that a man might play"
#Hamlet_Ham;#Claudius_Ham;0.268984269256934;48;How may we try it further?;Canst work i' th' earth so fast?
#Horatio_Ham;#Claudius_Ham;0.197786457843207;200;But, since he is better, we have therefore odds.;You will lose, my lord.
#Horatio_Ham;#Claudius_Ham;0.223154666019049;181;Let's further think of this, Weigh what convenience both of time and means May fit us to our shape.;And this, I take it, Is the main motive of our preparations, The source of this our watch, and the chief head Of this posthaste and rummage in the land.
#Horatio_Ham;#Claudius_Ham;0.228683301266406;15;Have you your father's leave?;What, has this thing appeared again tonight?
#Horatio_Ham;#Claudius_Ham;0.250019372803925;19;How is it that the clouds still hang on you?;But look, the morn in russet mantle clad Walks o'er the dew of yon high eastward hill.
#Horatio_Ham;#Claudius_Ham;0.250861583868846;127;Let them guard the door.;Do, if it will not stand.
#Laertes_Ham;#Claudius_Ham;0.14767934277118;19;How is it that the clouds still hang on you?;My dread lord, Your leave and favor to return to France, From whence though willingly I came to Denmark To show my duty in your coronation, Yet now I must confess, that duty done, My thoughts and wishes bend again toward France And bow them to your gracious leave and pardon.
#Laertes_Ham;#Claudius_Ham;0.160706459013654;48;How may we try it further?;For nature, crescent, does not grow alone In thews and bulk, but, as this temple waxes, The inward service of the mind and soul Grows wide withal.
#Laertes_Ham;#Claudius_Ham;0.164608363813233;59;What think you on 't?;Virtue itself 'scapes not calumnious strokes.
#Laertes_Ham;#Claudius_Ham;0.209625921665061;200;But, since he is better, we have therefore odds.;I'll touch my point With this contagion, that, if I gall him slightly, It may be death.
#Laertes_Ham;#Claudius_Ham;0.21333211389716;183;Therefore this project Should have a back or second that might hold If this did blast in proof.;Hadst thou thy wits and didst persuade revenge, It could not move thus.
#Ophelia_Ham;#Claudius_Ham;0.133213012564875;200;But, since he is better, we have therefore odds.;He never will come again.
#Ophelia_Ham;#Claudius_Ham;0.190639129459371;181;Let's further think of this, Weigh what convenience both of time and means May fit us to our shape.;Lord, we know what we are but know not what we may be.
#Ophelia_Ham;#Claudius_Ham;0.1990707911525;108;Diseases desperate grown By desperate appliance are relieved Or not at all.;Madam, I wish it may.
#Ophelia_Ham;#Claudius_Ham;0.206965606654615;48;How may we try it further?;I shall the effect of this good lesson keep As watchman to my heart.
#Ophelia_Ham;#Claudius_Ham;0.21844820420559;183;Therefore this project Should have a back or second that might hold If this did blast in proof.;Belike this show imports the argument of the play.
#Polonius_Ham;#Claudius_Ham;0.143175296295449;28;Be as ourself in Denmark.;I do beseech you give him leave to go.
#Polonius_Ham;#Claudius_Ham;0.174777623322708;19;How is it that the clouds still hang on you?;Hath, my lord, wrung from me my slow leave By laborsome petition, and at last Upon his will I sealed my hard consent.
#Polonius_Ham;#Claudius_Ham;0.234116713008025;200;But, since he is better, we have therefore odds.;"""And, in part, him, but,"" you may say, ""not well."
#Polonius_Ham;#Claudius_Ham;0.240994721350742;24;For what we know must be and is as common As any the most vulgar thing to sense, Why should we in our peevish opposition Take it to heart?;Hath, my lord, wrung from me my slow leave By laborsome petition, and at last Upon his will I sealed my hard consent.
#Polonius_Ham;#Claudius_Ham;0.254261064206335;18;-  But now, my cousin Hamlet and my son -;Hath, my lord, wrung from me my slow leave By laborsome petition, and at last Upon his will I sealed my hard consent.
