"source","target","similarity","setnence_num_target","target_sent","source_sent"
"#Juliet_Rom","#LadyCapulet_Rom",0.276674777279696,66,"O me, this sight of death is as a bell That warns my old age to a sepulcher.","The orchard walls are high and hard to climb, And the place death, considering who thou art, If any of my kinsmen find thee here."
"#Juliet_Rom","#LadyCapulet_Rom",0.285631728680681,30,"I beg for justice, which thou, prince, must give.","A rhyme I learned even now Of one I danced withal."
"#Juliet_Rom","#LadyCapulet_Rom",0.285714545815051,14,"Verona’s summer hath not such a flower.","It is an honor that I dream not of."
"#Juliet_Rom","#LadyCapulet_Rom",0.296577390573498,11,"Younger than you Here in Verona, ladies of esteem, Are made already mothers.","It is an honor that I dream not of."
"#Juliet_Rom","#LadyCapulet_Rom",0.30659585334673,26,"Prince, as thou art true, For blood of ours, shed blood of Montague.","What says he of our marriage?"
"#Juliet_Rom","#LadyCapulet_Rom",0.354465880669422,24,"Tybalt, my cousin, O my brother’s child!","Had she affections and warm youthful blood, She would be as swift in motion as a ball; My words would bandy her to my sweet love, And his to me."
"#Juliet_Rom","#LadyCapulet_Rom",0.355072683211815,25,"O, the blood is spilled Of my dear kinsman!","And stint thou, too, I pray thee, nurse, say I."
"#Juliet_Rom","#LadyCapulet_Rom",0.470525065030644,27,"He is a kinsman to the Montague.","I’ll look to like, if looking liking move."
"#Juliet_Rom","#LadyCapulet_Rom",0.493720137532094,28,"Affection makes him false; he speaks not true.","How art thou out of breath, when thou hast breath To say to me that thou art out of breath?"
"#Juliet_Rom","#LadyCapulet_Rom",0.526920979400299,29,"Some twenty of them fought in this black strife, And all those twenty could but kill one life.","What’s he that follows here, that would not dance?"
"#Juliet_Rom","#Capulet_Rom",0.36114812298049,29,"’Tis since the nuptial of Lucentio, Come Pentecost as quickly as it will, Some five and twenty years, and then we masked.","I’ll look to like, if looking liking move."
"#Juliet_Rom","#Capulet_Rom",0.364056964840124,30,"Will you tell me that?","But no more deep will I endart mine eye Than your consent gives strength to make it fly."
"#Juliet_Rom","#Capulet_Rom",0.368645156349657,44,"Nay, gentlemen, prepare not to be gone.","But no more deep will I endart mine eye Than your consent gives strength to make it fly."
"#Juliet_Rom","#Capulet_Rom",0.381918846054681,34,"Take no note of him.","But no more deep will I endart mine eye Than your consent gives strength to make it fly."
"#Juliet_Rom","#Capulet_Rom",0.400087200884801,46,"Why then, I thank you all.","But no more deep will I endart mine eye Than your consent gives strength to make it fly."
"#Juliet_Rom","#Capulet_Rom",0.44262886527336,37,"God shall mend my soul, You’ll make a mutiny among my guests, You will set cock-a-hoop, you’ll be the man!","But no more deep will I endart mine eye Than your consent gives strength to make it fly."
"#Juliet_Rom","#Capulet_Rom",0.4503197908014,26,"—  Nay, sit, nay, sit, good cousin Capulet, For you and I are past our dancing days.","But no more deep will I endart mine eye Than your consent gives strength to make it fly."
"#Juliet_Rom","#Capulet_Rom",0.504131600936557,48,"— Come on then, let’s to bed.","I’ll look to like, if looking liking move."
