source;target;similarity;setnence_num_target;target_sent;source_sent
#Goneril_Lr;#Lear_Lr;0.532714580782775;354;Come, come, I am a king, Masters, know you that?;-   You, sir, more knave than Fool, after your master.
#Goneril_Lr;#Lear_Lr;0.534891728242989;210;-  O Fool, I shall go mad!;-   You, sir, more knave than Fool, after your master.
#Goneril_Lr;#Lear_Lr;0.538178832129787;361;I know not what to say.;Remember what I have said.
#Goneril_Lr;#Lear_Lr;0.541904654613848;64;I have noted it well.;Remember what I have said.
#Goneril_Lr;#Lear_Lr;0.550101130946089;77;"Dost thou call me ""fool""boy?";Now, by my life, Old fools are babes again and must be used With checks as flatteries, when they are seen abused.
#Goneril_Lr;#Lear_Lr;0.566449049823484;372;I am old and foolish.;As you are old and reverend, should be wise.
#Goneril_Lr;#Lear_Lr;0.587978507039959;232;-   Poor Fool and knave, I have one part in my heart That's sorry yet for thee.;-   You, sir, more knave than Fool, after your master.
#Goneril_Lr;#Lear_Lr;0.597026423967485;249;I'll pray, and then I'll sleep.;Pray you, let us sit together.
#Goneril_Lr;#Lear_Lr;0.605976680592686;371;Pray you now, forget, and forgive.;Pray you, let us sit together.
#Goneril_Lr;#Lear_Lr;0.713930802508316;344;I know thee well enough;
#Kent_Lr;#Lear_Lr;0.576559619743152;249;I'll pray, and then I'll sleep.;I will not sleep, my lord, till I have delivered your letter.
#Kent_Lr;#Lear_Lr;0.579367029464235;233;-  Come, bring us to this hovel.;Gracious my lord, hard by here is a hovel.
#Kent_Lr;#Lear_Lr;0.582665631636001;31;Kent, on thy life, no more.;Be Kent unmannerly When Lear is mad.
#Kent_Lr;#Lear_Lr;0.590685395378989;137;The King would speak with Cornwall.;I thought the King had more affected the Duke of Albany than Cornwall.
#Kent_Lr;#Lear_Lr;0.591362837136058;176;O heavens, If you do love old men, if your sweet sway Allow obedience, if you yourselves are old, Make it your cause.;What wouldst thou do, old man?
#Kent_Lr;#Lear_Lr;0.600425034406182;291;I am the King himself.;I will go seek the King.
#Kent_Lr;#Lear_Lr;0.616383324282163;372;I am old and foolish.;Sir, I am too old to learn.
#Kent_Lr;#Lear_Lr;0.639498565458521;70;Thou serv'st me, and I'll love thee.;The gods to their dear shelter take thee, maid, That justly think'st and hast most rightly said.
#Kent_Lr;#Lear_Lr;0.646417971165586;390;-   Cordelia, Cordelia, stay a little.;If you shall see Cordelia (As fear not but you shall), show her this ring, And she will tell you who that fellow is That yet you do not know.
#Kent_Lr;#Lear_Lr;0.650552881070337;247;This tempest will not give me leave to ponder On things would hurt me more.;Some friendship will it lend you 'gainst the tempest.
#Cordelia_Lr;#Lear_Lr;0.511446204893113;232;-   Poor Fool and knave, I have one part in my heart That's sorry yet for thee.;Good my lord, You have begot me, bred me, loved me.
#Cordelia_Lr;#Lear_Lr;0.516384735322445;46;Therefore begone Without our grace, our love, our benison.;Good my lord, You have begot me, bred me, loved me.
#Cordelia_Lr;#Lear_Lr;0.516403266080436;225;Hide thee, thou bloody hand, Thou perjured, and thou simular of virtue That art incestuous.;Haply, when I shall wed, That lord whose hand must take my plight shall carry Half my love with him, half my care and duty.
#Cordelia_Lr;#Lear_Lr;0.539830893333068;18;Thy truth, then, be thy dower, For by the sacred radiance of the sun, The mysteries of Hecate and the night, By all the operation of the orbs From whom we do exist and cease to be, Here I disclaim all my paternal care, Propinquity, and property of blood, And as a stranger to my heart and me Hold thee from this forever.;Haply, when I shall wed, That lord whose hand must take my plight shall carry Half my love with him, half my care and duty.
#Cordelia_Lr;#Lear_Lr;0.541748784330103;19;The barbarous Scythian, Or he that makes his generation messes To gorge his appetite, shall to my bosom Be as well neighbored, pitied, and relieved As thou my sometime daughter.;Haply, when I shall wed, That lord whose hand must take my plight shall carry Half my love with him, half my care and duty.
#Cordelia_Lr;#Lear_Lr;0.553116190254175;70;Thou serv'st me, and I'll love thee.;Haply, when I shall wed, That lord whose hand must take my plight shall carry Half my love with him, half my care and duty.
