"source","target","similarity","setnence_num_target","target_sent","source_sent"
"#Gloucester_Lr","#Edgar_Lr",0.545845345486827,4,"Some villain hath done me wrong.","— Find out this villain, Edmund."
"#Gloucester_Lr","#Edgar_Lr",0.546052896308453,185,"Haste thee for thy life.","Then, prithee, get thee away."
"#Gloucester_Lr","#Edgar_Lr",0.553278784885743,63,"But then the mind much sufferance doth o’erskip When grief hath mates and bearing fellowship.","True to tell thee, The grief hath crazed my wits."
"#Gloucester_Lr","#Edgar_Lr",0.576864112361192,168,"My name is Edgar and thy father’s son.","If Edgar live, O, bless him!"
"#Gloucester_Lr","#Edgar_Lr",0.592526642097673,1,"How now, brother Edmund, what serious contemplation are you in?","Edmund, seek him out; wind me into him, I pray you."
"#Gloucester_Lr","#Edgar_Lr",0.608256038166832,103,"Hadst thou been aught but gossamer, feathers, air, So many fathom down precipitating, Thou ’dst shivered like an egg; but thou dost breathe, Hast heavy substance, bleed’st not, speak’st, art sound.","Methinks thy voice is altered and thou speak’st In better phrase and matter than thou didst."
"#Gloucester_Lr","#Edgar_Lr",0.632186948043459,148,"If e’er your Grace had speech with man so poor, Hear me one word.","What, hath your Grace no better company?"
"#Gloucester_Lr","#Edgar_Lr",0.638474647970912,187,"’Tis noble Kent, your friend.","— And the noble and true-hearted Kent banished!"
"#Gloucester_Lr","#Edgar_Lr",0.667624012967996,162,"What’s he that speaks for Edmund, Earl of Gloucester?","— Do you know this noble gentleman, Edmund?"
"#Gloucester_Lr","#Edgar_Lr",0.706234041170028,182,"Kent, sir, the banished Kent, who in disguise Followed his enemy king and did him service Improper for a slave.","— And the noble and true-hearted Kent banished!"
"#Cordelia_Lr","#Edgar_Lr",0.479802389289645,170,"The dark and vicious place where thee he got Cost him his eyes.","And wast thou fain, poor father, To hovel thee with swine and rogues forlorn In short and musty straw?"
"#Cordelia_Lr","#Edgar_Lr",0.481168134850005,180,"Whilst I Was big in clamor, came there in a man Who, having seen me in my worst estate, Shunned my abhorred society; but then, finding Who ’twas that so endured, with his strong arms He fastened on my neck and bellowed out As he’d burst heaven, threw him on my father, Told the most piteous tale of Lear and him That ever ear received, which, in recounting, His grief grew puissant, and the strings of life Began to crack.","And wast thou fain, poor father, To hovel thee with swine and rogues forlorn In short and musty straw?"
"#Cordelia_Lr","#Edgar_Lr",0.48179451538067,147,"Come, father, I’ll bestow you with a friend.","— O dear father, It is thy business that I go about."
"#Cordelia_Lr","#Edgar_Lr",0.485626398820792,163,"Draw thy sword, That if my speech offend a noble heart, Thy arm may do thee justice.","I yet beseech your Majesty —  If for I want that glib and oily art To speak and purpose not, since what I well intend I’ll do ’t before I speak — that you make known It is no vicious blot, murder, or foulness, No unchaste action or dishonored step That hath deprived me of your grace and favor, But even for want of that for which I am richer: A still-soliciting eye and such a tongue That I am glad I have not, though not to have it Hath lost me in your liking."
"#Cordelia_Lr","#Edgar_Lr",0.498663387604865,182,"Kent, sir, the banished Kent, who in disguise Followed his enemy king and did him service Improper for a slave.","O, thou good Kent, how shall I live and work To match thy goodness?"
"#Cordelia_Lr","#Edgar_Lr",0.49872821468318,129,"I know thee well, a serviceable villain, As duteous to the vices of thy mistress As badness would desire.","Haply, when I shall wed, That lord whose hand must take my plight shall carry Half my love with him, half my care and duty."
"#Cordelia_Lr","#Edgar_Lr",0.503637238591422,140,"Let our reciprocal vows be remembered.","Haply, when I shall wed, That lord whose hand must take my plight shall carry Half my love with him, half my care and duty."
