"source","target","similarity","setnence_num_target","target_sent","source_sent"
"#Claudius_Ham","#Hamlet_Ham",0.244296424464116,1,"A little more than kin and less than kind.","Therefore our sometime sister, now our queen, Th’ imperial jointress to this warlike state, Have we (as ’twere with a defeated joy, With an auspicious and a dropping eye, With mirth in funeral and with dirge in marriage, In equal scale weighing delight and dole) Taken to wife."
"#Claudius_Ham","#Hamlet_Ham",0.292867412793159,2,"Not so, my lord; I am too much in the sun.","You told us of some suit."
"#Claudius_Ham","#Hamlet_Ham",0.294968489756135,3,"Ay, madam, it is common.","Therefore our sometime sister, now our queen, Th’ imperial jointress to this warlike state, Have we (as ’twere with a defeated joy, With an auspicious and a dropping eye, With mirth in funeral and with dirge in marriage, In equal scale weighing delight and dole) Taken to wife."
"#Claudius_Ham","#Hamlet_Ham",0.469697084175581,4,"I know not “seems.” ’Tis not alone my inky cloak, good mother, Nor customary suits of solemn black, Nor windy suspiration of forced breath, No, nor the fruitful river in the eye, Nor the dejected havior of the visage, Together with all forms, moods, shapes of grief, That can denote me truly.","Though yet of Hamlet our dear brother’s death The memory be green, and that it us befitted To bear our hearts in grief, and our whole kingdom To be contracted in one brow of woe, Yet so far hath discretion fought with nature That we with wisest sorrow think on him Together with remembrance of ourselves."
"#Claudius_Ham","#Hamlet_Ham",0.315949120565375,5,"These indeed “seem,” For they are actions that a man might play; But I have that within which passes show, These but the trappings and the suits of woe.","Though yet of Hamlet our dear brother’s death The memory be green, and that it us befitted To bear our hearts in grief, and our whole kingdom To be contracted in one brow of woe, Yet so far hath discretion fought with nature That we with wisest sorrow think on him Together with remembrance of ourselves."
"#Claudius_Ham","#Hamlet_Ham",0.495662967302633,6,"I shall in all my best obey you, madam.","Farewell, and let your haste commend your duty."
"#Claudius_Ham","#Hamlet_Ham",0.386403276988653,7,"O, that this too, too sullied flesh would melt, Thaw, and resolve itself into a dew, Or that the Everlasting had not fixed His canon ’gainst self-slaughter!","Fie, ’tis a fault to heaven, A fault against the dead, a fault to nature, To reason most absurd, whose common theme Is death of fathers, and who still hath cried, From the first corse till he that died today, “This must be so.” We pray you, throw to earth This unprevailing woe and think of us As of a father; for let the world take note, You are the most immediate to our throne, And with no less nobility of love Than that which dearest father bears his son Do I impart toward you."
"#Claudius_Ham","#Hamlet_Ham",0.377419877142315,8,"O God, God, How weary, stale, flat, and unprofitable Seem to me all the uses of this world!","It shows a will most incorrect to heaven, A heart unfortified, a mind impatient, An understanding simple and unschooled."
"#Claudius_Ham","#Hamlet_Ham",0.357586529706972,9,"Fie on ’t, ah fie!","Take thy fair hour, Laertes."
"#Claudius_Ham","#Hamlet_Ham",0.276630908373052,10,"’Tis an unweeded garden That grows to seed.","It shows a will most incorrect to heaven, A heart unfortified, a mind impatient, An understanding simple and unschooled."
"#Claudius_Ham","#Hamlet_Ham",0.330232317418644,11,"Things rank and gross in nature Possess it merely.","For what we know must be and is as common As any the most vulgar thing to sense, Why should we in our peevish opposition Take it to heart?"
"#Claudius_Ham","#Hamlet_Ham",0.257115293375475,12,"That it should come to this: But two months dead—nay, not so much, not two.","Though yet of Hamlet our dear brother’s death The memory be green, and that it us befitted To bear our hearts in grief, and our whole kingdom To be contracted in one brow of woe, Yet so far hath discretion fought with nature That we with wisest sorrow think on him Together with remembrance of ourselves."
"#Claudius_Ham","#Hamlet_Ham",0.506924157506011,13,"So excellent a king, that was to this Hyperion to a satyr; so loving to my mother That he might not beteem the winds of heaven Visit her face too roughly.","This gentle and unforced accord of Hamlet Sits smiling to my heart, in grace whereof No jocund health that Denmark drinks today But the great cannon to the clouds shall tell, And the King’s rouse the heaven shall bruit again, Respeaking earthly thunder."
"#Claudius_Ham","#Hamlet_Ham",0.39018238559991,14,"Heaven and Earth, Must I remember?","This gentle and unforced accord of Hamlet Sits smiling to my heart, in grace whereof No jocund health that Denmark drinks today But the great cannon to the clouds shall tell, And the King’s rouse the heaven shall bruit again, Respeaking earthly thunder."
"#Claudius_Ham","#Hamlet_Ham",0.204115268002929,15,"Why, she would hang on him As if increase of appetite had grown By what it fed on.","Therefore our sometime sister, now our queen, Th’ imperial jointress to this warlike state, Have we (as ’twere with a defeated joy, With an auspicious and a dropping eye, With mirth in funeral and with dirge in marriage, In equal scale weighing delight and dole) Taken to wife."
"#Claudius_Ham","#Hamlet_Ham",0.402493970575801,16,"And yet, within a month (Let me not think on ’t; frailty, thy name is woman!","Time be thine, And thy best graces spend it at thy will.— But now, my cousin Hamlet and my son—"
"#Claudius_Ham","#Hamlet_Ham",0.431410426273046,17,"), A little month, or ere those shoes were old With which she followed my poor father’s body, Like Niobe, all tears—why she, even she (O God, a beast that wants discourse of reason Would have mourned longer!","Fie, ’tis a fault to heaven, A fault against the dead, a fault to nature, To reason most absurd, whose common theme Is death of fathers, and who still hath cried, From the first corse till he that died today, “This must be so.” We pray you, throw to earth This unprevailing woe and think of us As of a father; for let the world take note, You are the most immediate to our throne, And with no less nobility of love Than that which dearest father bears his son Do I impart toward you."
"#Claudius_Ham","#Hamlet_Ham",0.347099154498374,18,"), married with my uncle, My father’s brother, but no more like my father Than I to Hercules.","Therefore our sometime sister, now our queen, Th’ imperial jointress to this warlike state, Have we (as ’twere with a defeated joy, With an auspicious and a dropping eye, With mirth in funeral and with dirge in marriage, In equal scale weighing delight and dole) Taken to wife."
"#Claudius_Ham","#Hamlet_Ham",0.327572936842906,19,"Within a month, Ere yet the salt of most unrighteous tears Had left the flushing in her gallèd eyes, She married.","Therefore our sometime sister, now our queen, Th’ imperial jointress to this warlike state, Have we (as ’twere with a defeated joy, With an auspicious and a dropping eye, With mirth in funeral and with dirge in marriage, In equal scale weighing delight and dole) Taken to wife."
"#Claudius_Ham","#Hamlet_Ham",0.276187584812144,20,"O, most wicked speed, to post With such dexterity to incestuous sheets!","Therefore our sometime sister, now our queen, Th’ imperial jointress to this warlike state, Have we (as ’twere with a defeated joy, With an auspicious and a dropping eye, With mirth in funeral and with dirge in marriage, In equal scale weighing delight and dole) Taken to wife."
"#Claudius_Ham","#Hamlet_Ham",0.260300860193725,21,"It is not, nor it cannot come to good.","But to persever In obstinate condolement is a course Of impious stubbornness."
"#Claudius_Ham","#Hamlet_Ham",0.277252734936483,22,"But break, my heart, for I must hold my tongue.","Time be thine, And thy best graces spend it at thy will.— But now, my cousin Hamlet and my son—"
"#Claudius_Ham","#Hamlet_Ham",0.313934222937629,23,"I am glad to see you well.","Farewell, and let your haste commend your duty."
"#Claudius_Ham","#Hamlet_Ham",0.443058661268278,24,"Horatio—or I do forget myself!","Time be thine, And thy best graces spend it at thy will.— But now, my cousin Hamlet and my son—"
"#Claudius_Ham","#Hamlet_Ham",0.339949937107073,25,"I’ll change that name with you.","Now follows that you know."
"#Claudius_Ham","#Hamlet_Ham",0.38672745998361,26,"And what make you from Wittenberg, Horatio?— Marcellus?","Time be thine, And thy best graces spend it at thy will.— But now, my cousin Hamlet and my son—"
"#Claudius_Ham","#Hamlet_Ham",0.320250650087849,27,"I am very glad to see you.","Farewell, and let your haste commend your duty."
"#Claudius_Ham","#Hamlet_Ham",0.66309935296736,28,"Good even, sir.— But what, in faith, make you from Wittenberg?","For your intent In going back to school in Wittenberg, It is most retrograde to our desire, And we beseech you, bend you to remain Here in the cheer and comfort of our eye, Our chiefest courtier, cousin, and our son."
"#Claudius_Ham","#Hamlet_Ham",0.299555184929917,29,"I would not hear your enemy say so, Nor shall you do my ear that violence To make it truster of your own report Against yourself.","Nor have we herein barred Your better wisdoms, which have freely gone With this affair along."
"#Claudius_Ham","#Hamlet_Ham",0.254592735764167,30,"I know you are no truant.","For your intent In going back to school in Wittenberg, It is most retrograde to our desire, And we beseech you, bend you to remain Here in the cheer and comfort of our eye, Our chiefest courtier, cousin, and our son."
"#Claudius_Ham","#Hamlet_Ham",0.384260520091253,31,"But what is your affair in Elsinore?","Nor have we herein barred Your better wisdoms, which have freely gone With this affair along."
"#Claudius_Ham","#Hamlet_Ham",0.354281345233546,32,"We’ll teach you to drink deep ere you depart.","Farewell, and let your haste commend your duty."
"#Claudius_Ham","#Hamlet_Ham",0.301135713845213,33,"I prithee, do not mock me, fellow student.","Farewell, and let your haste commend your duty."
"#Claudius_Ham","#Hamlet_Ham",0.27613417693202,34,"I think it was to see my mother’s wedding.","Therefore our sometime sister, now our queen, Th’ imperial jointress to this warlike state, Have we (as ’twere with a defeated joy, With an auspicious and a dropping eye, With mirth in funeral and with dirge in marriage, In equal scale weighing delight and dole) Taken to wife."
"#Claudius_Ham","#Hamlet_Ham",0.3251464795973,35,"The funeral baked meats Did coldly furnish forth the marriage tables.","Therefore our sometime sister, now our queen, Th’ imperial jointress to this warlike state, Have we (as ’twere with a defeated joy, With an auspicious and a dropping eye, With mirth in funeral and with dirge in marriage, In equal scale weighing delight and dole) Taken to wife."
"#Claudius_Ham","#Hamlet_Ham",0.434394219314321,36,"Would I had met my dearest foe in heaven Or ever I had seen that day, Horatio!","This gentle and unforced accord of Hamlet Sits smiling to my heart, in grace whereof No jocund health that Denmark drinks today But the great cannon to the clouds shall tell, And the King’s rouse the heaven shall bruit again, Respeaking earthly thunder."
"#Claudius_Ham","#Hamlet_Ham",0.5340982559253,37,"My father—methinks I see my father.","But you must know your father lost a father, That father lost, lost his, and the survivor bound In filial obligation for some term To do obsequious sorrow."
"#Claudius_Ham","#Hamlet_Ham",0.442795111644016,38,"In my mind’s eye, Horatio.","Though yet of Hamlet our dear brother’s death The memory be green, and that it us befitted To bear our hearts in grief, and our whole kingdom To be contracted in one brow of woe, Yet so far hath discretion fought with nature That we with wisest sorrow think on him Together with remembrance of ourselves."
"#Claudius_Ham","#Hamlet_Ham",0.330765327167645,39,"Take him for all in all, I shall not look upon his like again.","What wouldst thou beg, Laertes, That shall not be my offer, not thy asking?"
"#Claudius_Ham","#Hamlet_Ham",0.417259713617982,40,"For God’s love, let me hear!","Why, ’tis a loving and a fair reply."
"#Claudius_Ham","#Hamlet_Ham",0.318075355621139,41,"Did you not speak to it?","You cannot speak of reason to the Dane And lose your voice."
"#Claudius_Ham","#Hamlet_Ham",0.278330894857031,42,"Indeed, sirs, but this troubles me.","Time be thine, And thy best graces spend it at thy will.— But now, my cousin Hamlet and my son—"
"#Claudius_Ham","#Hamlet_Ham",0.288727595762224,43,"Hold you the watch tonight?","Take thy fair hour, Laertes."
"#Claudius_Ham","#Hamlet_Ham",0.247320045633039,44,"Then saw you not his face?","You told us of some suit."
"#Claudius_Ham","#Hamlet_Ham",0.258628788066777,45,"And fixed his eyes upon you?","You told us of some suit."
"#Claudius_Ham","#Hamlet_Ham",0.298749911488297,46,"I would I had been there.","You told us of some suit."
"#Claudius_Ham","#Hamlet_Ham",0.264304635910703,47,"His beard was grizzled, no?","You told us of some suit."
"#Claudius_Ham","#Hamlet_Ham",0.481874075312976,48,"If it assume my noble father’s person, I’ll speak to it, though hell itself should gape And bid me hold my peace.","But you must know your father lost a father, That father lost, lost his, and the survivor bound In filial obligation for some term To do obsequious sorrow."
"#Claudius_Ham","#Hamlet_Ham",0.357975484134031,49,"I pray you all, If you have hitherto concealed this sight, Let it be tenable in your silence still; And whatsomever else shall hap tonight, Give it an understanding but no tongue.","Though yet of Hamlet our dear brother’s death The memory be green, and that it us befitted To bear our hearts in grief, and our whole kingdom To be contracted in one brow of woe, Yet so far hath discretion fought with nature That we with wisest sorrow think on him Together with remembrance of ourselves."
"#Claudius_Ham","#Hamlet_Ham",0.372529082788524,50,"I will requite your loves.","Why, ’tis a loving and a fair reply."
"#Claudius_Ham","#Hamlet_Ham",0.242196957547639,51,"Upon the platform, ’twixt eleven and twelve, I’ll visit you.","Farewell, and let your haste commend your duty."
"#Claudius_Ham","#Hamlet_Ham",0.43074715637367,52,"Your loves, as mine to you.","’Tis sweet and commendable in your nature, Hamlet, To give these mourning duties to your father."
"#Claudius_Ham","#Hamlet_Ham",0.470704477509676,53,"My father’s spirit—in arms!","’Tis sweet and commendable in your nature, Hamlet, To give these mourning duties to your father."
"#Claudius_Ham","#Hamlet_Ham",0.126736382685769,54,"I doubt some foul play.","Nor have we herein barred Your better wisdoms, which have freely gone With this affair along."
