source;target;similarity;setnence_num_target;target_sent;source_sent
#LadyCapulet_Rom;#Juliet_Rom;0.104040874734384;256;What if this mixture do not work at all?;And then, I hope, thou wilt be satisfied.
#LadyCapulet_Rom;#Juliet_Rom;0.166633277639286;247;Ay, those attires are best.;Thou knowest my daughter's of a pretty age.
#LadyCapulet_Rom;#Juliet_Rom;0.19073339978287;125;What storm is this that blows so contrary?;A fortnight and odd days.
#LadyCapulet_Rom;#Juliet_Rom;0.194781464275299;229;It may be so, for it is not mine own.;So shall you share all that he doth possess By having him, making yourself no less.
#LadyCapulet_Rom;#Juliet_Rom;0.202625331470276;21;It is nor hand, nor foot, Nor arm, nor face.;This precious book of love, this unbound lover, To beautify him only lacks a cover.
#LadyCapulet_Rom;#Juliet_Rom;0.202691758887337;172;More light and light it grows.;Verona's summer hath not such a flower.
#LadyCapulet_Rom;#Juliet_Rom;0.21494023885965;128;Then, dreadful trumpet, sound the general doom, For who is living if those two are gone?;I have remembered me, thou 's hear our counsel.
#LadyCapulet_Rom;#Juliet_Rom;0.217221338854464;252;I have a faint cold fear thrills through my veins That almost freezes up the heat of life.;But now I'll tell thee joyful tidings, girl.
#LadyCapulet_Rom;#Juliet_Rom;0.227177163520037;94;Let me be satisfied;
#LadyCapulet_Rom;#Juliet_Rom;0.229154399552691;184;Who is 't that calls?;Call her forth to me.
#Capulet_Rom;#Juliet_Rom;0.195099882153242;131;Did ever dragon keep so fair a cave?;I have seen the day That I have worn a visor and could tell A whispering tale in a fair lady's ear, Such as would please.
#Capulet_Rom;#Juliet_Rom;0.212868245250723;256;What if this mixture do not work at all?;How canst thou try them so?
#Capulet_Rom;#Juliet_Rom;0.221067035319557;3;I'll look to like, if looking liking move.;Such comfort as do lusty young men feel When well-appareled April on the heel Of limping winter treads, even such delight Among fresh fennel buds shall you this night Inherit at my house.
#Capulet_Rom;#Juliet_Rom;0.222772676909537;92;Is thy news good or bad?;We have a trifling foolish banquet towards.
#Capulet_Rom;#Juliet_Rom;0.223818693243345;21;It is nor hand, nor foot, Nor arm, nor face.;Take no note of him.
#Capulet_Rom;#Juliet_Rom;0.226823362844063;184;Who is 't that calls?;She'll not come down tonight.
#Capulet_Rom;#Juliet_Rom;0.238856509665064;148;Some word there was, worser than Tybalt's death, That murdered me.;It is my will, the which if thou respect, Show a fair presence and put off these frowns, An ill-beseeming semblance for a feast.
#Capulet_Rom;#Juliet_Rom;0.242863210392323;108;Come, civil night, Thou sober-suited matron all in black, And learn me how to lose a winning match Played for a pair of stainless maidenhoods.;  Ah, my mistresses, which of you all Will now deny to dance?
#Capulet_Rom;#Juliet_Rom;0.245437056948525;136;Was ever book containing such vile matter So fairly bound?;And, she agreed, within her scope of choice Lies my consent and fair according voice.
#Capulet_Rom;#Juliet_Rom;0.248994826031636;171;O, now I would they had changed voices too, Since arm from arm that voice doth us affray, Hunting thee hence with hunt's-up to the day.;For hark you, Tybalt being slain so late, It may be thought we held him carelessly, Being our kinsman, if we revel much.
#Romeo_Rom;#Juliet_Rom;0.192195117230803;256;What if this mixture do not work at all?;Both our remedies Within thy help and holy physic lies.
#Romeo_Rom;#Juliet_Rom;0.220119703084192;131;Did ever dragon keep so fair a cave?;These happy masks that kiss fair ladies' brows, Being black, puts us in mind they hide the fair.
#Romeo_Rom;#Juliet_Rom;0.258544695829588;3;I'll look to like, if looking liking move.;Here's much to do with hate, but more with love.
#Romeo_Rom;#Juliet_Rom;0.286764570010192;94;Let me be satisfied;
#Romeo_Rom;#Juliet_Rom;0.292421522078514;136;Was ever book containing such vile matter So fairly bound?;What shall I swear by?
#Romeo_Rom;#Juliet_Rom;0.298422745008291;184;Who is 't that calls?;It is my soul that calls upon my name.
